[(5736, 15097, 2140), (-173, 40, 43)]
[(5752, 15098, 2172), (-164, 38, 43)]
[(5766, 15090, 2140), (-160, 35, 44)]
[(5766, 15090, 2140), (-160, 35, 44)]
[(5772, 15077, 2134), (-156, 36, 39)]
[(5772, 15077, 2134), (-156, 36, 39)]
[(5772, 15077, 2134), (-156, 36, 39)]
[(5772, 15077, 2134), (-156, 36, 39)]
[(5791, 15076, 2149), (-157, 32, 28)]
[(5791, 15076, 2149), (-157, 32, 28)]
[(5791, 15076, 2149), (-157, 32, 28)]
[(5812, 15102, 2131), (-155, 17, 29)]
[(5812, 15102, 2131), (-155, 17, 29)]
[(5803, 15097, 2104), (-120, 44, 30)]
[(5803, 15097, 2104), (-120, 44, 30)]
[(5803, 15097, 2104), (-120, 44, 30)]
[(5803, 15097, 2104), (-120, 44, 30)]
[(5803, 15102, 2137), (-89, 114, 33)]
[(5803, 15102, 2137), (-89, 114, 33)]
[(5803, 15102, 2137), (-89, 114, 33)]
[(5815, 15097, 2122), (-79, 108, 30)]
[(5815, 15097, 2122), (-79, 108, 30)]
[(5820, 15098, 2143), (-105, 53, 39)]
[(5820, 15098, 2143), (-105, 53, 39)]
[(5820, 15098, 2143), (-105, 53, 39)]
[(5820, 15098, 2143), (-105, 53, 39)]
[(5820, 15098, 2143), (-105, 53, 39)]
[(5820, 15098, 2143), (-105, 53, 39)]
[(5815, 15110, 2165), (-70, 10, 19)]
[(5796, 15128, 2185), (-133, 5, 31)]
[(5796, 15128, 2185), (-133, 5, 31)]
[(5739, 15152, 2284), (-923, 330, -171)]
[(5739, 15152, 2284), (-923, 330, -171)]
[(5739, 15152, 2284), (-923, 330, -171)]
[(5739, 15152, 2284), (-923, 330, -171)]
[(5544, 15129, 2224), (-853, -221, -39)]
[(5544, 15129, 2224), (-853, -221, -39)]
[(5544, 15129, 2224), (-853, -221, -39)]
[(5574, 15188, 2193), (-731, -353, -38)]
[(5574, 15188, 2193), (-731, -353, -38)]
[(5628, 15158, 2207), (-589, -258, -23)]
[(5628, 15158, 2207), (-589, -258, -23)]
[(5628, 15158, 2207), (-589, -258, -23)]
[(5628, 15158, 2207), (-589, -258, -23)]
[(5656, 15144, 2218), (-478, 139, -4)]
[(5656, 15144, 2218), (-478, 139, -4)]
[(5656, 15144, 2218), (-478, 139, -4)]
[(5747, 15175, 2135), (127, 147, 109)]
[(5747, 15175, 2135), (127, 147, 109)]
[(5760, 15157, 2169), (168, 44, 118)]
[(5760, 15157, 2169), (168, 44, 118)]
[(5760, 15157, 2169), (168, 44, 118)]
[(5760, 15157, 2169), (168, 44, 118)]
[(5755, 15107, 2152), (77, 59, 84)]
[(5755, 15107, 2152), (77, 59, 84)]
[(5755, 15107, 2152), (77, 59, 84)]
[(5758, 15116, 2123), (34, 103, 67)]
[(5758, 15116, 2123), (34, 103, 67)]
[(5783, 15107, 2110), (9, 115, 25)]
[(5783, 15107, 2110), (9, 115, 25)]
[(5783, 15107, 2110), (9, 115, 25)]
[(5783, 15107, 2110), (9, 115, 25)]
[(5788, 15086, 2108), (-6, 105, 3)]
[(5788, 15086, 2108), (-6, 105, 3)]
[(5788, 15086, 2108), (-6, 105, 3)]
[(5780, 15071, 2084), (-28, 87, 3)]
[(5780, 15071, 2084), (-28, 87, 3)]
[(5756, 15067, 2057), (-42, 79, 9)]
[(5756, 15067, 2057), (-42, 79, 9)]
[(5756, 15067, 2057), (-42, 79, 9)]
[(5756, 15067, 2057), (-42, 79, 9)]
[(5734, 15088, 2071), (-64, 62, 6)]
[(5734, 15088, 2071), (-64, 62, 6)]
[(5734, 15088, 2071), (-64, 62, 6)]
[(5734, 15088, 2071), (-64, 62, 6)]
[(5734, 15088, 2071), (-64, 62, 6)]
[(5742, 15088, 2096), (-89, 41, 25)]
[(5742, 15088, 2096), (-89, 41, 25)]
[(5742, 15088, 2096), (-89, 41, 25)]
[(5742, 15088, 2096), (-89, 41, 25)]
[(5732, 15076, 2055), (35, 151, -7)]
[(5732, 15076, 2055), (35, 151, -7)]
[(5732, 15076, 2055), (35, 151, -7)]
[(5750, 15100, 2054), (30, 191, 15)]
[(5750, 15100, 2054), (30, 191, 15)]
[(5762, 15098, 2031), (-15, 165, 25)]
[(5762, 15098, 2031), (-15, 165, 25)]
[(5762, 15098, 2031), (-15, 165, 25)]
[(5762, 15098, 2031), (-15, 165, 25)]
[(5744, 15072, 2016), (-24, 147, -13)]
[(5744, 15072, 2016), (-24, 147, -13)]
[(5750, 15057, 2030), (-50, 143, -31)]
[(5750, 15057, 2030), (-50, 143, -31)]
[(5750, 15057, 2030), (-50, 143, -31)]
[(5771, 15049, 2039), (-30, 158, 2)]
[(5771, 15049, 2039), (-30, 158, 2)]
[(5771, 15049, 2039), (-30, 158, 2)]
[(5796, 15060, 2018), (-44, 133, 1)]
[(5796, 15060, 2018), (-44, 133, 1)]
[(5796, 15060, 2018), (-44, 133, 1)]
[(5764, 15079, 2024), (-73, 113, -14)]
[(5764, 15079, 2024), (-73, 113, -14)]
[(5761, 15080, 2057), (-94, 125, -28)]
[(5761, 15080, 2057), (-94, 125, -28)]
[(5761, 15080, 2057), (-94, 125, -28)]
[(5761, 15080, 2057), (-94, 125, -28)]
[(5763, 15082, 2046), (-111, 111, -10)]
[(5763, 15082, 2046), (-111, 111, -10)]
[(5754, 15096, 2062), (-127, 89, 6)]
[(5754, 15096, 2062), (-127, 89, 6)]
[(5754, 15096, 2062), (-127, 89, 6)]
[(5741, 15097, 2073), (-144, 71, 24)]
[(5741, 15097, 2073), (-144, 71, 24)]
[(5741, 15097, 2073), (-144, 71, 24)]
[(5741, 15097, 2073), (-144, 71, 24)]
[(5739, 15096, 2080), (-167, 55, 44)]
[(5748, 15099, 2096), (-170, 47, 53)]
[(5748, 15099, 2096), (-170, 47, 53)]
[(5748, 15099, 2096), (-170, 47, 53)]
