[(5517, 15056, 2643), (24, 125, 50)]
[(5492, 15059, 2688), (-348, -105, 13)]
[(5492, 15059, 2688), (-348, -105, 13)]
[(5512, 15033, 2661), (-354, -22, 3)]
[(5512, 15033, 2661), (-354, -22, 3)]
[(5512, 15033, 2661), (-354, -22, 3)]
[(5524, 15048, 2489), (70, 70, 70)]
[(5524, 15048, 2489), (70, 70, 70)]
[(5459, 15044, 2523), (107, 173, -26)]
[(5459, 15044, 2523), (107, 173, -26)]
[(5459, 15044, 2523), (107, 173, -26)]
[(5459, 15044, 2523), (107, 173, -26)]
[(5453, 15020, 2020), (-52, 345, -43)]
[(5453, 15020, 2020), (-52, 345, -43)]
[(5453, 15020, 2020), (-52, 345, -43)]
[(5347, 15053, 2211), (-138, 183, -4)]
[(5347, 15053, 2211), (-138, 183, -4)]
[(5364, 15084, 2286), (-149, 286, -19)]
[(5364, 15084, 2286), (-149, 286, -19)]
[(5364, 15084, 2286), (-149, 286, -19)]
[(5364, 15084, 2286), (-149, 286, -19)]
[(5394, 15065, 2352), (-152, 368, 7)]
[(5394, 15065, 2352), (-152, 368, 7)]
[(5394, 15065, 2352), (-152, 368, 7)]
[(5396, 15058, 2456), (-94, 299, 83)]
[(5396, 15058, 2456), (-94, 299, 83)]
[(5425, 15061, 2507), (-127, 255, 75)]
[(5425, 15061, 2507), (-127, 255, 75)]
[(5425, 15061, 2507), (-127, 255, 75)]
[(5425, 15061, 2507), (-127, 255, 75)]
[(5474, 15081, 2504), (-146, 214, 83)]
[(5474, 15081, 2504), (-146, 214, 83)]
[(5474, 15081, 2504), (-146, 214, 83)]
[(5489, 15100, 2536), (-141, 185, 92)]
[(5489, 15100, 2536), (-141, 185, 92)]
[(5508, 15088, 2560), (-140, 179, 102)]
[(5508, 15088, 2560), (-140, 179, 102)]
[(5508, 15088, 2560), (-140, 179, 102)]
[(5508, 15088, 2560), (-140, 179, 102)]
[(5537, 15112, 2557), (-166, 133, 109)]
[(5537, 15112, 2557), (-166, 133, 109)]
[(5537, 15112, 2557), (-166, 133, 109)]
[(5544, 15124, 2599), (-164, 110, 100)]
[(5544, 15124, 2599), (-164, 110, 100)]
[(5544, 15124, 2599), (-164, 110, 100)]
[(5544, 15124, 2599), (-164, 110, 100)]
[(5535, 15123, 2574), (-205, 86, 90)]
[(5535, 15123, 2574), (-205, 86, 90)]
[(5530, 15111, 2600), (-231, 89, 74)]
[(5530, 15111, 2600), (-231, 89, 74)]
[(5530, 15111, 2600), (-231, 89, 74)]
[(5562, 15092, 2578), (-181, 101, 82)]
[(5562, 15092, 2578), (-181, 101, 82)]
[(5567, 15077, 2593), (-166, 90, 70)]
[(5567, 15077, 2593), (-166, 90, 70)]
[(5567, 15077, 2593), (-166, 90, 70)]
[(5567, 15077, 2593), (-166, 90, 70)]
[(5576, 15106, 2580), (-154, 74, 72)]
[(5576, 15106, 2580), (-154, 74, 72)]
[(5576, 15106, 2580), (-154, 74, 72)]
[(5576, 15106, 2580), (-154, 74, 72)]
[(5576, 15106, 2580), (-154, 74, 72)]
[(5559, 15120, 2540), (-94, 121, 68)]
[(5559, 15120, 2540), (-94, 121, 68)]
[(5559, 15120, 2540), (-94, 121, 68)]
[(5559, 15120, 2540), (-94, 121, 68)]
[(5539, 15127, 2505), (-24, 123, 71)]
[(5539, 15127, 2505), (-24, 123, 71)]
[(5555, 15110, 2493), (17, 110, 78)]
[(5555, 15110, 2493), (17, 110, 78)]
[(5555, 15110, 2493), (17, 110, 78)]
[(5573, 15096, 2465), (1, 40, 94)]
[(5573, 15096, 2465), (1, 40, 94)]
[(5573, 15096, 2465), (1, 40, 94)]
[(5573, 15096, 2465), (1, 40, 94)]
[(5558, 15092, 2495), (-10, 2, 84)]
[(5558, 15092, 2495), (-10, 2, 84)]
[(5560, 15111, 2467), (-85, 24, 77)]
[(5560, 15111, 2467), (-85, 24, 77)]
[(5560, 15111, 2467), (-85, 24, 77)]
[(5560, 15111, 2467), (-85, 24, 77)]
