[(4630, 15640, 1061), (-116, 125, -20)]
[(4667, 15664, 1092), (-159, 115, 4)]
[(4667, 15664, 1092), (-159, 115, 4)]
[(4667, 15664, 1092), (-159, 115, 4)]
[(4676, 15667, 1092), (-201, 75, 4)]
[(4676, 15667, 1092), (-201, 75, 4)]
[(4676, 15667, 1092), (-201, 75, 4)]
[(4676, 15667, 1092), (-201, 75, 4)]
[(4676, 15667, 1092), (-201, 75, 4)]
[(4668, 15632, 1140), (-147, 126, -19)]
[(4668, 15632, 1140), (-147, 126, -19)]
[(4668, 15632, 1140), (-147, 126, -19)]
[(4668, 15632, 1140), (-147, 126, -19)]
[(4681, 15629, 1137), (-156, 151, -33)]
[(4681, 15629, 1137), (-156, 151, -33)]
[(4681, 15629, 1137), (-156, 151, -33)]
[(4681, 15629, 1137), (-156, 151, -33)]
[(4652, 15613, 1193), (-170, 118, -20)]
[(4617, 15611, 1222), (-197, 78, -16)]
[(4617, 15611, 1222), (-197, 78, -16)]
[(4617, 15611, 1222), (-197, 78, -16)]
[(4617, 15611, 1222), (-197, 78, -16)]
[(4624, 15589, 1227), (-209, 80, -17)]
[(4624, 15589, 1227), (-209, 80, -17)]
[(4624, 15589, 1227), (-209, 80, -17)]
[(4624, 15589, 1227), (-209, 80, -17)]
[(4627, 15592, 1238), (-228, 135, -17)]
[(4635, 15596, 1312), (-298, 497, -25)]
[(4635, 15596, 1312), (-298, 497, -25)]
[(4635, 15596, 1312), (-298, 497, -25)]
[(4635, 15596, 1312), (-298, 497, -25)]
[(4618, 15616, 1321), (-332, 698, 7)]
[(4618, 15616, 1321), (-332, 698, 7)]
[(4618, 15616, 1321), (-332, 698, 7)]
[(4618, 15616, 1321), (-332, 698, 7)]
[(4595, 15612, 1319), (-399, 692, -1)]
[(4595, 15612, 1319), (-399, 692, -1)]
[(4595, 15612, 1319), (-399, 692, -1)]
[(4590, 15591, 1431), (-764, 657, -109)]
[(4590, 15591, 1431), (-764, 657, -109)]
[(4590, 15591, 1431), (-764, 657, -109)]
[(4590, 15591, 1431), (-764, 657, -109)]
[(4590, 15591, 1431), (-764, 657, -109)]
[(4590, 15591, 1431), (-764, 657, -109)]
[(4658, 15520, 1606), (-438, -26, -1)]
[(4658, 15520, 1606), (-438, -26, -1)]
[(4656, 15511, 1614), (-378, -119, -22)]
[(4656, 15511, 1614), (-378, -119, -22)]
[(4656, 15511, 1614), (-378, -119, -22)]
[(4605, 15508, 1636), (-352, -106, -4)]
[(4605, 15508, 1636), (-352, -106, -4)]
[(4605, 15508, 1636), (-352, -106, -4)]
[(4605, 15508, 1636), (-352, -106, -4)]
[(4556, 15539, 1616), (-375, 77, -31)]
[(4604, 15572, 1562), (416, -7, 90)]
[(4604, 15572, 1562), (416, -7, 90)]
[(4604, 15572, 1562), (416, -7, 90)]
[(4604, 15572, 1562), (416, -7, 90)]
[(4615, 15604, 1517), (423, -91, 122)]
[(4615, 15604, 1517), (423, -91, 122)]
[(4604, 15613, 1486), (286, -135, 114)]
[(4604, 15613, 1486), (286, -135, 114)]
[(4604, 15613, 1486), (286, -135, 114)]
[(4606, 15600, 1437), (216, -117, 90)]
[(4606, 15600, 1437), (216, -117, 90)]
[(4606, 15600, 1437), (216, -117, 90)]
[(4606, 15600, 1437), (216, -117, 90)]
[(4606, 15600, 1437), (216, -117, 90)]
[(4606, 15600, 1437), (216, -117, 90)]
[(4604, 15572, 1413), (151, -128, 86)]
[(4604, 15572, 1413), (151, -128, 86)]
[(4598, 15576, 1409), (101, -101, 91)]
[(4598, 15576, 1409), (101, -101, 91)]
[(4598, 15576, 1409), (101, -101, 91)]
[(4623, 15602, 1365), (47, -66, 104)]
[(4623, 15602, 1365), (47, -66, 104)]
[(4657, 15599, 1331), (20, -67, 89)]
[(4657, 15599, 1331), (20, -67, 89)]
[(4657, 15599, 1331), (20, -67, 89)]
[(4627, 15610, 1319), (-7, -71, 55)]
[(4627, 15610, 1319), (-7, -71, 55)]
[(4627, 15610, 1319), (-7, -71, 55)]
[(4627, 15610, 1319), (-7, -71, 55)]
[(4627, 15610, 1319), (-7, -71, 55)]
[(4612, 15608, 1291), (-20, -35, 47)]
[(4612, 15608, 1291), (-20, -35, 47)]
[(4603, 15608, 1291), (-17, -26, 54)]
[(4603, 15608, 1291), (-17, -26, 54)]
[(4603, 15608, 1291), (-17, -26, 54)]
[(4603, 15608, 1291), (-17, -26, 54)]
[(4603, 15608, 1291), (-17, -26, 54)]
[(4588, 15606, 1288), (-15, -10, 60)]
[(4588, 15606, 1288), (-15, -10, 60)]
[(4603, 15586, 1272), (-27, 2, 59)]
[(4603, 15586, 1272), (-27, 2, 59)]
[(4622, 15590, 1268), (-40, 8, 69)]
[(4622, 15590, 1268), (-40, 8, 69)]
[(4622, 15590, 1268), (-40, 8, 69)]
[(4632, 15574, 1279), (-40, 10, 80)]
[(4632, 15574, 1279), (-40, 10, 80)]
[(4632, 15574, 1279), (-40, 10, 80)]
[(4632, 15574, 1279), (-40, 10, 80)]
[(4632, 15574, 1279), (-40, 10, 80)]
