[(5289, 15454, 1053), (-165, -9, 33)]
[(5271, 15463, 1081), (-172, 21, 37)]
[(5271, 15463, 1081), (-172, 21, 37)]
[(5271, 15463, 1081), (-172, 21, 37)]
[(5263, 15452, 1103), (-182, 40, 43)]
[(5256, 15468, 1124), (-196, 3, 41)]
[(5256, 15468, 1124), (-196, 3, 41)]
[(5256, 15468, 1124), (-196, 3, 41)]
[(5256, 15468, 1124), (-196, 3, 41)]
[(5235, 15474, 1082), (-111, 48, 10)]
[(5235, 15474, 1082), (-111, 48, 10)]
[(5235, 15474, 1082), (-111, 48, 10)]
[(5235, 15474, 1082), (-111, 48, 10)]
[(5205, 15497, 1073), (-98, 61, -2)]
[(5256, 15481, 1076), (-99, 51, 23)]
[(5256, 15481, 1076), (-99, 51, 23)]
[(5256, 15481, 1076), (-99, 51, 23)]
[(5256, 15481, 1076), (-99, 51, 23)]
[(5253, 15496, 1088), (-127, -2, 13)]
[(5253, 15496, 1088), (-127, -2, 13)]
[(5253, 15496, 1088), (-127, -2, 13)]
[(5253, 15496, 1088), (-127, -2, 13)]
[(5264, 15469, 1101), (-118, 26, -4)]
[(5224, 15466, 1252), (-315, 701, -89)]
[(5224, 15466, 1252), (-315, 701, -89)]
[(5224, 15466, 1252), (-315, 701, -89)]
[(5224, 15466, 1252), (-315, 701, -89)]
[(5195, 15464, 1113), (-542, 1077, -132)]
[(5195, 15464, 1113), (-542, 1077, -132)]
[(5195, 15464, 1113), (-542, 1077, -132)]
[(5195, 15464, 1113), (-542, 1077, -132)]
[(5165, 15443, 1246), (-603, 1171, -134)]
[(5178, 15425, 1271), (-534, 891, -122)]
[(5178, 15425, 1271), (-534, 891, -122)]
[(5178, 15425, 1271), (-534, 891, -122)]
[(5178, 15425, 1271), (-534, 891, -122)]
[(5178, 15425, 1271), (-534, 891, -122)]
[(5178, 15425, 1271), (-534, 891, -122)]
[(5151, 15438, 1353), (-491, 563, -103)]
[(5151, 15438, 1353), (-491, 563, -103)]
[(5202, 15436, 1303), (-166, 413, -71)]
[(5189, 15425, 1358), (-20, -20, 25)]
[(5189, 15425, 1358), (-20, -20, 25)]
[(5189, 15425, 1358), (-20, -20, 25)]
[(5189, 15425, 1358), (-20, -20, 25)]
[(5180, 15430, 1412), (-86, -101, 30)]
[(5180, 15430, 1412), (-86, -101, 30)]
[(5177, 15455, 1451), (-70, -51, 52)]
[(5177, 15455, 1451), (-70, -51, 52)]
[(5177, 15455, 1451), (-70, -51, 52)]
[(5138, 15444, 1452), (-96, 1, 57)]
[(5138, 15444, 1452), (-96, 1, 57)]
[(5138, 15444, 1452), (-96, 1, 57)]
[(5138, 15444, 1452), (-96, 1, 57)]
[(5164, 15443, 1484), (-147, 197, 24)]
[(5164, 15443, 1484), (-147, 197, 24)]
[(5159, 15430, 1488), (-206, 254, 32)]
[(5159, 15430, 1488), (-206, 254, 32)]
[(5159, 15430, 1488), (-206, 254, 32)]
[(5202, 15436, 1480), (248, 87, 124)]
[(5202, 15436, 1480), (248, 87, 124)]
[(5202, 15436, 1480), (248, 87, 124)]
[(5202, 15436, 1480), (248, 87, 124)]
[(5202, 15436, 1480), (248, 87, 124)]
[(5202, 15436, 1480), (248, 87, 124)]
[(5184, 15420, 1429), (186, -30, 94)]
[(5184, 15420, 1429), (186, -30, 94)]
[(5184, 15420, 1429), (186, -30, 94)]
[(5184, 15420, 1429), (186, -30, 94)]
[(5184, 15420, 1429), (186, -30, 94)]
[(5167, 15416, 1414), (113, -74, 59)]
[(5167, 15416, 1414), (113, -74, 59)]
[(5188, 15421, 1407), (104, -83, 38)]
[(5188, 15421, 1407), (104, -83, 38)]
[(5188, 15421, 1407), (104, -83, 38)]
[(5188, 15421, 1407), (104, -83, 38)]
[(5193, 15441, 1380), (101, -47, 52)]
[(5222, 15438, 1299), (76, 17, 89)]
[(5222, 15438, 1299), (76, 17, 89)]
[(5222, 15438, 1299), (76, 17, 89)]
[(5222, 15438, 1299), (76, 17, 89)]
[(5210, 15429, 1293), (72, 14, 133)]
[(5210, 15429, 1293), (72, 14, 133)]
[(5210, 15429, 1293), (72, 14, 133)]
[(5210, 15429, 1293), (72, 14, 133)]
[(5210, 15429, 1293), (72, 14, 133)]
[(5219, 15436, 1249), (44, -30, 110)]
[(5219, 15436, 1249), (44, -30, 110)]
[(5219, 15436, 1249), (44, -30, 110)]
[(5221, 15448, 1202), (30, -30, 98)]
[(5221, 15448, 1202), (30, -30, 98)]
[(5233, 15464, 1199), (39, 8, 71)]
[(5233, 15464, 1199), (39, 8, 71)]
[(5233, 15464, 1199), (39, 8, 71)]
[(5220, 15467, 1174), (29, 45, 39)]
[(5220, 15467, 1174), (29, 45, 39)]
[(5220, 15467, 1174), (29, 45, 39)]
[(5220, 15467, 1174), (29, 45, 39)]
[(5182, 15470, 1160), (-13, 56, 11)]
[(5182, 15470, 1160), (-13, 56, 11)]
[(5182, 15470, 1160), (-13, 56, 11)]
[(5182, 15470, 1160), (-13, 56, 11)]
[(5189, 15450, 1152), (-45, 64, 5)]
[(5188, 15470, 1133), (-60, 54, 16)]
[(5188, 15470, 1133), (-60, 54, 16)]
[(5188, 15470, 1133), (-60, 54, 16)]
[(5188, 15470, 1133), (-60, 54, 16)]
[(5190, 15461, 1120), (-81, 39, 23)]
[(5190, 15461, 1120), (-81, 39, 23)]
[(5181, 15479, 1116), (-101, 32, 30)]
[(5181, 15479, 1116), (-101, 32, 30)]
