[(5106, 15504, 1046), (-177, 42, 33)]
[(5100, 15488, 1056), (-156, 55, 20)]
[(5123, 15461, 1126), (-95, 135, 16)]
[(5123, 15461, 1126), (-95, 135, 16)]
[(5123, 15461, 1126), (-95, 135, 16)]
[(5123, 15461, 1126), (-95, 135, 16)]
[(5159, 15461, 1109), (-102, 142, 28)]
[(5159, 15461, 1109), (-102, 142, 28)]
[(5140, 15460, 1114), (-146, 96, 44)]
[(5140, 15460, 1114), (-146, 96, 44)]
[(5140, 15460, 1114), (-146, 96, 44)]
[(5090, 15477, 1095), (-130, 79, 18)]
[(5090, 15477, 1095), (-130, 79, 18)]
[(5090, 15477, 1095), (-130, 79, 18)]
[(5090, 15477, 1095), (-130, 79, 18)]
[(5077, 15504, 1109), (-139, 102, 32)]
[(5077, 15504, 1109), (-139, 102, 32)]
[(5053, 15504, 1122), (-155, 192, 29)]
[(5053, 15504, 1122), (-155, 192, 29)]
[(5053, 15504, 1122), (-155, 192, 29)]
[(5053, 15504, 1122), (-155, 192, 29)]
[(5053, 15504, 1122), (-155, 192, 29)]
[(5053, 15504, 1122), (-155, 192, 29)]
[(5053, 15504, 1122), (-155, 192, 29)]
[(5016, 15502, 1140), (-242, 653, -5)]
[(5016, 15502, 1140), (-242, 653, -5)]
[(4992, 15491, 1109), (-388, 794, -21)]
[(4992, 15491, 1109), (-388, 794, -21)]
[(4992, 15491, 1109), (-388, 794, -21)]
[(5044, 15488, 1093), (-297, 617, -23)]
[(5044, 15488, 1093), (-297, 617, -23)]
[(5044, 15488, 1093), (-297, 617, -23)]
[(5044, 15488, 1093), (-297, 617, -23)]
[(5026, 15477, 1272), (-526, 464, -78)]
[(5026, 15477, 1272), (-526, 464, -78)]
[(5244, 15427, 1333), (-371, -260, -9)]
[(5244, 15427, 1333), (-371, -260, -9)]
[(5244, 15427, 1333), (-371, -260, -9)]
[(5271, 15392, 1329), (-339, -379, 17)]
[(5271, 15392, 1329), (-339, -379, 17)]
[(5271, 15392, 1329), (-339, -379, 17)]
[(5271, 15392, 1329), (-339, -379, 17)]
[(5256, 15404, 1371), (-266, -350, 10)]
[(5256, 15404, 1371), (-266, -350, 10)]
[(5209, 15417, 1374), (-289, -181, -7)]
[(5209, 15417, 1374), (-289, -181, -7)]
[(5209, 15417, 1374), (-289, -181, -7)]
[(5168, 15427, 1399), (-396, 177, -49)]
[(5168, 15427, 1399), (-396, 177, -49)]
[(5168, 15427, 1399), (-396, 177, -49)]
[(5168, 15427, 1399), (-396, 177, -49)]
[(5135, 15407, 1462), (-26, 62, 92)]
[(5135, 15407, 1462), (-26, 62, 92)]
[(5103, 15443, 1386), (1, 15, 99)]
[(5103, 15443, 1386), (1, 15, 99)]
[(5103, 15443, 1386), (1, 15, 99)]
[(5099, 15454, 1304), (2, 18, 102)]
[(5099, 15454, 1304), (2, 18, 102)]
[(5091, 15480, 1267), (-18, 11, 98)]
[(5091, 15480, 1267), (-18, 11, 98)]
[(5091, 15480, 1267), (-18, 11, 98)]
[(5091, 15480, 1267), (-18, 11, 98)]
[(5112, 15466, 1235), (-22, 3, 78)]
[(5112, 15466, 1235), (-22, 3, 78)]
[(5112, 15466, 1235), (-22, 3, 78)]
[(5113, 15474, 1278), (14, 9, 67)]
[(5113, 15474, 1278), (14, 9, 67)]
[(5113, 15474, 1278), (14, 9, 67)]
[(5113, 15474, 1278), (14, 9, 67)]
[(5123, 15481, 1247), (29, 27, 67)]
[(5123, 15481, 1247), (29, 27, 67)]
[(5111, 15480, 1204), (3, 4, 72)]
[(5111, 15480, 1204), (3, 4, 72)]
[(5111, 15480, 1204), (3, 4, 72)]
[(5087, 15512, 1158), (-42, -30, 37)]
[(5087, 15512, 1158), (-42, -30, 37)]
[(5040, 15525, 1088), (-54, 2, 11)]
[(5040, 15525, 1088), (-54, 2, 11)]
[(5040, 15525, 1088), (-54, 2, 11)]
[(5040, 15525, 1088), (-54, 2, 11)]
[(5040, 15525, 1088), (-54, 2, 11)]
[(5008, 15522, 1094), (-53, 61, 35)]
[(5008, 15522, 1094), (-53, 61, 35)]
[(5011, 15526, 1080), (-71, 68, 53)]
[(5011, 15526, 1080), (-71, 68, 53)]
[(5011, 15526, 1080), (-71, 68, 53)]
[(5056, 15520, 1069), (-98, 37, 78)]
[(5056, 15520, 1069), (-98, 37, 78)]
[(5038, 15532, 1049), (-145, 15, 74)]
[(5038, 15532, 1049), (-145, 15, 74)]
[(5038, 15532, 1049), (-145, 15, 74)]
[(5056, 15545, 1041), (-146, 32, 67)]
[(5056, 15545, 1041), (-146, 32, 67)]
[(5057, 15545, 1058), (-172, 43, 56)]
[(5057, 15545, 1058), (-172, 43, 56)]
[(5057, 15545, 1058), (-172, 43, 56)]
[(5057, 15545, 1058), (-172, 43, 56)]
[(5054, 15570, 1068), (-167, 36, 39)]
[(5054, 15570, 1068), (-167, 36, 39)]
[(5054, 15570, 1068), (-167, 36, 39)]
[(5033, 15571, 1056), (-174, 46, 39)]
[(5033, 15571, 1056), (-174, 46, 39)]
[(5033, 15571, 1056), (-174, 46, 39)]
[(5033, 15571, 1056), (-174, 46, 39)]
[(5047, 15537, 1078), (-184, 69, 51)]
[(5047, 15537, 1078), (-184, 69, 51)]
[(5059, 15540, 1048), (-187, 71, 49)]
[(5059, 15540, 1048), (-187, 71, 49)]
