[(5069, 15496, 1058), (16, 105, -65)]
[(5032, 15528, 1051), (-60, 37, -99)]
[(5032, 15528, 1051), (-60, 37, -99)]
[(4996, 15539, 1078), (-75, 16, -108)]
[(4996, 15539, 1078), (-75, 16, -108)]
[(4996, 15539, 1078), (-75, 16, -108)]
[(4968, 15521, 1068), (-15, 72, -89)]
[(4968, 15521, 1068), (-15, 72, -89)]
[(4988, 15520, 1044), (-27, 100, -63)]
[(4988, 15520, 1044), (-27, 100, -63)]
[(4988, 15520, 1044), (-27, 100, -63)]
[(4988, 15520, 1044), (-27, 100, -63)]
[(4988, 15520, 1044), (-27, 100, -63)]
[(4988, 15520, 1044), (-27, 100, -63)]
[(5006, 15528, 1052), (-30, 82, -42)]
[(4994, 15525, 1050), (-68, 53, -20)]
[(4994, 15525, 1050), (-68, 53, -20)]
[(4996, 15524, 1048), (-74, 53, 12)]
[(4996, 15524, 1048), (-74, 53, 12)]
[(4996, 15524, 1048), (-74, 53, 12)]
[(4996, 15524, 1048), (-74, 53, 12)]
[(4996, 15524, 1048), (-74, 53, 12)]
[(4996, 15524, 1048), (-74, 53, 12)]
[(4996, 15524, 1048), (-74, 53, 12)]
[(4989, 15531, 1038), (-83, 64, 38)]
[(4989, 15531, 1038), (-83, 64, 38)]
[(5008, 15519, 1035), (-103, 55, 44)]
[(5008, 15519, 1035), (-103, 55, 44)]
[(5008, 15519, 1035), (-103, 55, 44)]
[(5008, 15519, 1035), (-103, 55, 44)]
[(5041, 15512, 1045), (-103, 64, 59)]
[(5041, 15512, 1045), (-103, 64, 59)]
[(5028, 15496, 1024), (-99, 80, 61)]
[(5028, 15496, 1024), (-99, 80, 61)]
[(5028, 15496, 1024), (-99, 80, 61)]
[(5036, 15507, 994), (-95, 101, 58)]
[(5036, 15507, 994), (-95, 101, 58)]
[(5036, 15507, 994), (-95, 101, 58)]
[(5036, 15507, 994), (-95, 101, 58)]
[(5044, 15494, 1003), (-101, 117, 42)]
[(5044, 15494, 1003), (-101, 117, 42)]
[(5056, 15480, 1009), (-112, 107, 34)]
[(5056, 15480, 1009), (-112, 107, 34)]
[(5056, 15480, 1009), (-112, 107, 34)]
[(5042, 15518, 980), (-136, 94, 36)]
[(5042, 15518, 980), (-136, 94, 36)]
[(5042, 15518, 980), (-136, 94, 36)]
[(5042, 15518, 980), (-136, 94, 36)]
[(5047, 15491, 968), (-117, 113, 46)]
[(5047, 15491, 968), (-117, 113, 46)]
[(5073, 15485, 1001), (-121, 173, 44)]
[(5073, 15485, 1001), (-121, 173, 44)]
[(5073, 15485, 1001), (-121, 173, 44)]
[(5104, 15486, 1037), (-123, 117, 50)]
[(5104, 15486, 1037), (-123, 117, 50)]
[(5104, 15486, 1037), (-123, 117, 50)]
[(5104, 15486, 1037), (-123, 117, 50)]
[(5074, 15487, 1151), (-408, 648, -34)]
[(5074, 15487, 1151), (-408, 648, -34)]
[(5030, 15500, 1215), (-896, 921, -190)]
[(5030, 15500, 1215), (-896, 921, -190)]
[(5030, 15500, 1215), (-896, 921, -190)]
[(5037, 15462, 1262), (-742, 713, -68)]
[(5037, 15462, 1262), (-742, 713, -68)]
[(5037, 15462, 1262), (-742, 713, -68)]
[(5037, 15462, 1262), (-742, 713, -68)]
[(5028, 15491, 1264), (-621, 78, -2)]
[(5028, 15491, 1264), (-621, 78, -2)]
[(5047, 15524, 1292), (-569, -87, 3)]
[(5047, 15524, 1292), (-569, -87, 3)]
[(5047, 15524, 1292), (-569, -87, 3)]
[(5000, 15517, 1329), (-556, -77, -2)]
[(5000, 15517, 1329), (-556, -77, -2)]
[(5000, 15517, 1329), (-556, -77, -2)]
[(5000, 15517, 1329), (-556, -77, -2)]
[(4994, 15532, 1348), (-499, -20, -38)]
[(4994, 15532, 1348), (-499, -20, -38)]
[(5028, 15579, 1297), (160, -96, 71)]
[(5028, 15579, 1297), (160, -96, 71)]
[(5028, 15579, 1297), (160, -96, 71)]
[(4968, 15556, 1315), (130, -114, 78)]
[(4968, 15556, 1315), (130, -114, 78)]
[(4968, 15556, 1315), (130, -114, 78)]
[(4968, 15556, 1315), (130, -114, 78)]
[(4968, 15554, 1305), (100, -132, 85)]
[(4968, 15554, 1305), (100, -132, 85)]
[(4968, 15554, 1305), (100, -132, 85)]
[(4960, 15549, 1303), (77, -105, 95)]
[(4960, 15549, 1303), (77, -105, 95)]
[(4985, 15548, 1300), (72, -82, 94)]
[(4985, 15548, 1300), (72, -82, 94)]
[(4985, 15548, 1300), (72, -82, 94)]
[(4985, 15548, 1300), (72, -82, 94)]
[(4978, 15546, 1303), (45, -76, 87)]
[(4978, 15546, 1303), (45, -76, 87)]
[(5001, 15533, 1289), (19, -43, 73)]
[(5001, 15533, 1289), (19, -43, 73)]
[(5001, 15533, 1289), (19, -43, 73)]
[(5035, 15529, 1276), (-6, -32, 64)]
[(5035, 15529, 1276), (-6, -32, 64)]
[(5035, 15529, 1276), (-6, -32, 64)]
[(5035, 15529, 1276), (-6, -32, 64)]
[(5068, 15530, 1276), (-24, -9, 66)]
[(5068, 15530, 1276), (-24, -9, 66)]
[(5065, 15520, 1266), (-68, -1, 44)]
[(5065, 15520, 1266), (-68, -1, 44)]
[(5065, 15520, 1266), (-68, -1, 44)]
[(5035, 15520, 1257), (-87, -8, 27)]
[(5035, 15520, 1257), (-87, -8, 27)]
[(5035, 15520, 1257), (-87, -8, 27)]
[(5035, 15520, 1257), (-87, -8, 27)]
[(5014, 15510, 1252), (-69, -4, 11)]
[(5014, 15510, 1252), (-69, -4, 11)]
[(5006, 15491, 1287), (77, 101, 6)]
[(5006, 15491, 1287), (77, 101, 6)]
[(5006, 15491, 1287), (77, 101, 6)]
[(5006, 15491, 1287), (77, 101, 6)]
[(5006, 15491, 1287), (77, 101, 6)]
[(5059, 15475, 1236), (74, 134, 19)]
[(5059, 15475, 1236), (74, 134, 19)]
[(5049, 15475, 1240), (17, 75, 49)]
[(5049, 15475, 1240), (17, 75, 49)]
[(5049, 15475, 1240), (17, 75, 49)]
[(5036, 15484, 1230), (-2, 56, 37)]
[(5036, 15484, 1230), (-2, 56, 37)]
[(5023, 15481, 1229), (-12, 73, 36)]
[(5023, 15481, 1229), (-12, 73, 36)]
[(5023, 15481, 1229), (-12, 73, 36)]
[(5023, 15481, 1229), (-12, 73, 36)]
[(5073, 15471, 1228), (-2, 82, 51)]
[(5073, 15471, 1228), (-2, 82, 51)]
[(5088, 15472, 1174), (-23, 75, 42)]
[(5088, 15472, 1174), (-23, 75, 42)]
[(5079, 15492, 1161), (-33, 64, 39)]
[(5079, 15492, 1161), (-33, 64, 39)]
[(5079, 15492, 1161), (-33, 64, 39)]
[(5079, 15492, 1161), (-33, 64, 39)]
[(5060, 15492, 1156), (-53, 48, 33)]
[(5060, 15492, 1156), (-53, 48, 33)]
[(5048, 15494, 1160), (-58, 31, 27)]
[(5048, 15494, 1160), (-58, 31, 27)]
[(5048, 15494, 1160), (-58, 31, 27)]
[(5031, 15499, 1112), (-73, 20, 12)]
[(5031, 15499, 1112), (-73, 20, 12)]
[(5031, 15499, 1112), (-73, 20, 12)]
[(5031, 15499, 1112), (-73, 20, 12)]
[(5043, 15506, 1084), (-68, -7, 13)]
[(5043, 15506, 1084), (-68, -7, 13)]
[(5027, 15500, 1052), (-56, -9, 7)]
[(5027, 15500, 1052), (-56, -9, 7)]
[(5027, 15500, 1052), (-56, -9, 7)]
[(5025, 15490, 1044), (-38, 4, 0)]
[(5025, 15490, 1044), (-38, 4, 0)]
[(5025, 15490, 1044), (-38, 4, 0)]
[(5025, 15490, 1044), (-38, 4, 0)]
[(5008, 15500, 1014), (-11, -40, -5)]
[(5008, 15500, 1014), (-11, -40, -5)]
