[(3460, 15616, 2736), (-8, -18, 19)]
[(3503, 15634, 2767), (-15, -8, 38)]
[(3503, 15634, 2767), (-15, -8, 38)]
[(3503, 15634, 2767), (-15, -8, 38)]
[(3516, 15616, 2716), (24, 27, 31)]
[(3516, 15616, 2716), (24, 27, 31)]
[(3528, 15610, 2724), (9, 34, 27)]
[(3528, 15610, 2724), (9, 34, 27)]
[(3528, 15610, 2724), (9, 34, 27)]
[(3568, 15607, 2728), (-13, 35, 24)]
[(3568, 15607, 2728), (-13, 35, 24)]
[(3568, 15607, 2728), (-13, 35, 24)]
[(3568, 15607, 2728), (-13, 35, 24)]
[(3546, 15604, 2712), (-28, -4, 19)]
[(3546, 15604, 2712), (-28, -4, 19)]
[(3548, 15608, 2696), (-43, -68, 11)]
[(3548, 15608, 2696), (-43, -68, 11)]
[(3548, 15608, 2696), (-43, -68, 11)]
[(3563, 15613, 2706), (-69, -185, 16)]
[(3563, 15613, 2706), (-69, -185, 16)]
[(3563, 15613, 2706), (-69, -185, 16)]
[(3563, 15613, 2706), (-69, -185, 16)]
[(3563, 15613, 2706), (-69, -185, 16)]
[(3563, 15613, 2706), (-69, -185, 16)]
[(3638, 15613, 2620), (-43, -750, 56)]
[(3638, 15613, 2620), (-43, -750, 56)]
[(3638, 15613, 2620), (-43, -750, 56)]
[(3672, 15604, 2574), (77, -1219, 77)]
[(3672, 15604, 2574), (77, -1219, 77)]
[(3672, 15604, 2574), (77, -1219, 77)]
[(3672, 15604, 2574), (77, -1219, 77)]
[(3672, 15604, 2574), (77, -1219, 77)]
[(3672, 15604, 2574), (77, -1219, 77)]
[(3534, 15760, 2182), (-210, -1144, 38)]
[(3534, 15760, 2182), (-210, -1144, 38)]
[(3534, 15760, 2182), (-210, -1144, 38)]
[(3429, 15794, 2245), (-292, -954, -16)]
[(3429, 15794, 2245), (-292, -954, -16)]
[(3429, 15794, 2245), (-292, -954, -16)]
[(3429, 15794, 2245), (-292, -954, -16)]
[(3439, 15747, 2314), (-269, -711, -29)]
[(3439, 15747, 2314), (-269, -711, -29)]
[(3484, 15695, 2380), (-270, -572, -7)]
[(3484, 15695, 2380), (-270, -572, -7)]
[(3484, 15695, 2380), (-270, -572, -7)]
[(3498, 15664, 2448), (-266, -459, 36)]
[(3498, 15664, 2448), (-266, -459, 36)]
[(3498, 15664, 2448), (-266, -459, 36)]
[(3498, 15664, 2448), (-266, -459, 36)]
[(3521, 15658, 2491), (-229, -327, 88)]
[(3521, 15658, 2491), (-229, -327, 88)]
[(3507, 15669, 2328), (271, -332, 316)]
[(3507, 15669, 2328), (271, -332, 316)]
[(3507, 15669, 2328), (271, -332, 316)]
[(3483, 15667, 2371), (407, -114, 380)]
[(3483, 15667, 2371), (407, -114, 380)]
[(3483, 15667, 2371), (407, -114, 380)]
[(3483, 15667, 2371), (407, -114, 380)]
[(3543, 15685, 2399), (338, 0, 368)]
[(3543, 15685, 2399), (338, 0, 368)]
[(3596, 15651, 2414), (245, 145, 336)]
[(3596, 15651, 2414), (245, 145, 336)]
[(3596, 15651, 2414), (245, 145, 336)]
[(3640, 15633, 2382), (160, 221, 299)]
[(3640, 15633, 2382), (160, 221, 299)]
[(3711, 15636, 2411), (88, 267, 267)]
[(3711, 15636, 2411), (88, 267, 267)]
[(3711, 15636, 2411), (88, 267, 267)]
[(3711, 15636, 2411), (88, 267, 267)]
[(3734, 15638, 2440), (45, 208, 242)]
[(3734, 15638, 2440), (45, 208, 242)]
[(3734, 15638, 2440), (45, 208, 242)]
[(3771, 15652, 2480), (58, 208, 197)]
[(3771, 15652, 2480), (58, 208, 197)]
[(3786, 15649, 2456), (55, 182, 136)]
[(3786, 15649, 2456), (55, 182, 136)]
[(3786, 15649, 2456), (55, 182, 136)]
[(3786, 15649, 2456), (55, 182, 136)]
[(3777, 15608, 2460), (34, 216, 86)]
[(3777, 15608, 2460), (34, 216, 86)]
[(3772, 15592, 2494), (9, 289, 89)]
[(3772, 15592, 2494), (9, 289, 89)]
[(3772, 15592, 2494), (9, 289, 89)]
[(3772, 15592, 2494), (9, 289, 89)]
[(3771, 15590, 2513), (-7, 306, 79)]
[(3771, 15590, 2513), (-7, 306, 79)]
[(3775, 15579, 2521), (-18, 280, 77)]
[(3775, 15579, 2521), (-18, 280, 77)]
[(3775, 15579, 2521), (-18, 280, 77)]
[(3766, 15576, 2541), (-18, 286, 58)]
[(3766, 15576, 2541), (-18, 286, 58)]
[(3788, 15592, 2516), (-24, 269, 63)]
[(3788, 15592, 2516), (-24, 269, 63)]
[(3788, 15592, 2516), (-24, 269, 63)]
[(3788, 15592, 2516), (-24, 269, 63)]
[(3788, 15592, 2516), (-24, 269, 63)]
[(3788, 15592, 2516), (-24, 269, 63)]
[(3783, 15580, 2509), (-24, 230, 63)]
[(3783, 15580, 2509), (-24, 230, 63)]
[(3783, 15580, 2509), (-24, 230, 63)]
[(3777, 15568, 2504), (-39, 206, 60)]
[(3777, 15568, 2504), (-39, 206, 60)]
[(3804, 15555, 2512), (-55, 179, 53)]
[(3804, 15555, 2512), (-55, 179, 53)]
