[(4158, 15488, 2349), (37, 168, -20)]
[(4176, 15491, 2338), (-49, 99, 8)]
[(4176, 15491, 2338), (-49, 99, 8)]
[(4176, 15491, 2338), (-49, 99, 8)]
[(4176, 15491, 2338), (-49, 99, 8)]
[(4177, 15473, 2353), (-79, 79, 13)]
[(4177, 15473, 2353), (-79, 79, 13)]
[(4189, 15490, 2384), (-55, 83, 37)]
[(4189, 15490, 2384), (-55, 83, 37)]
[(4189, 15490, 2384), (-55, 83, 37)]
[(4221, 15511, 2392), (-81, 68, 24)]
[(4221, 15511, 2392), (-81, 68, 24)]
[(4221, 15511, 2392), (-81, 68, 24)]
[(4221, 15511, 2392), (-81, 68, 24)]
[(4221, 15511, 2392), (-81, 68, 24)]
[(4221, 15511, 2392), (-81, 68, 24)]
[(4207, 15514, 2369), (-103, 54, 3)]
[(4166, 15527, 2385), (-112, 44, -7)]
[(4166, 15527, 2385), (-112, 44, -7)]
[(4166, 15527, 2385), (-112, 44, -7)]
[(4166, 15527, 2385), (-112, 44, -7)]
[(4166, 15527, 2385), (-112, 44, -7)]
[(4166, 15527, 2385), (-112, 44, -7)]
[(4166, 15527, 2385), (-112, 44, -7)]
[(4166, 15527, 2385), (-112, 44, -7)]
[(4166, 15527, 2385), (-112, 44, -7)]
[(4168, 15524, 2382), (-138, -101, 27)]
[(4168, 15524, 2382), (-138, -101, 27)]
[(4189, 15528, 2380), (-163, -455, 4)]
[(4189, 15528, 2380), (-163, -455, 4)]
[(4189, 15528, 2380), (-163, -455, 4)]
[(4189, 15528, 2380), (-163, -455, 4)]
[(4196, 15528, 2344), (-166, -955, -9)]
[(4196, 15528, 2344), (-166, -955, -9)]
[(4232, 15529, 2306), (26, -1035, 42)]
[(4232, 15529, 2306), (26, -1035, 42)]
[(4232, 15529, 2306), (26, -1035, 42)]
[(4229, 15540, 2280), (0, -838, 62)]
[(4229, 15540, 2280), (0, -838, 62)]
[(4229, 15540, 2280), (0, -838, 62)]
[(4229, 15540, 2280), (0, -838, 62)]
[(4245, 15553, 2286), (-47, -583, 14)]
[(4245, 15553, 2286), (-47, -583, 14)]
[(4108, 15620, 1925), (-70, -745, 78)]
[(4108, 15620, 1925), (-70, -745, 78)]
[(4108, 15620, 1925), (-70, -745, 78)]
[(4114, 15643, 1955), (-144, -664, 3)]
[(4114, 15643, 1955), (-144, -664, 3)]
[(4114, 15643, 1955), (-144, -664, 3)]
[(4114, 15643, 1955), (-144, -664, 3)]
[(4167, 15605, 2026), (-177, -541, -3)]
[(4167, 15605, 2026), (-177, -541, -3)]
[(4198, 15569, 2120), (-172, -490, 23)]
[(4198, 15569, 2120), (-172, -490, 23)]
[(4198, 15569, 2120), (-172, -490, 23)]
[(4215, 15563, 2164), (-175, -349, 20)]
[(4215, 15563, 2164), (-175, -349, 20)]
[(4215, 15563, 2164), (-175, -349, 20)]
[(4215, 15563, 2164), (-175, -349, 20)]
[(4215, 15576, 2180), (-30, -70, 0)]
[(4215, 15576, 2180), (-30, -70, 0)]
[(4207, 15569, 2172), (31, 54, 43)]
[(4207, 15569, 2172), (31, 54, 43)]
[(4207, 15569, 2172), (31, 54, 43)]
[(4207, 15569, 2172), (31, 54, 43)]
[(4207, 15569, 2172), (31, 54, 43)]
[(4207, 15569, 2172), (31, 54, 43)]
[(4207, 15569, 2172), (31, 54, 43)]
[(4217, 15568, 2225), (23, 75, 144)]
[(4217, 15568, 2225), (23, 75, 144)]
[(4252, 15539, 2192), (-2, 156, 109)]
[(4252, 15539, 2192), (-2, 156, 109)]
[(4252, 15539, 2192), (-2, 156, 109)]
[(4308, 15523, 2174), (36, 224, 91)]
[(4308, 15523, 2174), (36, 224, 91)]
[(4308, 15523, 2174), (36, 224, 91)]
[(4308, 15523, 2174), (36, 224, 91)]
[(4321, 15525, 2166), (19, 249, 56)]
[(4321, 15525, 2166), (19, 249, 56)]
[(4307, 15510, 2208), (30, 294, 30)]
[(4307, 15510, 2208), (30, 294, 30)]
[(4307, 15510, 2208), (30, 294, 30)]
[(4309, 15511, 2184), (0, 316, 15)]
[(4309, 15511, 2184), (0, 316, 15)]
[(4309, 15511, 2184), (0, 316, 15)]
[(4309, 15511, 2184), (0, 316, 15)]
[(4303, 15521, 2190), (-28, 294, 30)]
[(4303, 15521, 2190), (-28, 294, 30)]
[(4303, 15521, 2190), (-28, 294, 30)]
[(4303, 15521, 2190), (-28, 294, 30)]
[(4303, 15521, 2190), (-28, 294, 30)]
[(4277, 15526, 2202), (-79, 236, 57)]
[(4277, 15526, 2202), (-79, 236, 57)]
