[(3396, 15652, 2421), (137, 106, 18)]
[(3432, 15663, 2396), (-135, 90, 66)]
[(3432, 15663, 2396), (-135, 90, 66)]
[(3432, 15667, 2391), (-169, 92, 68)]
[(3432, 15667, 2391), (-169, 92, 68)]
[(3432, 15667, 2391), (-169, 92, 68)]
[(3423, 15653, 2389), (-218, 85, 75)]
[(3423, 15653, 2389), (-218, 85, 75)]
[(3440, 15674, 2402), (-229, 80, 67)]
[(3440, 15674, 2402), (-229, 80, 67)]
[(3440, 15674, 2402), (-229, 80, 67)]
[(3440, 15674, 2402), (-229, 80, 67)]
[(3431, 15672, 2430), (-231, 49, 63)]
[(3431, 15672, 2430), (-231, 49, 63)]
[(3431, 15672, 2430), (-231, 49, 63)]
[(3402, 15660, 2448), (-227, 10, 56)]
[(3402, 15660, 2448), (-227, 10, 56)]
[(3408, 15675, 2459), (-226, -65, 52)]
[(3408, 15675, 2459), (-226, -65, 52)]
[(3408, 15675, 2459), (-226, -65, 52)]
[(3408, 15675, 2459), (-226, -65, 52)]
[(3416, 15656, 2447), (-236, -191, 60)]
[(3416, 15656, 2447), (-236, -191, 60)]
[(3416, 15656, 2447), (-236, -191, 60)]
[(3435, 15645, 2448), (-226, -524, 38)]
[(3435, 15645, 2448), (-226, -524, 38)]
[(3492, 15615, 2451), (-157, -877, 24)]
[(3492, 15615, 2451), (-157, -877, 24)]
[(3492, 15615, 2451), (-157, -877, 24)]
[(3492, 15615, 2451), (-157, -877, 24)]
[(3492, 15615, 2451), (-157, -877, 24)]
[(3492, 15615, 2451), (-157, -877, 24)]
[(3508, 15610, 2452), (-79, -916, 64)]
[(3504, 15599, 2412), (-185, -761, 33)]
[(3504, 15599, 2412), (-185, -761, 33)]
[(3476, 15616, 2603), (-1170, -13, -317)]
[(3476, 15616, 2603), (-1170, -13, -317)]
[(3476, 15616, 2603), (-1170, -13, -317)]
[(3476, 15616, 2603), (-1170, -13, -317)]
[(3578, 15576, 2660), (-1161, -13, -155)]
[(3578, 15576, 2660), (-1161, -13, -155)]
[(3578, 15576, 2660), (-1161, -13, -155)]
[(3558, 15580, 2669), (-1078, -142, -129)]
[(3558, 15580, 2669), (-1078, -142, -129)]
[(3591, 15576, 2671), (-917, -111, -72)]
[(3591, 15576, 2671), (-917, -111, -72)]
[(3591, 15576, 2671), (-917, -111, -72)]
[(3591, 15576, 2671), (-917, -111, -72)]
[(3592, 15576, 2682), (-785, -50, 12)]
[(3592, 15576, 2682), (-785, -50, 12)]
[(3592, 15576, 2682), (-785, -50, 12)]
[(3560, 15588, 2663), (-433, 103, 45)]
[(3560, 15588, 2663), (-433, 103, 45)]
[(3560, 15588, 2663), (-433, 103, 45)]
[(3560, 15588, 2663), (-433, 103, 45)]
[(3498, 15628, 2452), (171, 20, 214)]
[(3498, 15628, 2452), (171, 20, 214)]
[(3488, 15622, 2454), (252, 178, 242)]
[(3488, 15622, 2454), (252, 178, 242)]
[(3488, 15622, 2454), (252, 178, 242)]
[(3532, 15641, 2412), (123, 194, 201)]
[(3532, 15641, 2412), (123, 194, 201)]
[(3557, 15628, 2413), (106, 203, 172)]
[(3557, 15628, 2413), (106, 203, 172)]
[(3557, 15628, 2413), (106, 203, 172)]
[(3557, 15628, 2413), (106, 203, 172)]
[(3556, 15630, 2389), (80, 251, 132)]
[(3556, 15630, 2389), (80, 251, 132)]
[(3556, 15630, 2389), (80, 251, 132)]
[(3576, 15648, 2423), (49, 303, 107)]
[(3576, 15648, 2423), (49, 303, 107)]
[(3607, 15644, 2425), (27, 323, 100)]
[(3607, 15644, 2425), (27, 323, 100)]
[(3607, 15644, 2425), (27, 323, 100)]
[(3607, 15644, 2425), (27, 323, 100)]
[(3605, 15632, 2421), (-16, 289, 94)]
[(3605, 15632, 2421), (-16, 289, 94)]
[(3605, 15632, 2421), (-16, 289, 94)]
[(3609, 15625, 2432), (-38, 262, 116)]
[(3609, 15625, 2432), (-38, 262, 116)]
[(3651, 15610, 2441), (-57, 233, 126)]
[(3651, 15610, 2441), (-57, 233, 126)]
[(3651, 15610, 2441), (-57, 233, 126)]
[(3651, 15610, 2441), (-57, 233, 126)]
[(3644, 15605, 2453), (-78, 201, 122)]
[(3644, 15605, 2453), (-78, 201, 122)]
[(3644, 15605, 2453), (-78, 201, 122)]
[(3652, 15621, 2448), (-96, 197, 112)]
[(3652, 15621, 2448), (-96, 197, 112)]
