[(3851, 15601, 2519), (-103, 22, 25)]
[(3844, 15593, 2522), (-108, 44, 23)]
[(3844, 15593, 2522), (-108, 44, 23)]
[(3844, 15593, 2522), (-108, 44, 23)]
[(3833, 15600, 2503), (-95, 35, 39)]
[(3833, 15600, 2503), (-95, 35, 39)]
[(3815, 15604, 2481), (-93, 30, 54)]
[(3815, 15604, 2481), (-93, 30, 54)]
[(3815, 15604, 2481), (-93, 30, 54)]
[(3815, 15604, 2481), (-93, 30, 54)]
[(3820, 15618, 2477), (-101, 25, 65)]
[(3820, 15618, 2477), (-101, 25, 65)]
[(3813, 15608, 2478), (-110, 13, 66)]
[(3813, 15608, 2478), (-110, 13, 66)]
[(3813, 15608, 2478), (-110, 13, 66)]
[(3826, 15600, 2504), (-119, 4, 51)]
[(3826, 15600, 2504), (-119, 4, 51)]
[(3826, 15600, 2504), (-119, 4, 51)]
[(3826, 15600, 2504), (-119, 4, 51)]
[(3837, 15588, 2484), (-106, -27, 46)]
[(3837, 15588, 2484), (-106, -27, 46)]
[(3864, 15615, 2441), (-132, -263, 37)]
[(3864, 15615, 2441), (-132, -263, 37)]
[(3864, 15615, 2441), (-132, -263, 37)]
[(3901, 15624, 2406), (-199, -762, 7)]
[(3901, 15624, 2406), (-199, -762, 7)]
[(3901, 15624, 2406), (-199, -762, 7)]
[(3901, 15624, 2406), (-199, -762, 7)]
[(3955, 15612, 2413), (-134, -1037, 21)]
[(3955, 15612, 2413), (-134, -1037, 21)]
[(3955, 15612, 2413), (-134, -1037, 21)]
[(3972, 15633, 2378), (-102, -1052, 17)]
[(3972, 15633, 2378), (-102, -1052, 17)]
[(3947, 15632, 2369), (14, -820, -27)]
[(3947, 15632, 2369), (14, -820, -27)]
[(3947, 15632, 2369), (14, -820, -27)]
[(3947, 15632, 2369), (14, -820, -27)]
[(3924, 15612, 2485), (-369, -542, -173)]
[(3924, 15612, 2485), (-369, -542, -173)]
[(4072, 15516, 2492), (-315, -371, -115)]
[(4072, 15516, 2492), (-315, -371, -115)]
[(4072, 15516, 2492), (-315, -371, -115)]
[(4076, 15488, 2507), (-351, -359, -95)]
[(4076, 15488, 2507), (-351, -359, -95)]
[(4076, 15488, 2507), (-351, -359, -95)]
[(4076, 15488, 2507), (-351, -359, -95)]
[(4076, 15488, 2507), (-351, -359, -95)]
[(4076, 15488, 2507), (-351, -359, -95)]
[(4025, 15500, 2526), (-198, -211, -63)]
[(4025, 15500, 2526), (-198, -211, -63)]
[(4025, 15500, 2526), (-198, -211, -63)]
[(4010, 15507, 2537), (-168, -36, -50)]
[(4010, 15507, 2537), (-168, -36, -50)]
[(4010, 15507, 2537), (-168, -36, -50)]
[(4010, 15507, 2537), (-168, -36, -50)]
[(3970, 15516, 2348), (293, -5, 134)]
[(3970, 15516, 2348), (293, -5, 134)]
[(3904, 15523, 2370), (377, 133, 166)]
[(3904, 15523, 2370), (377, 133, 166)]
[(3904, 15523, 2370), (377, 133, 166)]
[(3915, 15548, 2353), (264, 183, 121)]
[(3915, 15548, 2353), (264, 183, 121)]
[(3915, 15548, 2353), (264, 183, 121)]
[(3915, 15548, 2353), (264, 183, 121)]
[(3908, 15548, 2341), (177, 192, 118)]
[(3908, 15548, 2341), (177, 192, 118)]
[(3895, 15525, 2340), (124, 192, 100)]
[(3895, 15525, 2340), (124, 192, 100)]
[(3895, 15525, 2340), (124, 192, 100)]
[(3926, 15524, 2327), (67, 188, 100)]
[(3926, 15524, 2327), (67, 188, 100)]
[(3926, 15524, 2327), (67, 188, 100)]
[(3926, 15524, 2327), (67, 188, 100)]
[(3947, 15535, 2318), (21, 187, 107)]
[(3947, 15535, 2318), (21, 187, 107)]
[(3951, 15545, 2300), (-6, 175, 102)]
[(3951, 15545, 2300), (-6, 175, 102)]
[(3976, 15556, 2319), (-17, 197, 90)]
[(3976, 15556, 2319), (-17, 197, 90)]
[(3976, 15556, 2319), (-17, 197, 90)]
[(3976, 15556, 2319), (-17, 197, 90)]
[(3962, 15571, 2330), (-26, 183, 82)]
[(3962, 15571, 2330), (-26, 183, 82)]
[(3993, 15576, 2322), (-47, 152, 87)]
[(3993, 15576, 2322), (-47, 152, 87)]
[(3993, 15576, 2322), (-47, 152, 87)]
[(3993, 15576, 2322), (-47, 152, 87)]
[(3993, 15576, 2322), (-47, 152, 87)]
[(3993, 15576, 2322), (-47, 152, 87)]
[(3993, 15576, 2322), (-47, 152, 87)]
[(4004, 15588, 2330), (-86, 154, 59)]
[(4004, 15588, 2330), (-86, 154, 59)]
[(4021, 15594, 2310), (-72, 194, 62)]
[(4021, 15594, 2310), (-72, 194, 62)]
[(4021, 15594, 2310), (-72, 194, 62)]
[(4033, 15584, 2326), (-81, 191, 71)]
[(4033, 15584, 2326), (-81, 191, 71)]
[(4033, 15584, 2326), (-81, 191, 71)]
[(4033, 15584, 2326), (-81, 191, 71)]
