accX,accY,accZ,gyrX,gyrY,gyrZ
5667,15046,2448,-54,102,3
5640,15056,2425,-60,54,-10
5640,15056,2425,-60,54,-10
5611,15047,2384,-39,91,-25
5611,15047,2384,-39,91,-25
5611,15047,2384,-39,91,-25
5607,15065,2391,-43,101,-36
5607,15065,2391,-43,101,-36
5616,15051,2391,-39,84,-29
5616,15051,2391,-39,84,-29
5616,15051,2391,-39,84,-29
5616,15051,2391,-39,84,-29
5595,15059,2380,-58,68,-33
5595,15059,2380,-58,68,-33
5595,15059,2380,-58,68,-33
5602,15079,2395,-74,71,-20
5602,15079,2395,-74,71,-20
5602,15075,2432,-81,40,0
5602,15075,2432,-81,40,0
5602,15075,2432,-81,40,0
5602,15075,2432,-81,40,0
5602,15084,2394,-64,10,13
5602,15084,2394,-64,10,13
5602,15084,2394,-64,10,13
5602,15084,2394,-64,10,13
5602,15084,2394,-64,10,13
5602,15084,2394,-64,10,13
5602,15084,2394,-64,10,13
5688,15201,2423,271,-783,-62
5688,15201,2423,271,-783,-62
5784,15224,2300,350,-770,-70
5784,15224,2300,350,-770,-70
5784,15224,2300,350,-770,-70
5774,15216,2356,304,-589,-89
5774,15216,2356,304,-589,-89
5744,15208,2535,212,-172,-73
5744,15208,2535,212,-172,-73
5744,15208,2535,212,-172,-73
5744,15208,2535,212,-172,-73
5715,15139,2248,476,79,13
5715,15139,2248,476,79,13
5715,15139,2248,476,79,13
5684,15134,2287,464,84,68
5684,15134,2287,464,84,68
5687,15137,2280,325,69,44
5687,15137,2280,325,69,44
5687,15137,2280,325,69,44
5687,15137,2280,325,69,44
5687,15137,2280,325,69,44
5682,15124,2252,218,103,25
5682,15124,2252,218,103,25
5682,15124,2252,218,103,25
5682,15124,2252,218,103,25
5682,15124,2252,218,103,25
5682,15124,2252,218,103,25
5651,15099,2234,256,220,-58
5651,15099,2234,256,220,-58
5613,15081,2260,240,260,-49
5613,15081,2260,240,260,-49
5613,15081,2260,240,260,-49
5613,15081,2260,240,260,-49
5613,15081,2260,240,260,-49
5620,15076,2265,132,217,-11
5620,15076,2265,132,217,-11
5620,15082,2268,31,157,6
5620,15082,2268,31,157,6
5590,15100,2301,-70,100,-10
5590,15100,2301,-70,100,-10
5590,15100,2301,-70,100,-10
5590,15100,2301,-70,100,-10
5590,15100,2301,-70,100,-10
5590,15100,2315,-128,144,12
5590,15100,2315,-128,144,12
5590,15100,2315,-128,144,12
5590,15100,2315,-128,144,12
5592,15110,2303,-158,136,43
5592,15110,2303,-158,136,43
5592,15110,2303,-158,136,43
5569,15113,2350,-189,88,60
5569,15113,2350,-189,88,60
5564,15132,2370,-200,70,65
5564,15132,2370,-200,70,65
5564,15132,2370,-200,70,65
5564,15132,2370,-200,70,65
5564,15132,2370,-200,70,65
5560,15138,2400,-190,76,65
5560,15138,2400,-190,76,65
5560,15138,2400,-190,76,65
5560,15138,2400,-190,76,65
5610,15108,2422,-178,65,61
5610,15108,2422,-178,65,61
5610,15108,2422,-178,65,61
5610,15108,2422,-178,65,61
5615,15120,2426,-175,81,47
5615,15120,2426,-175,81,47
5615,15120,2426,-175,81,47
5639,15100,2441,-160,84,42
5639,15100,2441,-160,84,42
5655,15100,2436,-141,80,39
5655,15100,2436,-141,80,39
5655,15100,2436,-141,80,39
5655,15100,2436,-141,80,39
5655,15093,2440,-121,67,32
5655,15093,2440,-121,67,32
5655,15093,2440,-121,67,32
5636,15101,2444,-107,76,25
5636,15101,2444,-107,76,25
5627,15105,2454,-106,83,21
