accX,accY,accZ,gyrX,gyrY,gyrZ
-15681,-1326,-4669,-31,199,14
-15700,-1340,-4661,-49,182,22
-15700,-1340,-4661,-49,182,22
-15691,-1342,-4699,-192,204,39
-15691,-1342,-4699,-192,204,39
-15691,-1342,-4699,-192,204,39
-15691,-1342,-4699,-192,204,39
-15691,-1342,-4699,-192,204,39
-15691,-1342,-4699,-192,204,39
-15672,-1277,-4679,-25,124,25
-15672,-1277,-4679,-25,124,25
-15672,-1277,-4679,-25,124,25
-15672,-1277,-4679,-25,124,25
-15672,-1277,-4679,-25,124,25
-15672,-1277,-4679,-25,124,25
-15672,-1277,-4679,-25,124,25
-15672,-1277,-4679,-25,124,25
-15672,-1277,-4679,-25,124,25
-15656,-1252,-4690,0,159,19
-15656,-1252,-4690,0,159,19
-15656,-1252,-4690,0,159,19
-15670,-1268,-4676,43,128,4
-15670,-1268,-4676,43,128,4
-15670,-1268,-4676,43,128,4
-15670,-1268,-4676,43,128,4
-15670,-1268,-4676,43,128,4
-15670,-1268,-4676,43,128,4
-15654,-992,-4526,-65,113,-16
-15654,-992,-4526,-65,113,-16
-15654,-992,-4526,-65,113,-16
-15654,-992,-4526,-65,113,-16
-15654,-992,-4526,-65,113,-16
-15654,-992,-4526,-65,113,-16
-15654,-992,-4526,-65,113,-16
-15638,-1056,-4536,-61,84,30
-15638,-1056,-4536,-61,84,30
-15638,-1056,-4536,-61,84,30
-15638,-1056,-4536,-61,84,30
-15638,-1056,-4536,-61,84,30
-15629,-1102,-4570,-49,112,35
-15629,-1102,-4570,-49,112,35
-15629,-1102,-4570,-49,112,35
-15629,-1102,-4570,-49,112,35
-15629,-1102,-4570,-49,112,35
-15629,-1102,-4570,-49,112,35
-15623,-1132,-4619,-61,188,23
-15623,-1132,-4619,-61,188,23
-15623,-1132,-4619,-61,188,23
-15623,-1132,-4619,-61,188,23
-15623,-1132,-4619,-61,188,23
-15623,-1132,-4619,-61,188,23
-15623,-1132,-4619,-61,188,23
-15652,-1136,-4611,52,108,29
-15652,-1136,-4611,52,108,29
-15652,-1136,-4611,52,108,29
-15652,-1136,-4611,52,108,29
-15652,-1136,-4611,52,108,29
-15648,-1175,-4614,38,118,17
-15648,-1175,-4614,38,118,17
-15648,-1175,-4614,38,118,17
-15648,-1175,-4614,38,118,17
-15648,-1175,-4614,38,118,17
-15648,-1175,-4614,38,118,17
-15656,-1193,-4638,80,81,17
-15656,-1193,-4638,80,81,17
-15656,-1193,-4638,80,81,17
-15656,-1193,-4638,80,81,17
-15656,-1193,-4638,80,81,17
-15656,-1193,-4638,80,81,17
-15660,-1236,-4602,39,76,17
-15660,-1236,-4602,39,76,17
-15660,-1236,-4602,39,76,17
-15660,-1236,-4602,39,76,17
-15660,-1236,-4602,39,76,17
-15656,-1294,-4597,34,73,2
-15656,-1294,-4597,34,73,2
-15656,-1294,-4597,34,73,2
-15656,-1294,-4597,34,73,2
-15656,-1294,-4597,34,73,2
-15656,-1294,-4597,34,73,2
-15670,-1336,-4592,-21,84,-8
-15670,-1336,-4592,-21,84,-8
-15670,-1336,-4592,-21,84,-8
-15670,-1336,-4592,-21,84,-8
-15670,-1336,-4592,-21,84,-8
-15660,-1349,-4586,-42,92,8
-15660,-1349,-4586,-42,92,8
-15660,-1349,-4586,-42,92,8
-15660,-1349,-4586,-42,92,8
-15660,-1349,-4586,-42,92,8
-15660,-1349,-4586,-42,92,8
