accX,accY,accZ,gyrX,gyrY,gyrZ
-15637,-1356,-4673,-108,98,60
-15610,-1313,-4666,-150,221,67
-15610,-1313,-4666,-150,221,67
-15610,-1313,-4666,-150,221,67
-15610,-1313,-4666,-150,221,67
-15610,-1313,-4666,-150,221,67
-15610,-1313,-4666,-150,221,67
-15610,-1313,-4666,-150,221,67
-15610,-1313,-4666,-150,221,67
-15591,-1372,-4728,-32,106,49
-15591,-1372,-4728,-32,106,49
-15591,-1372,-4728,-32,106,49
-15591,-1372,-4728,-32,106,49
-15591,-1372,-4728,-32,106,49
-15609,-1392,-4690,-30,123,78
-15609,-1392,-4690,-30,123,78
-15609,-1392,-4690,-30,123,78
-15609,-1392,-4690,-30,123,78
-15609,-1392,-4690,-30,123,78
-15620,-1368,-4692,-24,146,61
-15620,-1368,-4692,-24,146,61
-15620,-1368,-4692,-24,146,61
-15620,-1368,-4692,-24,146,61
-15620,-1368,-4692,-24,146,61
-15620,-1368,-4692,-24,146,61
-15620,-1368,-4692,-24,146,61
-15620,-1368,-4692,-24,146,61
-15639,-1374,-4696,-197,191,36
-15639,-1374,-4696,-197,191,36
-15639,-1374,-4696,-197,191,36
-15639,-1374,-4696,-197,191,36
-15639,-1374,-4696,-197,191,36
-15612,-1333,-4744,-129,126,-76
-15612,-1333,-4744,-129,126,-76
-15612,-1333,-4744,-129,126,-76
-15612,-1333,-4744,-129,126,-76
-15612,-1333,-4744,-129,126,-76
-15604,-1338,-4720,-95,135,-65
-15604,-1338,-4720,-95,135,-65
-15604,-1338,-4720,-95,135,-65
-15604,-1338,-4720,-95,135,-65
-15604,-1338,-4720,-95,135,-65
-15604,-1338,-4720,-95,135,-65
-15604,-1338,-4720,-95,135,-65
-15604,-1338,-4720,-95,135,-65
-15608,-1364,-4705,-121,190,-51
-15608,-1364,-4705,-121,190,-51
-15608,-1364,-4705,-121,190,-51
-15608,-1364,-4705,-121,190,-51
-15608,-1364,-4705,-121,190,-51
-15647,-1369,-4680,168,25,20
-15647,-1369,-4680,168,25,20
-15647,-1369,-4680,168,25,20
-15647,-1369,-4680,168,25,20
-15647,-1369,-4680,168,25,20
-15647,-1369,-4680,168,25,20
-15660,-1360,-4632,208,30,25
-15660,-1360,-4632,208,30,25
-15660,-1360,-4632,208,30,25
-15660,-1360,-4632,208,30,25
-15660,-1360,-4632,208,30,25
-15660,-1360,-4632,208,30,25
-15660,-1360,-4632,208,30,25
-15663,-1339,-4593,141,49,29
-15663,-1339,-4593,141,49,29
-15663,-1339,-4593,141,49,29
-15663,-1339,-4593,141,49,29
-15663,-1339,-4593,141,49,29
-15654,-1347,-4582,16,67,28
-15654,-1347,-4582,16,67,28
-15654,-1347,-4582,16,67,28
-15654,-1347,-4582,16,67,28
-15654,-1347,-4582,16,67,28
-15645,-1356,-4540,21,70,46
-15645,-1356,-4540,21,70,46
-15645,-1356,-4540,21,70,46
-15645,-1356,-4540,21,70,46
-15645,-1356,-4540,21,70,46
-15645,-1356,-4540,21,70,46
-15645,-1356,-4540,21,70,46
-15645,-1356,-4540,21,70,46
-15656,-1346,-4559,37,89,34
-15656,-1346,-4559,37,89,34
-15656,-1346,-4559,37,89,34
-15656,-1346,-4559,37,89,34
-15664,-1355,-4591,13,108,22
-15664,-1355,-4591,13,108,22
-15664,-1355,-4591,13,108,22
-15664,-1355,-4591,13,108,22
-15664,-1355,-4591,13,108,22
-15673,-1344,-4603,-36,131,23
-15673,-1344,-4603,-36,131,23
-15673,-1344,-4603,-36,131,23
-15673,-1344,-4603,-36,131,23
-15673,-1344,-4603,-36,131,23
-15673,-1344,-4603,-36,131,23
-15673,-1344,-4603,-36,131,23
-15673,-1344,-4603,-36,131,23
-15688,-1343,-4599,-48,149,15
-15688,-1343,-4599,-48,149,15
-15688,-1343,-4599,-48,149,15
-15688,-1343,-4599,-48,149,15
-15688,-1343,-4599,-48,149,15
-15686,-1344,-4626,101,101,46
-15686,-1344,-4626,101,101,46
-15686,-1344,-4626,101,101,46
-15686,-1344,-4626,101,101,46
-15686,-1344,-4626,101,101,46
