accX,accY,accZ,gyrX,gyrY,gyrZ
6356,14772,2041,82,272,-156
6240,14831,2047,-24,-85,-108
6240,14831,2047,-24,-85,-108
6206,14910,2041,-68,10,-98
6206,14910,2041,-68,10,-98
6206,14910,2041,-68,10,-98
6206,14910,2041,-68,10,-98
6206,14910,2041,-68,10,-98
6206,14910,2041,-68,10,-98
6227,14956,2015,-13,112,-131
6227,14956,2015,-13,112,-131
6227,14956,2015,-13,112,-131
6231,14935,2024,-1,102,-117
6231,14935,2024,-1,102,-117
6231,14935,2024,-1,102,-117
6231,14935,2024,-1,102,-117
6200,14992,1950,71,172,-62
6200,14992,1950,71,172,-62
6210,14959,1952,96,258,-60
6210,14959,1952,96,258,-60
6210,14959,1952,96,258,-60
6216,14960,1918,49,241,-68
6216,14960,1918,49,241,-68
6165,14959,1897,24,268,-172
6165,14959,1897,24,268,-172
6165,14959,1897,24,268,-172
6165,14959,1897,24,268,-172
6157,14948,1886,49,302,-193
6157,14948,1886,49,302,-193
6157,14948,1886,49,302,-193
6108,14897,2056,145,493,-84
6108,14897,2056,145,493,-84
6068,14938,2034,-67,577,-107
6068,14938,2034,-67,577,-107
6068,14938,2034,-67,577,-107
6068,14938,2034,-67,577,-107
6040,14957,2166,-979,697,-311
6040,14957,2166,-979,697,-311
6040,14957,2166,-979,697,-311
6117,14935,2150,-782,338,-128
6117,14935,2150,-782,338,-128
6044,14943,2179,-689,-111,-113
6044,14943,2179,-689,-111,-113
6044,14943,2179,-689,-111,-113
6044,14943,2179,-689,-111,-113
6044,14943,2179,-689,-111,-113
6048,14981,2148,-577,-279,-63
6048,14981,2148,-577,-279,-63
5995,14952,2113,-500,-255,-27
5995,14952,2113,-500,-255,-27
6008,14952,2147,-525,2,-46
6008,14952,2147,-525,2,-46
6008,14952,2147,-525,2,-46
6008,14952,2147,-525,2,-46
6008,14952,2147,-525,2,-46
6108,14989,2155,-57,-67,61
6108,14989,2155,-57,-67,61
6093,15002,2097,-57,-172,49
6093,15002,2097,-57,-172,49
6052,14997,2059,-118,-106,4
6052,14997,2059,-118,-106,4
6052,14997,2059,-118,-106,4
6052,14997,2059,-118,-106,4
6009,15004,2029,-172,-12,8
6009,15004,2029,-172,-12,8
6009,15004,2029,-172,-12,8
6013,15039,2009,-167,-26,14
6013,15039,2009,-167,-26,14
6007,15061,1984,-186,-4,1
6007,15061,1984,-186,-4,1
6007,15061,1984,-186,-4,1
5963,15062,1995,-181,17,-24
5963,15062,1995,-181,17,-24
5963,15062,1995,-181,17,-24
5922,15089,2016,-212,53,-43
5922,15089,2016,-212,53,-43
5914,15083,2047,-219,70,-45
5914,15083,2047,-219,70,-45
5914,15083,2047,-219,70,-45
5914,15083,2047,-219,70,-45
5925,15078,2018,-243,72,-31
5925,15078,2018,-243,72,-31
5925,15078,2018,-243,72,-31
5937,15085,2056,-262,67,-27
5937,15085,2056,-262,67,-27
5935,15091,2111,-252,48,-36
5935,15091,2111,-252,48,-36
5935,15091,2111,-252,48,-36
5935,15091,2111,-252,48,-36
5943,15075,2156,-246,59,-47
5943,15075,2156,-246,59,-47
5943,15075,2156,-246,59,-47
5924,15060,2143,-215,66,-52
5924,15060,2143,-215,66,-52
