accX,accY,accZ,gyrX,gyrY,gyrZ
-15447,-1844,-5349,-95,154,44
-15453,-1813,-5346,-101,182,32
-15453,-1813,-5346,-101,182,32
-15453,-1813,-5346,-101,182,32
-15460,-1777,-5372,-136,150,43
-15460,-1777,-5372,-136,150,43
-15460,-1777,-5372,-136,150,43
-15460,-1777,-5372,-136,150,43
-15460,-1777,-5372,-136,150,43
-15460,-1777,-5372,-136,150,43
-15460,-1777,-5372,-136,150,43
-15460,-1777,-5372,-136,150,43
-15471,-1793,-5305,-43,36,83
-15471,-1793,-5305,-43,36,83
-15471,-1793,-5305,-43,36,83
-15471,-1793,-5305,-43,36,83
-15471,-1793,-5305,-43,36,83
-15460,-1808,-5308,-92,77,70
-15460,-1808,-5308,-92,77,70
-15460,-1808,-5308,-92,77,70
-15460,-1808,-5308,-92,77,70
-15460,-1808,-5308,-92,77,70
-15457,-1805,-5293,-184,118,38
-15457,-1805,-5293,-184,118,38
-15457,-1805,-5293,-184,118,38
-15457,-1805,-5293,-184,118,38
-15457,-1805,-5293,-184,118,38
-15457,-1805,-5293,-184,118,38
-15457,-1805,-5293,-184,118,38
-15457,-1805,-5293,-184,118,38
-15471,-1785,-5322,-194,203,-17
-15471,-1785,-5322,-194,203,-17
-15471,-1785,-5322,-194,203,-17
-15471,-1785,-5322,-194,203,-17
-15471,-1785,-5322,-194,203,-17
-15471,-1785,-5322,-194,203,-17
-15471,-1785,-5322,-194,203,-17
-15440,-1783,-5375,-232,250,-70
-15440,-1783,-5375,-232,250,-70
-15440,-1783,-5375,-232,250,-70
-15436,-1820,-5421,-230,209,-72
-15436,-1820,-5421,-230,209,-72
-15436,-1820,-5421,-230,209,-72
-15436,-1820,-5421,-230,209,-72
-15436,-1820,-5421,-230,209,-72
-15436,-1820,-5421,-230,209,-72
-15436,-1820,-5421,-230,209,-72
-15436,-1820,-5421,-230,209,-72
-15461,-1869,-5428,-160,170,-71
-15461,-1869,-5428,-160,170,-71
-15461,-1869,-5428,-160,170,-71
-15461,-1869,-5428,-160,170,-71
-15461,-1869,-5428,-160,170,-71
-15463,-1896,-5404,-207,162,-42
-15463,-1896,-5404,-207,162,-42
-15463,-1896,-5404,-207,162,-42
-15463,-1896,-5404,-207,162,-42
-15463,-1896,-5404,-207,162,-42
-15444,-1895,-5412,-211,166,-7
-15444,-1895,-5412,-211,166,-7
-15444,-1895,-5412,-211,166,-7
-15444,-1895,-5412,-211,166,-7
-15444,-1895,-5412,-211,166,-7
-15444,-1895,-5412,-211,166,-7
-15444,-1895,-5412,-211,166,-7
-15444,-1895,-5412,-211,166,-7
-15480,-1917,-5361,195,99,11
-15480,-1917,-5361,195,99,11
-15480,-1917,-5361,195,99,11
-15480,-1917,-5361,195,99,11
-15474,-1908,-5338,160,151,-1
-15474,-1908,-5338,160,151,-1
-15474,-1908,-5338,160,151,-1
-15474,-1908,-5338,160,151,-1
-15474,-1908,-5338,160,151,-1
-15472,-1914,-5302,60,148,16
-15472,-1914,-5302,60,148,16
-15472,-1914,-5302,60,148,16
-15472,-1914,-5302,60,148,16
-15472,-1914,-5302,60,148,16
-15472,-1914,-5302,60,148,16
-15472,-1914,-5302,60,148,16
-15472,-1914,-5302,60,148,16
-15480,-1928,-5318,135,160,11
-15480,-1928,-5318,135,160,11
-15480,-1928,-5318,135,160,11
-15480,-1928,-5318,135,160,11
-15480,-1928,-5318,135,160,11
-15492,-1925,-5314,148,190,28
-15492,-1925,-5314,148,190,28
