accX,accY,accZ,gyrX,gyrY,gyrZ
3872,15596,2413,-161,202,26
3876,15602,2406,-175,182,25
3864,15600,2374,-162,164,34
3864,15600,2374,-162,164,34
3872,15588,2435,-138,171,27
3872,15588,2435,-138,171,27
3872,15588,2435,-138,171,27
3872,15588,2435,-138,171,27
3876,15582,2434,-129,182,29
3876,15582,2434,-129,182,29
3876,15582,2434,-129,182,29
3871,15588,2435,-145,149,37
3871,15588,2435,-145,149,37
3844,15588,2439,-135,121,14
3844,15588,2439,-135,121,14
3844,15588,2439,-135,121,14
3844,15588,2439,-135,121,14
3819,15628,2432,-144,84,10
3819,15628,2432,-144,84,10
3819,15628,2432,-144,84,10
3819,15628,2432,-144,84,10
3819,15628,2432,-144,84,10
3852,15628,2306,-47,-738,4
3852,15628,2306,-47,-738,4
3852,15628,2306,-47,-738,4
3852,15628,2306,-47,-738,4
3883,15621,2347,25,-1114,-24
3883,15621,2347,25,-1114,-24
3883,15621,2347,25,-1114,-24
3870,15609,2324,48,-1073,-6
3870,15609,2324,48,-1073,-6
3872,15615,2432,-324,-805,-125
3872,15615,2432,-324,-805,-125
3872,15615,2432,-324,-805,-125
3872,15615,2432,-324,-805,-125
3949,15712,2562,-191,-425,-189
3949,15712,2562,-191,-425,-189
3949,15712,2562,-191,-425,-189
3999,15681,2547,-149,-281,-195
3999,15681,2547,-149,-281,-195
3988,15701,2530,-159,-228,-182
3988,15701,2530,-159,-228,-182
3988,15701,2530,-159,-228,-182
3988,15701,2530,-159,-228,-182
3961,15664,2524,-165,-142,-128
3961,15664,2524,-165,-142,-128
3961,15664,2524,-165,-142,-128
3932,15645,2529,-150,-19,-91
3932,15645,2529,-150,-19,-91
3932,15645,2529,-150,-19,-91
3932,15645,2529,-150,-19,-91
3923,15661,2575,-154,105,-52
3923,15661,2575,-154,105,-52
3937,15624,2623,54,-29,112
3937,15624,2623,54,-29,112
3937,15624,2623,54,-29,112
3916,15596,2586,23,67,135
3916,15596,2586,23,67,135
3916,15596,2586,23,67,135
3916,15596,2586,23,67,135
3920,15609,2553,-19,103,128
3920,15609,2553,-19,103,128
3880,15606,2486,114,254,78
3880,15606,2486,114,254,78
3880,15606,2486,114,254,78
3880,15606,2486,114,254,78
3880,15606,2486,114,254,78
3900,15626,2454,90,271,56
3900,15626,2454,90,271,56
3926,15618,2400,65,271,103
3926,15618,2400,65,271,103
3926,15618,2400,65,271,103
3896,15638,2366,26,217,98
3896,15638,2366,26,217,98
3928,15628,2341,2,216,81
3928,15628,2341,2,216,81
3933,15614,2319,47,264,70
3933,15614,2319,47,264,70
3933,15614,2319,47,264,70
3933,15614,2319,47,264,70
3955,15628,2322,34,273,56
3955,15628,2322,34,273,56
3955,15628,2322,34,273,56
3927,15597,2300,12,243,34
3927,15597,2300,12,243,34
3916,15598,2284,-5,216,24
3916,15598,2284,-5,216,24
3916,15598,2284,-5,216,24
3913,15607,2284,-17,198,27
3913,15607,2284,-17,198,27
3913,15607,2284,-17,198,27
3954,15611,2280,-33,168,48
3954,15611,2280,-33,168,48
3983,15600,2273,-53,140,72
3983,15600,2273,-53,140,72
3983,15600,2273,-53,140,72
3983,15600,2273,-53,140,72
3983,15600,2273,-53,140,72
3983,15600,2273,-53,140,72
3983,15600,2273,-53,140,72
3983,15600,2273,-53,140,72
3983,15600,2273,-53,140,72
4016,15590,2244,-50,136,82
4016,15590,2244,-50,136,82
4016,15590,2244,-50,136,82
4016,15590,2244,-50,136,82
4016,15590,2244,-50,136,82
4016,15590,2244,-50,136,82
4016,15590,2244,-50,136,82
