accX,accY,accZ,gyrX,gyrY,gyrZ
-15633,-344,-5032,12,110,2
-15635,-368,-5000,488,-92,8
-15631,-408,-4934,522,-64,27
-15631,-408,-4934,522,-64,27
-15631,-408,-4934,522,-64,27
-15631,-408,-4934,522,-64,27
-15631,-408,-4934,522,-64,27
-15625,-420,-4960,242,289,13
-15625,-420,-4960,242,289,13
-15625,-420,-4960,242,289,13
-15625,-420,-4960,242,289,13
-15625,-420,-4960,242,289,13
-15625,-420,-4960,242,289,13
-15625,-420,-4960,242,289,13
-15625,-420,-4960,242,289,13
-15640,-407,-5004,169,229,-78
-15640,-407,-5004,169,229,-78
-15640,-407,-5004,169,229,-78
-15640,-407,-5004,169,229,-78
-15640,-407,-5004,169,229,-78
-15661,-443,-5000,79,211,-52
-15661,-443,-5000,79,211,-52
-15661,-443,-5000,79,211,-52
-15661,-443,-5000,79,211,-52
-15661,-443,-5000,79,211,-52
-15661,-443,-5000,79,211,-52
-15656,-451,-5003,9,199,-53
-15656,-451,-5003,9,199,-53
-15656,-451,-5003,9,199,-53
-15656,-451,-5003,9,199,-53
-15656,-451,-5003,9,199,-53
-15656,-451,-5003,9,199,-53
-15656,-451,-5003,9,199,-53
-15635,-441,-5056,-273,169,-110
-15635,-441,-5056,-273,169,-110
-15635,-441,-5056,-273,169,-110
-15635,-441,-5056,-273,169,-110
-15635,-441,-5056,-273,169,-110
-15661,-450,-5049,-291,165,-42
-15661,-450,-5049,-291,165,-42
-15661,-450,-5049,-291,165,-42
-15661,-450,-5049,-291,165,-42
-15661,-450,-5049,-291,165,-42
-15652,-432,-5052,-261,163,-37
-15652,-432,-5052,-261,163,-37
-15652,-432,-5052,-261,163,-37
-15652,-432,-5052,-261,163,-37
-15652,-432,-5052,-261,163,-37
-15652,-432,-5052,-261,163,-37
-15649,-470,-5078,-244,186,-63
-15649,-470,-5078,-244,186,-63
-15649,-470,-5078,-244,186,-63
-15649,-470,-5078,-244,186,-63
-15649,-470,-5078,-244,186,-63
-15649,-470,-5078,-244,186,-63
-15649,-470,-5078,-244,186,-63
-15649,-470,-5078,-244,186,-63
-15649,-470,-5078,-244,186,-63
-15674,-482,-5064,-115,221,-34
-15674,-482,-5064,-115,221,-34
-15674,-482,-5064,-115,221,-34
-15663,-465,-5045,-114,249,-37
-15663,-465,-5045,-114,249,-37
-15663,-465,-5045,-114,249,-37
-15663,-465,-5045,-114,249,-37
-15657,-448,-5059,-132,264,-33
-15657,-448,-5059,-132,264,-33
-15657,-448,-5059,-132,264,-33
-15657,-448,-5059,-132,264,-33
-15657,-448,-5059,-132,264,-33
-15657,-448,-5059,-132,264,-33
-15657,-448,-5059,-132,264,-33
-15661,-456,-5078,-165,255,-38
-15661,-456,-5078,-165,255,-38
-15661,-456,-5078,-165,255,-38
-15661,-456,-5078,-165,255,-38
-15661,-456,-5078,-165,255,-38
-15668,-436,-5085,-184,239,-32
-15668,-436,-5085,-184,239,-32
-15668,-436,-5085,-184,239,-32
-15668,-436,-5085,-184,239,-32
-15668,-436,-5085,-184,239,-32
-15668,-436,-5085,-184,239,-32
-15666,-450,-5134,-115,179,9
-15666,-450,-5134,-115,179,9
-15666,-450,-5134,-115,179,9
