accX,accY,accZ,gyrX,gyrY,gyrZ
-14952,4688,-5068,58,91,8
-14966,4863,-5125,-131,235,-3
-14966,4863,-5125,-131,235,-3
-14966,4863,-5125,-131,235,-3
-14966,4863,-5125,-131,235,-3
-14966,4863,-5125,-131,235,-3
-14966,4863,-5125,-131,235,-3
-14975,4826,-5134,-171,214,-27
-14975,4826,-5134,-171,214,-27
-14975,4826,-5134,-171,214,-27
-14975,4826,-5134,-171,214,-27
-14975,4826,-5134,-171,214,-27
-14975,4826,-5134,-171,214,-27
-14954,4820,-5143,-99,180,-20
-14954,4820,-5143,-99,180,-20
-14954,4820,-5143,-99,180,-20
-14954,4820,-5143,-99,180,-20
-14954,4820,-5143,-99,180,-20
-14957,4809,-5124,-29,120,-29
-14957,4809,-5124,-29,120,-29
-14957,4809,-5124,-29,120,-29
-14957,4809,-5124,-29,120,-29
-14957,4809,-5124,-29,120,-29
-14957,4809,-5124,-29,120,-29
-14957,4809,-5124,-29,120,-29
-14957,4809,-5124,-29,120,-29
-14943,4794,-5098,-50,85,1
-14943,4794,-5098,-50,85,1
-14943,4794,-5098,-50,85,1
-14943,4794,-5098,-50,85,1
-14943,4794,-5098,-50,85,1
-14973,4754,-5096,-49,90,0
-14973,4754,-5096,-49,90,0
-14973,4754,-5096,-49,90,0
-14973,4754,-5096,-49,90,0
-14973,4754,-5096,-49,90,0
-14975,4716,-5064,-55,110,-4
-14975,4716,-5064,-55,110,-4
-14975,4716,-5064,-55,110,-4
-14975,4716,-5064,-55,110,-4
-14975,4716,-5064,-55,110,-4
-14975,4716,-5064,-55,110,-4
-14975,4716,-5064,-55,110,-4
-14975,4716,-5064,-55,110,-4
-14975,4716,-5064,-55,110,-4
-14975,4716,-5064,-55,110,-4
-14976,4704,-5057,-94,121,8
-14976,4704,-5057,-94,121,8
-14976,4704,-5057,-94,121,8
-14962,4704,-5032,-142,139,7
-14962,4704,-5032,-142,139,7
-14962,4704,-5032,-142,139,7
-14962,4704,-5032,-142,139,7
-14955,4700,-5051,-155,148,0
-14955,4700,-5051,-155,148,0
-14955,4700,-5051,-155,148,0
-14955,4700,-5051,-155,148,0
-14955,4700,-5051,-155,148,0
-14955,4700,-5051,-155,148,0
-14955,4700,-5051,-155,148,0
-14955,4700,-5051,-155,148,0
-14943,4694,-5079,-223,195,0
-14943,4694,-5079,-223,195,0
-14943,4694,-5079,-223,195,0
-14943,4694,-5079,-223,195,0
-14943,4694,-5079,-223,195,0
-14943,4694,-5079,-223,195,0
-14936,4677,-5090,-267,201,20
-14936,4677,-5090,-267,201,20
-14936,4677,-5090,-267,201,20
-14936,4677,-5090,-267,201,20
-14936,4677,-5090,-267,201,20
-14941,4690,-5068,-290,214,1
-14941,4690,-5068,-290,214,1
-14941,4690,-5068,-290,214,1
-14941,4690,-5068,-290,214,1
