accX,accY,accZ,gyrX,gyrY,gyrZ
-14711,4297,-6249,26,99,101
-14728,4288,-6239,-12,98,70
-14767,4285,-6230,-6,82,71
-14767,4285,-6230,-6,82,71
-14767,4285,-6230,-6,82,71
-14767,4285,-6230,-6,82,71
-14785,4304,-6208,-13,107,69
-14785,4304,-6208,-13,107,69
-14785,4304,-6208,-13,107,69
-14785,4304,-6208,-13,107,69
-14785,4304,-6208,-13,107,69
-14785,4304,-6208,-13,107,69
-14785,4304,-6208,-13,107,69
-14776,4331,-6204,-179,265,8
-14776,4331,-6204,-179,265,8
-14776,4331,-6204,-179,265,8
-14776,4331,-6204,-179,265,8
-14776,4331,-6204,-179,265,8
-14776,4331,-6204,-179,265,8
-14645,4284,-6213,-946,986,-338
-14645,4284,-6213,-946,986,-338
-14645,4284,-6213,-946,986,-338
-14645,4284,-6213,-946,986,-338
-14645,4284,-6213,-946,986,-338
-14655,4260,-6329,-642,580,-190
-14655,4260,-6329,-642,580,-190
-14655,4260,-6329,-642,580,-190
-14655,4260,-6329,-642,580,-190
-14655,4260,-6329,-642,580,-190
-14655,4260,-6329,-642,580,-190
-14655,4260,-6329,-642,580,-190
-14522,4231,-6384,-505,567,-203
-14522,4231,-6384,-505,567,-203
-14522,4231,-6384,-505,567,-203
-14522,4231,-6384,-505,567,-203
-14522,4231,-6384,-505,567,-203
-14522,4231,-6384,-505,567,-203
-14572,4212,-6433,-373,331,-110
-14572,4212,-6433,-373,331,-110
-14572,4212,-6433,-373,331,-110
-14572,4212,-6433,-373,331,-110
-14572,4212,-6433,-373,331,-110
-14648,4200,-6444,402,-328,175
-14648,4200,-6444,402,-328,175
-14648,4200,-6444,402,-328,175
-14648,4200,-6444,402,-328,175
-14648,4200,-6444,402,-328,175
-14630,4248,-6428,442,-316,299
-14630,4248,-6428,442,-316,299
-14630,4248,-6428,442,-316,299
-14630,4248,-6428,442,-316,299
-14630,4248,-6428,442,-316,299
-14630,4248,-6428,442,-316,299
-14634,4266,-6379,58,-75,120
-14634,4266,-6379,58,-75,120
-14634,4266,-6379,58,-75,120
-14634,4266,-6379,58,-75,120
-14634,4266,-6379,58,-75,120
-14678,4248,-6364,-98,132,43
-14678,4248,-6364,-98,132,43
-14678,4248,-6364,-98,132,43
-14678,4248,-6364,-98,132,43
-14678,4248,-6364,-98,132,43
-14678,4248,-6364,-98,132,43
-14678,4248,-6364,-98,132,43
-14697,4239,-6331,-71,155,15
-14697,4239,-6331,-71,155,15
