accX,accY,accZ,gyrX,gyrY,gyrZ
-15791,974,-4221,-118,168,19
-15788,960,-4221,-105,174,18
-15795,959,-4221,-130,179,17
-15795,959,-4221,-130,179,17
-15795,959,-4221,-130,179,17
-15795,959,-4221,-130,179,17
-15795,959,-4221,-130,179,17
-15798,975,-4220,-199,167,23
-15798,975,-4220,-199,167,23
-15798,975,-4220,-199,167,23
-15798,975,-4220,-199,167,23
-15798,975,-4220,-199,167,23
-15798,975,-4220,-199,167,23
-15798,939,-4272,-192,180,15
-15798,939,-4272,-192,180,15
-15798,939,-4272,-192,180,15
-15798,939,-4272,-192,180,15
-15798,939,-4272,-192,180,15
-15798,939,-4272,-192,180,15
-15798,939,-4272,-192,180,15
-15816,971,-4220,-251,225,25
-15816,971,-4220,-251,225,25
-15816,971,-4220,-251,225,25
-15816,971,-4220,-251,225,25
-15816,971,-4220,-251,225,25
-15815,954,-4229,-241,224,-31
-15815,954,-4229,-241,224,-31
-15815,954,-4229,-241,224,-31
-15815,954,-4229,-241,224,-31
-15815,954,-4229,-241,224,-31
-15815,954,-4229,-241,224,-31
-15809,934,-4218,-205,231,22
-15809,934,-4218,-205,231,22
-15809,934,-4218,-205,231,22
-15809,934,-4218,-205,231,22
-15809,934,-4218,-205,231,22
-15809,934,-4218,-205,231,22
-15809,934,-4218,-205,231,22
-15811,955,-4244,-223,216,57
-15811,955,-4244,-223,216,57
-15811,955,-4244,-223,216,57
-15811,955,-4244,-223,216,57
-15811,955,-4244,-223,216,57
-15764,967,-4349,-260,110,100
-15764,967,-4349,-260,110,100
-15764,967,-4349,-260,110,100
-15764,967,-4349,-260,110,100
-15764,967,-4349,-260,110,100
-15764,967,-4349,-260,110,100
-15779,961,-4296,-227,263,233
-15779,961,-4296,-227,263,233
-15779,961,-4296,-227,263,233
-15779,961,-4296,-227,263,233
-15779,961,-4296,-227,263,233
-15779,961,-4296,-227,263,233
-15779,961,-4296,-227,263,233
-15783,979,-4342,115,367,265
-15783,979,-4342,115,367,265
-15783,979,-4342,115,367,265
-15783,979,-4342,115,367,265
-15783,979,-4342,115,367,265
-15783,979,-4342,115,367,265
-15784,1071,-4403,348,371,235
-15784,1071,-4403,348,371,235
-15784,1071,-4403,348,371,235
-15784,1071,-4403,348,371,235
-15784,1071,-4403,348,371,235
-15776,1113,-4452,398,244,97
-15776,1113,-4452,398,244,97
-15776,1113,-4452,398,244,97
-15776,1113,-4452,398,244,97
-15751,1156,-4526,11,-53,70
-15751,1156,-4526,11,-53,70
-15751,1156,-4526,11,-53,70
-15751,1156,-4526,11,-53,70
-15751,1156,-4526,11,-53,70
-15751,1156,-4526,11,-53,70
-15751,1156,-4526,11,-53,70
-15816,1168,-4490,22,109,78
-15816,1168,-4490,22,109,78
-15816,1168,-4490,22,109,78
-15816,1168,-4490,22,109,78
-15816,1168,-4490,22,109,78
-15816,1168,-4490,22,109,78
-15794,1176,-4516,90,103,80
-15794,1176,-4516,90,103,80
-15794,1176,-4516,90,103,80
-15794,1176,-4516,90,103,80
-15794,1176,-4516,90,103,80
-15892,1338,-4536,-70,-29,91
-15892,1338,-4536,-70,-29,91
-15892,1338,-4536,-70,-29,91
-15892,1338,-4536,-70,-29,91
-15892,1338,-4536,-70,-29,91
