accX,accY,accZ,gyrX,gyrY,gyrZ
-15537,1284,-5332,-130,154,-128
-15544,1282,-5336,-63,134,-113
-15544,1282,-5336,-63,134,-113
-15528,1258,-5333,-24,41,-122
-15528,1258,-5333,-24,41,-122
-15528,1258,-5333,-24,41,-122
-15528,1258,-5333,-24,41,-122
-15528,1258,-5333,-24,41,-122
-15531,1189,-5300,21,-43,-83
-15531,1189,-5300,21,-43,-83
-15531,1189,-5300,21,-43,-83
-15531,1189,-5300,21,-43,-83
-15531,1189,-5300,21,-43,-83
-15538,1190,-5296,27,11,-64
-15538,1190,-5296,27,11,-64
-15538,1190,-5296,27,11,-64
-15538,1190,-5296,27,11,-64
-15538,1190,-5296,27,11,-64
-15538,1190,-5296,27,11,-64
-15538,1190,-5296,27,11,-64
-15538,1190,-5296,27,11,-64
-15536,1184,-5284,8,115,26
-15536,1184,-5284,8,115,26
-15536,1184,-5284,8,115,26
-15536,1184,-5284,8,115,26
-15536,1184,-5284,8,115,26
-15531,1133,-5348,-155,347,137
-15531,1133,-5348,-155,347,137
-15531,1133,-5348,-155,347,137
-15531,1133,-5348,-155,347,137
-15531,1133,-5348,-155,347,137
-15552,1084,-5372,-138,125,-1
-15552,1084,-5372,-138,125,-1
-15552,1084,-5372,-138,125,-1
-15552,1084,-5372,-138,125,-1
-15552,1084,-5372,-138,125,-1
-15552,1084,-5372,-138,125,-1
-15552,1084,-5372,-138,125,-1
-15551,1171,-5377,-93,110,69
-15551,1171,-5377,-93,110,69
-15551,1171,-5377,-93,110,69
-15551,1171,-5377,-93,110,69
-15551,1171,-5377,-93,110,69
-15551,1171,-5377,-93,110,69
-15540,1215,-5386,-279,161,151
-15540,1215,-5386,-279,161,151
-15540,1215,-5386,-279,161,151
-15540,1215,-5386,-279,161,151
-15540,1215,-5386,-279,161,151
-15540,1215,-5386,-279,161,151
-15534,1196,-5402,-403,189,280
-15534,1196,-5402,-403,189,280
-15534,1196,-5402,-403,189,280
-15534,1196,-5402,-403,189,280
-15534,1196,-5402,-403,189,280
-15534,1196,-5402,-403,189,280
-15534,1196,-5402,-403,189,280
-15532,1332,-5424,-428,253,465
-15532,1332,-5424,-428,253,465
-15532,1332,-5424,-428,253,465
-15532,1332,-5424,-428,253,465
-15532,1332,-5424,-428,253,465
-15499,1422,-5453,-506,325,450
-15499,1422,-5453,-506,325,450
-15499,1422,-5453,-506,325,450
-15499,1422,-5453,-506,325,450
-15499,1422,-5453,-506,325,450
-15499,1422,-5453,-506,325,450
-15496,1353,-5442,-452,289,168
-15496,1353,-5442,-452,289,168
-15496,1353,-5442,-452,289,168
-15496,1353,-5442,-452,289,168
-15476,1453,-5473,-385,194,19
-15476,1453,-5473,-385,194,19
-15476,1453,-5473,-385,194,19
-15476,1453,-5473,-385,194,19
-15476,1453,-5473,-385,194,19
-15476,1453,-5473,-385,194,19
-15476,1453,-5473,-385,194,19
-15484,1562,-5507,-423,204,201
-15484,1562,-5507,-423,204,201
-15484,1562,-5507,-423,204,201
-15484,1562,-5507,-423,204,201
-15484,1562,-5507,-423,204,201
-15459,1525,-5520,-286,131,96
-15459,1525,-5520,-286,131,96
