accX,accY,accZ,gyrX,gyrY,gyrZ
-14356,7153,-3694,-98,-12,68
-14338,7150,-3716,9,484,-86
-14338,7150,-3716,9,484,-86
-14338,7150,-3716,9,484,-86
-14319,7246,-3794,82,436,-91
-14319,7246,-3794,82,436,-91
-14319,7246,-3794,82,436,-91
-14319,7246,-3794,82,436,-91
-14319,7246,-3794,82,436,-91
-14319,7246,-3794,82,436,-91
-14325,7221,-3836,36,370,-71
-14325,7221,-3836,36,370,-71
-14325,7221,-3836,36,370,-71
-14325,7221,-3836,36,370,-71
-14325,7221,-3836,36,370,-71
-14314,7192,-3865,-1,366,-71
-14314,7192,-3865,-1,366,-71
-14314,7192,-3865,-1,366,-71
-14314,7192,-3865,-1,366,-71
-14314,7192,-3865,-1,366,-71
-14314,7192,-3865,-1,366,-71
-14314,7192,-3865,-1,366,-71
-14314,7192,-3865,-1,366,-71
-14304,7158,-3872,-28,319,-54
-14304,7158,-3872,-28,319,-54
-14304,7158,-3872,-28,319,-54
-14304,7158,-3872,-28,319,-54
-14304,7158,-3872,-28,319,-54
-14290,7128,-3878,-37,284,-43
-14290,7128,-3878,-37,284,-43
-14290,7128,-3878,-37,284,-43
-14290,7128,-3878,-37,284,-43
-14290,7128,-3878,-37,284,-43
-14288,7128,-3852,-57,284,-50
-14288,7128,-3852,-57,284,-50
-14288,7128,-3852,-57,284,-50
-14288,7128,-3852,-57,284,-50
-14288,7128,-3852,-57,284,-50
-14288,7128,-3852,-57,284,-50
-14288,7128,-3852,-57,284,-50
-14288,7128,-3852,-57,284,-50
-14326,7100,-3847,-17,240,-22
-14326,7100,-3847,-17,240,-22
-14326,7100,-3847,-17,240,-22
-14326,7100,-3847,-17,240,-22
-14326,7100,-3847,-17,240,-22
-14320,7081,-3885,14,240,20
-14320,7081,-3885,14,240,20
-14320,7081,-3885,14,240,20
-14320,7081,-3885,14,240,20
-14320,7081,-3885,14,240,20
-14287,7061,-3968,-42,248,18
-14287,7061,-3968,-42,248,18
-14287,7061,-3968,-42,248,18
-14287,7061,-3968,-42,248,18
-14287,7061,-3968,-42,248,18
-14287,7061,-3968,-42,248,18
-14310,7042,-3982,-103,245,-14
-14310,7042,-3982,-103,245,-14
-14310,7042,-3982,-103,245,-14
-14310,7042,-3982,-103,245,-14
-14310,7042,-3982,-103,245,-14
-14310,7042,-3982,-103,245,-14
-14332,7022,-3977,-131,244,-14
-14332,7022,-3977,-131,244,-14
-14332,7022,-3977,-131,244,-14
-14332,7022,-3977,-131,244,-14
-14332,7022,-3977,-131,244,-14
-14336,7025,-3966,-130,257,5
-14336,7025,-3966,-130,257,5
-14336,7025,-3966,-130,257,5
-14336,7025,-3966,-130,257,5
-14336,7025,-3966,-130,257,5
-14336,7025,-3966,-130,257,5
-14313,7032,-3971,-110,238,19
-14313,7032,-3971,-110,238,19
-14313,7032,-3971,-110,238,19
-14313,7032,-3971,-110,238,19
-14313,7032,-3971,-110,238,19
-14313,7032,-3971,-110,238,19
-14313,7032,-3971,-110,238,19
-14299,7039,-3989,-94,233,27
-14299,7039,-3989,-94,233,27
-14299,7039,-3989,-94,233,27
-14299,7039,-3989,-94,233,27
-14299,7039,-3989,-94,233,27
