accX,accY,accZ,gyrX,gyrY,gyrZ
-14674,6594,-3218,1,137,34
-14635,6619,-3227,-36,136,0
-14631,6635,-3264,-26,115,26
-14631,6635,-3264,-26,115,26
-14631,6635,-3264,-26,115,26
-14631,6635,-3264,-26,115,26
-14631,6635,-3264,-26,115,26
-14638,6664,-3267,-45,122,17
-14638,6664,-3267,-45,122,17
-14638,6664,-3267,-45,122,17
-14638,6664,-3267,-45,122,17
-14638,6664,-3267,-45,122,17
-14638,6664,-3267,-45,122,17
-14638,6664,-3267,-45,122,17
-14638,6664,-3267,-45,122,17
-14645,6642,-3253,-42,110,16
-14645,6642,-3253,-42,110,16
-14645,6642,-3253,-42,110,16
-14645,6642,-3253,-42,110,16
-14645,6642,-3253,-42,110,16
-14638,6637,-3261,-50,125,7
-14638,6637,-3261,-50,125,7
-14638,6637,-3261,-50,125,7
-14638,6637,-3261,-50,125,7
-14638,6637,-3261,-50,125,7
-14669,6655,-3276,-66,96,8
-14669,6655,-3276,-66,96,8
-14669,6655,-3276,-66,96,8
-14669,6655,-3276,-66,96,8
-14669,6655,-3276,-66,96,8
-14669,6655,-3276,-66,96,8
-14660,6636,-3246,-75,115,7
-14660,6636,-3246,-75,115,7
-14660,6636,-3246,-75,115,7
-14660,6636,-3246,-75,115,7
-14660,6636,-3246,-75,115,7
-14632,6665,-3218,-105,105,21
-14632,6665,-3218,-105,105,21
-14632,6665,-3218,-105,105,21
-14632,6665,-3218,-105,105,21
-14632,6665,-3218,-105,105,21
-14632,6665,-3218,-105,105,21
-14632,6665,-3218,-105,105,21
-14615,6662,-3233,-161,138,16
-14615,6662,-3233,-161,138,16
-14615,6662,-3233,-161,138,16
-14615,6662,-3233,-161,138,16
-14615,6662,-3233,-161,138,16
-14615,6662,-3233,-161,138,16
-14631,6679,-3231,-217,147,-11
-14631,6679,-3231,-217,147,-11
-14631,6679,-3231,-217,147,-11
-14631,6679,-3231,-217,147,-11
-14631,6679,-3231,-217,147,-11
-14619,6667,-3212,-228,142,-6
-14619,6667,-3212,-228,142,-6
-14619,6667,-3212,-228,142,-6
-14619,6667,-3212,-228,142,-6
-14619,6667,-3212,-228,142,-6
-14619,6667,-3212,-228,142,-6
-14619,6667,-3212,-228,142,-6
-14619,6667,-3212,-228,142,-6
-14628,6646,-3168,-225,169,-10
-14628,6646,-3168,-225,169,-10
-14628,6646,-3168,-225,169,-10
-14625,6639,-3182,-190,175,1
-14625,6639,-3182,-190,175,1
-14625,6639,-3182,-190,175,1
-14625,6639,-3182,-190,175,1
-14625,6639,-3182,-190,175,1
-14608,6639,-3217,-161,186,0
-14608,6639,-3217,-161,186,0
-14608,6639,-3217,-161,186,0
-14608,6639,-3217,-161,186,0
-14608,6639,-3217,-161,186,0
-14608,6639,-3217,-161,186,0
-14608,6639,-3217,-161,186,0
-14644,6650,-3220,-133,181,-4
-14644,6650,-3220,-133,181,-4
-14644,6650,-3220,-133,181,-4
-14644,6650,-3220,-133,181,-4
-14644,6650,-3220,-133,181,-4
-14644,6650,-3220,-133,181,-4
-14660,6636,-3247,-139,182,-4
-14660,6636,-3247,-139,182,-4
-14660,6636,-3247,-139,182,-4
