accX,accY,accZ,gyrX,gyrY,gyrZ
-13937,4693,-8131,-64,101,30
-13928,4730,-8144,-94,150,0
-13916,4705,-8120,-78,165,-5
-13916,4705,-8120,-78,165,-5
-13916,4705,-8120,-78,165,-5
-13916,4705,-8120,-78,165,-5
-13916,4705,-8120,-78,165,-5
-13916,4673,-8135,-60,165,-13
-13916,4673,-8135,-60,165,-13
-13916,4673,-8135,-60,165,-13
-13916,4673,-8135,-60,165,-13
-13916,4673,-8135,-60,165,-13
-13916,4673,-8135,-60,165,-13
-13928,4656,-8143,-86,174,-10
-13928,4656,-8143,-86,174,-10
-13928,4656,-8143,-86,174,-10
-13928,4656,-8143,-86,174,-10
-13928,4656,-8143,-86,174,-10
-13928,4656,-8143,-86,174,-10
-13928,4656,-8143,-86,174,-10
-13903,4652,-8131,-112,162,4
-13903,4652,-8131,-112,162,4
-13903,4652,-8131,-112,162,4
-13903,4652,-8131,-112,162,4
-13903,4652,-8131,-112,162,4
-13903,4652,-8131,-112,162,4
-13909,4652,-8100,-130,154,25
-13909,4652,-8100,-130,154,25
-13909,4652,-8100,-130,154,25
-13909,4652,-8100,-130,154,25
-13909,4652,-8100,-130,154,25
-13911,4649,-8119,-150,212,39
-13911,4649,-8119,-150,212,39
-13911,4649,-8119,-150,212,39
-13911,4649,-8119,-150,212,39
-13911,4649,-8119,-150,212,39
-13911,4649,-8119,-150,212,39
-13911,4649,-8119,-150,212,39
-13903,4643,-8111,-121,172,35
-13903,4643,-8111,-121,172,35
-13903,4643,-8111,-121,172,35
-13903,4643,-8111,-121,172,35
-13903,4643,-8111,-121,172,35
-13903,4643,-8111,-121,172,35
-13888,4642,-8090,-121,175,33
-13888,4642,-8090,-121,175,33
-13888,4642,-8090,-121,175,33
-13888,4642,-8090,-121,175,33
-13888,4642,-8090,-121,175,33
-13874,4644,-8134,-111,161,18
-13874,4644,-8134,-111,161,18
-13874,4644,-8134,-111,161,18
-13874,4644,-8134,-111,161,18
-13874,4644,-8134,-111,161,18
-13874,4644,-8134,-111,161,18
-13874,4644,-8134,-111,161,18
-13844,4631,-8166,-139,167,23
-13844,4631,-8166,-139,167,23
-13844,4631,-8166,-139,167,23
-13844,4631,-8166,-139,167,23
-13844,4631,-8166,-139,167,23
-13880,4637,-8180,-130,184,18
-13880,4637,-8180,-130,184,18
-13880,4637,-8180,-130,184,18
-13880,4637,-8180,-130,184,18
-13880,4637,-8180,-130,184,18
-13880,4637,-8180,-130,184,18
-13884,4666,-8190,-133,183,32
-13884,4666,-8190,-133,183,32
-13884,4666,-8190,-133,183,32
-13884,4666,-8190,-133,183,32
-13884,4666,-8190,-133,183,32
-13884,4666,-8190,-133,183,32
-13884,4666,-8190,-133,183,32
-13881,4663,-8165,-140,129,32
-13881,4663,-8165,-140,129,32
-13881,4663,-8165,-140,129,32
-13881,4663,-8165,-140,129,32
-13881,4663,-8165,-140,129,32
-13881,4663,-8165,-140,129,32
-13908,4659,-8128,-162,79,19
-13908,4659,-8128,-162,79,19
-13908,4659,-8128,-162,79,19
-13908,4659,-8128,-162,79,19
-13908,4659,-8128,-162,79,19
-13860,4673,-8112,-166,88,8
-13860,4673,-8112,-166,88,8
-13860,4673,-8112,-166,88,8
-13860,4673,-8112,-166,88,8
-13860,4673,-8112,-166,88,8
-13860,4673,-8112,-166,88,8
-13872,4707,-8093,-126,112,18
-13872,4707,-8093,-126,112,18
-13872,4707,-8093,-126,112,18
-13872,4707,-8093,-126,112,18
-13880,4708,-8109,-122,127,9
-13880,4708,-8109,-122,127,9
-13880,4708,-8109,-122,127,9
-13880,4708,-8109,-122,127,9
-13880,4708,-8109,-122,127,9
-13880,4708,-8109,-122,127,9
-13844,4711,-8104,-111,123,12
-13844,4711,-8104,-111,123,12
-13844,4711,-8104,-111,123,12
-13844,4711,-8104,-111,123,12
-13844,4711,-8104,-111,123,12
-13876,4717,-8103,-66,103,29
-13876,4717,-8103,-66,103,29
-13876,4717,-8103,-66,103,29
-13876,4717,-8103,-66,103,29
-13876,4717,-8103,-66,103,29
-13876,4717,-8103,-66,103,29
-13876,4717,-8103,-66,103,29
-13885,4720,-8123,-105,86,30
-13885,4720,-8123,-105,86,30
-13885,4720,-8123,-105,86,30
