accX,accY,accZ,gyrX,gyrY,gyrZ
264,16375,-376,114,90,87
275,16396,-404,-5,87,108
275,16396,-404,-5,87,108
275,16396,-404,-5,87,108
275,16404,-471,-7,64,89
275,16404,-471,-7,64,89
300,16378,-503,-11,62,91
300,16378,-503,-11,62,91
300,16378,-503,-11,62,91
300,16378,-503,-11,62,91
289,16396,-498,0,33,112
273,16384,-513,-13,115,76
273,16384,-513,-13,115,76
273,16384,-513,-13,115,76
273,16384,-513,-13,115,76
253,16395,-512,-98,225,53
253,16395,-512,-98,225,53
259,16371,-512,-72,299,80
259,16371,-512,-72,299,80
259,16371,-512,-72,299,80
259,16371,-512,-72,299,80
259,16371,-512,-72,299,80
259,16371,-512,-72,299,80
259,16371,-512,-72,299,80
328,16371,-550,-22,263,114
328,16371,-550,-22,263,114
329,16388,-512,-228,387,16
329,16388,-512,-228,387,16
329,16388,-512,-228,387,16
266,16395,-476,-889,1246,-416
266,16395,-476,-889,1246,-416
266,16395,-476,-889,1246,-416
266,16395,-476,-889,1246,-416
380,16488,-150,-370,-308,63
380,16488,-150,-370,-308,63
380,16488,-150,-370,-308,63
380,16488,-150,-370,-308,63
352,16452,-181,-394,-335,95
334,16425,-211,-599,388,-46
334,16425,-211,-599,388,-46
334,16425,-211,-599,388,-46
334,16425,-211,-599,388,-46
386,16391,-454,69,-174,254
386,16391,-454,69,-174,254
328,16451,-414,191,-351,315
328,16451,-414,191,-351,315
328,16451,-414,191,-351,315
328,16451,-414,191,-351,315
328,16451,-414,191,-351,315
399,16488,-512,100,-70,142
399,16488,-512,100,-70,142
399,16488,-512,100,-70,142
399,16488,-512,100,-70,142
396,16427,-616,142,-168,146
396,16427,-616,142,-168,146
396,16427,-616,142,-168,146
340,16429,-635,197,-35,-25
340,16429,-635,197,-35,-25
325,16395,-672,171,5,-34
325,16395,-672,171,5,-34
325,16395,-672,171,5,-34
325,16395,-672,171,5,-34
325,16395,-672,171,5,-34
311,16388,-696,139,-31,13
345,16400,-747,88,-15,31
345,16400,-747,88,-15,31
290,16375,-759,158,-5,93
290,16375,-759,158,-5,93
290,16375,-759,158,-5,93
290,16375,-759,158,-5,93
274,16374,-783,97,1,31
274,16374,-783,97,1,31
274,16374,-783,97,1,31
280,16394,-821,40,24,40
280,16394,-821,40,24,40
280,16394,-821,40,24,40
280,16394,-821,40,24,40
280,16394,-821,40,24,40
280,16394,-821,40,24,40
349,16359,-849,-82,86,30
349,16359,-849,-82,86,30
349,16359,-849,-82,86,30
301,16354,-816,-138,115,42
301,16354,-816,-138,115,42
