accX,accY,accZ,gyrX,gyrY,gyrZ
1258,16265,700,-124,201,20
1258,16265,700,-124,201,20
1258,16265,700,-124,201,20
1232,16276,678,-132,174,37
1232,16276,678,-132,174,37
1232,16276,678,-132,174,37
1240,16260,676,-106,149,27
1240,16260,676,-106,149,27
1240,16260,676,-106,149,27
1240,16260,676,-106,149,27
1228,16254,677,-118,140,16
1228,16254,677,-118,140,16
1233,16234,679,-147,152,11
1233,16234,679,-147,152,11
1233,16234,679,-147,152,11
1243,16233,685,-177,165,18
1243,16233,685,-177,165,18
1243,16233,685,-177,165,18
1243,16233,685,-177,165,18
1251,16252,686,-188,142,24
1251,16252,686,-188,142,24
1232,16238,692,-190,137,18
1232,16238,692,-190,137,18
1232,16238,692,-190,137,18
1242,16236,716,-189,161,6
1242,16236,716,-189,161,6
1242,16236,716,-189,161,6
1242,16236,716,-189,161,6
1263,16250,738,-180,169,7
1263,16250,738,-180,169,7
1268,16248,752,-183,165,1
1268,16248,752,-183,165,1
1268,16248,752,-183,165,1
1241,16236,752,-186,171,-8
1241,16236,752,-186,171,-8
1241,16236,752,-186,171,-8
1241,16236,752,-186,171,-8
1233,16251,760,-187,180,-18
1233,16251,760,-187,180,-18
1236,16241,775,-189,174,-12
1236,16241,775,-189,174,-12
1236,16241,775,-189,174,-12
1235,16252,744,-161,178,-4
1235,16252,744,-161,178,-4
1235,16252,744,-161,178,-4
1235,16252,744,-161,178,-4
1224,16228,779,-117,77,49
1224,16228,779,-117,77,49
1229,16233,788,-104,52,56
1229,16233,788,-104,52,56
1229,16233,788,-104,52,56
1244,16227,760,-131,-13,60
1244,16227,760,-131,-13,60
1244,16227,760,-131,-13,60
1244,16227,760,-131,-13,60
1232,16237,788,-194,172,-12
1232,16237,788,-194,172,-12
1238,16222,756,-167,-58,92
1238,16222,756,-167,-58,92
1238,16222,756,-167,-58,92
1238,16222,756,-167,-58,92
1238,16222,756,-167,-58,92
1238,16222,756,-167,-58,92
1238,16222,756,-167,-58,92
1235,16258,724,-186,-53,48
1235,16258,724,-186,-53,48
1230,16281,756,-341,322,-38
1230,16281,756,-341,322,-38
1230,16281,756,-341,322,-38
1264,16316,725,-141,146,50
1264,16316,725,-141,146,50
1264,16316,725,-141,146,50
1264,16316,725,-141,146,50
1268,16294,746,-122,131,22
1268,16294,746,-122,131,22
1258,16274,741,-132,156,15
1258,16274,741,-132,156,15
1258,16274,741,-132,156,15
1244,16266,726,-146,166,20
1244,16266,726,-146,166,20
1244,16266,726,-146,166,20
1244,16266,726,-146,166,20
1256,16266,728,-117,139,31
1256,16266,728,-117,139,31
1236,16280,715,-118,122,29
1236,16280,715,-118,122,29
1236,16280,715,-118,122,29
1236,16280,715,-118,122,29
1236,16280,715,-118,122,29
1231,16269,716,-130,134,19
1231,16269,716,-130,134,19
1239,16277,732,-141,154,-2
1239,16277,732,-141,154,-2
1239,16277,732,-141,154,-2
1236,16277,732,-136,144,-2
1236,16277,732,-136,144,-2
1236,16271,729,-136,111,-2
1236,16271,729,-136,111,-2
1235,16289,708,-145,88,-6
1235,16289,708,-145,88,-6
1235,16289,708,-145,88,-6
1235,16289,708,-145,88,-6
1240,16283,672,-100,60,23
1240,16283,672,-100,60,23
1240,16283,672,-100,60,23
1230,16280,674,-77,47,46
1230,16280,674,-77,47,46
1229,16266,719,-73,15,36
1229,16266,719,-73,15,36
1229,16266,719,-73,15,36
1229,16266,719,-73,15,36
1207,16249,701,-98,46,-11
1207,16249,701,-98,46,-11
1207,16249,701,-98,46,-11
1212,16245,672,-108,68,-8
1212,16245,672,-108,68,-8
1212,16245,672,-108,68,-8
1212,16245,672,-108,68,-8
1224,16252,665,-150,65,18
1224,16252,665,-150,65,18
1230,16279,661,-148,29,51
1230,16279,661,-148,29,51
1230,16279,661,-148,29,51
1212,16296,657,-129,-19,39
1212,16296,657,-129,-19,39
1223,16306,663,-134,-4,0
1223,16306,663,-134,-4,0
1223,16306,663,-134,-4,0
1223,16306,663,-134,-4,0
1214,16303,674,-157,48,-23
1214,16303,674,-157,48,-23
1214,16303,674,-157,48,-23
1208,16296,676,-176,77,-33
1208,16296,676,-176,77,-33
1192,16293,692,-161,76,-42
1192,16293,692,-161,76,-42
1192,16293,692,-161,76,-42
1192,16293,692,-161,76,-42
1188,16284,695,-153,97,-28
1188,16284,695,-153,97,-28
1188,16284,695,-153,97,-28
1188,16292,704,-152,90,-16
1188,16292,704,-152,90,-16
1194,16299,695,-143,96,-10
1194,16299,695,-143,96,-10
1194,16299,695,-143,96,-10
1194,16299,695,-143,96,-10
1177,16312,696,-111,112,-23
1177,16312,696,-111,112,-23
1177,16312,696,-111,112,-23
