accX,accY,accZ,gyrX,gyrY,gyrZ
1312,16335,-381,40,-54,18
1325,16320,-384,51,-91,37
1325,16320,-384,51,-91,37
1353,16328,-368,3,-92,61
1353,16328,-368,3,-92,61
1348,16312,-397,-25,-68,35
1348,16312,-397,-25,-68,35
1348,16312,-397,-25,-68,35
1348,16312,-397,-25,-68,35
1356,16301,-399,-36,-21,33
1332,16340,-459,-12,13,23
1332,16340,-459,-12,13,23
1332,16340,-459,-12,13,23
1332,16340,-459,-12,13,23
1348,16360,-466,-34,-10,0
1348,16360,-466,-34,-10,0
1348,16360,-466,-34,-10,0
1348,16360,-466,-34,-10,0
1348,16360,-466,-34,-10,0
1328,16341,-499,-75,-21,-9
1328,16341,-499,-75,-21,-9
1328,16341,-499,-75,-21,-9
1328,16341,-499,-75,-21,-9
1328,16341,-499,-75,-21,-9
1328,16341,-499,-75,-21,-9
1328,16341,-499,-75,-21,-9
1328,16341,-499,-75,-21,-9
1328,16341,-499,-75,-21,-9
1357,16343,-527,-62,-415,65
1357,16343,-527,-62,-415,65
1357,16343,-527,-62,-415,65
1357,16343,-527,-62,-415,65
1357,16343,-527,-62,-415,65
1357,16343,-527,-62,-415,65
1353,16340,-502,-162,-446,39
1353,16340,-502,-162,-446,39
1353,16340,-502,-162,-446,39
1353,16340,-502,-162,-446,39
1353,16340,-502,-162,-446,39
1420,16425,-377,-85,-184,-7
1420,16425,-377,-85,-184,-7
1420,16425,-377,-85,-184,-7
1420,16425,-377,-85,-184,-7
1420,16425,-377,-85,-184,-7
1420,16425,-377,-85,-184,-7
1444,16392,-340,-103,113,-46
1416,16366,-352,-121,128,-24
1416,16366,-352,-121,128,-24
1416,16366,-352,-121,128,-24
1416,16366,-352,-121,128,-24
1392,16360,-358,-125,114,-1
1392,16360,-358,-125,114,-1
1380,16365,-348,-139,49,20
1380,16365,-348,-139,49,20
1380,16365,-348,-139,49,20
1441,16387,-360,249,-275,197
1441,16387,-360,249,-275,197
1441,16387,-360,249,-275,197
1441,16387,-360,249,-275,197
1441,16387,-360,249,-275,197
1441,16387,-360,249,-275,197
1427,16367,-433,259,-96,123
1427,16367,-433,259,-96,123
1427,16367,-433,259,-96,123
1427,16367,-433,259,-96,123
1427,16367,-433,259,-96,123
1427,16367,-433,259,-96,123
1427,16367,-433,259,-96,123
1431,16350,-435,98,92,29
1431,16350,-435,98,92,29
1416,16333,-450,229,107,9
1416,16333,-450,229,107,9
1416,16333,-450,229,107,9
1416,16333,-450,229,107,9
1416,16333,-450,229,107,9
1392,16326,-485,200,137,16
1392,16326,-485,200,137,16
1399,16321,-489,136,112,23
1399,16321,-489,136,112,23
1399,16321,-489,136,112,23
1399,16321,-489,136,112,23
1379,16312,-473,95,105,1
1394,16342,-476,48,96,-10
1394,16342,-476,48,96,-10
1394,16342,-476,48,96,-10
1394,16342,-476,48,96,-10
1408,16359,-500,72,84,-15
1408,16359,-500,72,84,-15
1411,16352,-474,52,68,-48
1411,16352,-474,52,68,-48
1404,16328,-489,24,73,-55
1404,16328,-489,24,73,-55
1404,16328,-489,24,73,-55
1404,16328,-489,24,73,-55
1387,16324,-484,-17,77,-56
1387,16324,-484,-17,77,-56
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1386,16332,-472,-51,96,-41
1396,16342,-480,-80,82,-26
1396,16342,-480,-80,82,-26
1362,16342,-525,-59,167,18
1362,16342,-525,-59,167,18
