accX,accY,accZ,gyrX,gyrY,gyrZ
-15673,-1347,-4734,-153,152,16
-15684,-1336,-4729,-97,178,21
-15660,-1344,-4706,-108,187,8
-15660,-1344,-4706,-108,187,8
-15660,-1344,-4706,-108,187,8
-15660,-1344,-4706,-108,187,8
-15660,-1344,-4706,-108,187,8
-15674,-1361,-4693,-123,183,-4
-15674,-1361,-4693,-123,183,-4
-15674,-1361,-4693,-123,183,-4
-15674,-1361,-4693,-123,183,-4
-15674,-1361,-4693,-123,183,-4
-15655,-1367,-4719,-117,175,0
-15655,-1367,-4719,-117,175,0
-15655,-1367,-4719,-117,175,0
-15655,-1367,-4719,-117,175,0
-15655,-1367,-4719,-117,175,0
-15655,-1367,-4719,-117,175,0
-15655,-1367,-4719,-117,175,0
-15656,-1368,-4667,-107,183,15
-15656,-1368,-4667,-107,183,15
-15656,-1368,-4667,-107,183,15
-15656,-1368,-4667,-107,183,15
-15656,-1368,-4667,-107,183,15
-15656,-1368,-4667,-107,183,15
-15648,-1364,-4678,-120,177,7
-15648,-1364,-4678,-120,177,7
-15648,-1364,-4678,-120,177,7
-15648,-1364,-4678,-120,177,7
-15648,-1364,-4678,-120,177,7
-15656,-1369,-4682,-166,249,-54
-15656,-1369,-4682,-166,249,-54
-15656,-1369,-4682,-166,249,-54
-15656,-1369,-4682,-166,249,-54
-15656,-1369,-4682,-166,249,-54
-15656,-1369,-4682,-166,249,-54
-15656,-1369,-4682,-166,249,-54
-15660,-1367,-4688,-29,253,-9
-15660,-1367,-4688,-29,253,-9
-15660,-1367,-4688,-29,253,-9
-15660,-1367,-4688,-29,253,-9
-15660,-1367,-4688,-29,253,-9
-15660,-1367,-4688,-29,253,-9
-15654,-1353,-4717,-47,266,-12
-15654,-1353,-4717,-47,266,-12
-15654,-1353,-4717,-47,266,-12
-15654,-1353,-4717,-47,266,-12
-15654,-1353,-4717,-47,266,-12
-15669,-1324,-4765,-352,474,-36
-15669,-1324,-4765,-352,474,-36
-15669,-1324,-4765,-352,474,-36
-15669,-1324,-4765,-352,474,-36
-15669,-1324,-4765,-352,474,-36
-15669,-1324,-4765,-352,474,-36
-15669,-1324,-4765,-352,474,-36
-15647,-1361,-4770,-304,379,-14
-15647,-1361,-4770,-304,379,-14
-15647,-1361,-4770,-304,379,-14
-15647,-1361,-4770,-304,379,-14
-15647,-1361,-4770,-304,379,-14
-15647,-1361,-4770,-304,379,-14
-15649,-1352,-4764,-302,351,-5
-15649,-1352,-4764,-302,351,-5
-15649,-1352,-4764,-302,351,-5
-15649,-1352,-4764,-302,351,-5
-15649,-1352,-4764,-302,351,-5
-15624,-1371,-4807,-200,366,0
-15624,-1371,-4807,-200,366,0
-15624,-1371,-4807,-200,366,0
-15624,-1371,-4807,-200,366,0
-15624,-1371,-4807,-200,366,0
-15624,-1371,-4807,-200,366,0
-15624,-1371,-4807,-200,366,0
-15626,-1359,-4824,28,202,7
-15626,-1359,-4824,28,202,7
-15626,-1359,-4824,28,202,7
-15626,-1359,-4824,28,202,7
-15626,-1359,-4824,28,202,7
-15626,-1359,-4824,28,202,7
-15649,-1365,-4764,-134,171,9
-15649,-1365,-4764,-134,171,9
-15649,-1365,-4764,-134,171,9
-15649,-1365,-4764,-134,171,9
-15649,-1365,-4764,-134,171,9
-15646,-1384,-4726,-68,139,40
-15646,-1384,-4726,-68,139,40
-15646,-1384,-4726,-68,139,40
-15646,-1384,-4726,-68,139,40
-15646,-1384,-4726,-68,139,40
-15646,-1384,-4726,-68,139,40
-15646,-1384,-4726,-68,139,40
-15664,-1386,-4726,-27,155,29
-15664,-1386,-4726,-27,155,29
-15664,-1386,-4726,-27,155,29
-15664,-1386,-4726,-27,155,29
-15664,-1386,-4726,-27,155,29
-15664,-1386,-4726,-27,155,29
-15657,-1412,-4738,-36,167,0
-15657,-1412,-4738,-36,167,0
-15657,-1412,-4738,-36,167,0
-15657,-1412,-4738,-36,167,0
-15657,-1412,-4738,-36,167,0
-15648,-1396,-4746,-47,159,-4
-15648,-1396,-4746,-47,159,-4
-15648,-1396,-4746,-47,159,-4
-15648,-1396,-4746,-47,159,-4
-15648,-1396,-4746,-47,159,-4
-15648,-1396,-4746,-47,159,-4
-15648,-1396,-4746,-47,159,-4
-15648,-1396,-4746,-47,159,-4
-15648,-1396,-4746,-47,159,-4
-15648,-1409,-4732,-74,169,-4
-15648,-1409,-4732,-74,169,-4
-15648,-1409,-4732,-74,169,-4
-15648,-1409,-4732,-74,169,-4
-15676,-1404,-4705,-59,136,11
-15676,-1404,-4705,-59,136,11
-15676,-1404,-4705,-59,136,11
-15676,-1404,-4705,-59,136,11
-15676,-1404,-4705,-59,136,11
-15660,-1418,-4709,-91,138,-5
-15660,-1418,-4709,-91,138,-5
-15660,-1418,-4709,-91,138,-5
-15660,-1418,-4709,-91,138,-5
-15660,-1418,-4709,-91,138,-5
-15660,-1418,-4709,-91,138,-5
-15670,-1427,-4688,-143,156,-9
-15670,-1427,-4688,-143,156,-9
-15670,-1427,-4688,-143,156,-9
-15670,-1427,-4688,-143,156,-9
-15670,-1427,-4688,-143,156,-9
-15670,-1427,-4688,-143,156,-9
-15670,-1427,-4688,-143,156,-9
-15680,-1424,-4701,-103,200,12
-15680,-1424,-4701,-103,200,12
