accX,accY,accZ,gyrX,gyrY,gyrZ
-15528,-1744,-5259,-144,294,55
-15521,-1740,-5281,-137,209,-37
-15521,-1740,-5281,-137,209,-37
-15521,-1740,-5281,-137,209,-37
-15512,-1773,-5311,-101,208,-35
-15512,-1773,-5311,-101,208,-35
-15512,-1773,-5311,-101,208,-35
-15512,-1773,-5311,-101,208,-35
-15512,-1773,-5311,-101,208,-35
-15487,-1764,-5352,-143,194,-22
-15487,-1764,-5352,-143,194,-22
-15487,-1764,-5352,-143,194,-22
-15487,-1764,-5352,-143,194,-22
-15487,-1764,-5352,-143,194,-22
-15487,-1764,-5352,-143,194,-22
-15487,-1764,-5352,-143,194,-22
-15487,-1764,-5352,-143,194,-22
-15484,-1760,-5364,-164,193,-1
-15484,-1760,-5364,-164,193,-1
-15484,-1760,-5364,-164,193,-1
-15484,-1760,-5364,-164,193,-1
-15484,-1760,-5364,-164,193,-1
-15529,-1754,-5383,129,141,25
-15529,-1754,-5383,129,141,25
-15529,-1754,-5383,129,141,25
-15529,-1754,-5383,129,141,25
-15529,-1754,-5383,129,141,25
-15506,-1752,-5352,39,171,42
-15506,-1752,-5352,39,171,42
-15506,-1752,-5352,39,171,42
-15506,-1752,-5352,39,171,42
-15506,-1752,-5352,39,171,42
-15506,-1752,-5352,39,171,42
-15506,-1752,-5352,39,171,42
-15506,-1752,-5352,39,171,42
-15514,-1733,-5316,10,146,83
-15514,-1733,-5316,10,146,83
-15514,-1733,-5316,10,146,83
-15514,-1733,-5316,10,146,83
-15514,-1733,-5316,10,146,83
-15518,-1745,-5304,71,110,88
-15518,-1745,-5304,71,110,88
-15518,-1745,-5304,71,110,88
-15518,-1745,-5304,71,110,88
-15496,-1780,-5231,187,102,65
-15496,-1780,-5231,187,102,65
-15496,-1780,-5231,187,102,65
-15496,-1780,-5231,187,102,65
-15496,-1780,-5231,187,102,65
-15496,-1780,-5231,187,102,65
-15496,-1780,-5231,187,102,65
-15496,-1780,-5231,187,102,65
-15490,-1781,-5209,251,137,50
-15490,-1781,-5209,251,137,50
-15490,-1781,-5209,251,137,50
-15490,-1781,-5209,251,137,50
-15490,-1781,-5209,251,137,50
-15502,-1804,-5216,434,252,43
-15502,-1804,-5216,434,252,43
-15502,-1804,-5216,434,252,43
-15502,-1804,-5216,434,252,43
-15502,-1804,-5216,434,252,43
-15502,-1804,-5216,434,252,43
-15501,-1796,-5253,258,296,-6
-15501,-1796,-5253,258,296,-6
-15501,-1796,-5253,258,296,-6
-15501,-1796,-5253,258,296,-6
