accX,accY,accZ,gyrX,gyrY,gyrZ
-15654,-435,-5041,-60,146,-42
-15623,-472,-5072,-10,129,-53
-15623,-472,-5072,-10,129,-53
-15623,-472,-5072,-10,129,-53
-15623,-472,-5072,-10,129,-53
-15623,-472,-5072,-10,129,-53
-15638,-488,-5053,402,-1,-18
-15638,-488,-5053,402,-1,-18
-15638,-488,-5053,402,-1,-18
-15638,-488,-5053,402,-1,-18
-15638,-488,-5053,402,-1,-18
-15638,-488,-5053,402,-1,-18
-15665,-459,-5046,446,116,2
-15665,-459,-5046,446,116,2
-15665,-459,-5046,446,116,2
-15665,-459,-5046,446,116,2
-15665,-459,-5046,446,116,2
-15665,-459,-5046,446,116,2
-15665,-459,-5046,446,116,2
-15674,-480,-5005,292,220,9
-15674,-480,-5005,292,220,9
-15674,-480,-5005,292,220,9
-15674,-480,-5005,292,220,9
-15674,-480,-5005,292,220,9
-15674,-480,-5005,292,220,9
-15656,-386,-4956,189,137,36
-15656,-386,-4956,189,137,36
-15656,-386,-4956,189,137,36
-15656,-386,-4956,189,137,36
-15656,-386,-4956,189,137,36
-15652,-400,-4963,66,113,31
-15652,-400,-4963,66,113,31
-15652,-400,-4963,66,113,31
-15652,-400,-4963,66,113,31
-15652,-400,-4963,66,113,31
-15652,-400,-4963,66,113,31
-15652,-400,-4963,66,113,31
-15654,-434,-4942,108,106,14
-15654,-434,-4942,108,106,14
-15654,-434,-4942,108,106,14
-15654,-434,-4942,108,106,14
-15654,-434,-4942,108,106,14
-15676,-433,-4882,23,-4,10
-15676,-433,-4882,23,-4,10
-15676,-433,-4882,23,-4,10
-15676,-433,-4882,23,-4,10
-15676,-433,-4882,23,-4,10
-15676,-433,-4882,23,-4,10
-15700,-431,-4860,-244,23,18
-15700,-431,-4860,-244,23,18
-15700,-431,-4860,-244,23,18
-15700,-431,-4860,-244,23,18
-15700,-431,-4860,-244,23,18
-15700,-431,-4860,-244,23,18
-15700,-431,-4860,-244,23,18
-15700,-431,-4860,-244,23,18
-15700,-431,-4860,-244,23,18
-15694,-472,-4855,-296,90,6
-15694,-472,-4855,-296,90,6
-15694,-472,-4855,-296,90,6
-15680,-477,-4882,-299,118,-2
-15680,-477,-4882,-299,118,-2
-15680,-477,-4882,-299,118,-2
-15680,-477,-4882,-299,118,-2
-15680,-477,-4882,-299,118,-2
-15680,-477,-4882,-299,118,-2
-15681,-499,-4891,-278,138,-17
-15681,-499,-4891,-278,138,-17
-15681,-499,-4891,-278,138,-17
-15681,-499,-4891,-278,138,-17
-15681,-499,-4891,-278,138,-17
-15678,-493,-4909,-269,161,-18
-15678,-493,-4909,-269,161,-18
-15678,-493,-4909,-269,161,-18
-15678,-493,-4909,-269,161,-18
-15678,-493,-4909,-269,161,-18
-15668,-495,-4926,-225,181,-18
-15668,-495,-4926,-225,181,-18
-15668,-495,-4926,-225,181,-18
-15668,-495,-4926,-225,181,-18
-15668,-495,-4926,-225,181,-18
-15668,-495,-4926,-225,181,-18
-15655,-500,-4928,-85,142,21
-15655,-500,-4928,-85,142,21
-15655,-500,-4928,-85,142,21
-15655,-500,-4928,-85,142,21
-15655,-500,-4928,-85,142,21
-15655,-500,-4928,-85,142,21
-15655,-500,-4928,-85,142,21
-15658,-516,-4946,-114,128,-17
-15658,-516,-4946,-114,128,-17
-15658,-516,-4946,-114,128,-17
-15658,-516,-4946,-114,128,-17
-15658,-516,-4946,-114,128,-17
