accX,accY,accZ,gyrX,gyrY,gyrZ
-15492,-404,-5294,-71,152,6
-15508,-392,-5331,-142,148,-23
-15547,-379,-5332,-119,129,24
-15547,-379,-5332,-119,129,24
-15547,-379,-5332,-119,129,24
-15547,-379,-5332,-119,129,24
-15547,-379,-5332,-119,129,24
-15547,-379,-5332,-119,129,24
-15547,-379,-5332,-119,129,24
-15554,-402,-5321,-77,158,17
-15554,-402,-5321,-77,158,17
-15554,-402,-5321,-77,158,17
-15554,-402,-5321,-77,158,17
-15554,-402,-5321,-77,158,17
-15563,-417,-5374,-78,167,11
-15563,-417,-5374,-78,167,11
-15563,-417,-5374,-78,167,11
-15563,-417,-5374,-78,167,11
-15563,-417,-5374,-78,167,11
-15563,-417,-5374,-78,167,11
-15562,-408,-5356,-69,135,11
-15562,-408,-5356,-69,135,11
-15562,-408,-5356,-69,135,11
-15562,-408,-5356,-69,135,11
-15562,-408,-5356,-69,135,11
-15562,-408,-5356,-69,135,11
-15562,-408,-5356,-69,135,11
-15545,-363,-5309,97,75,6
-15545,-363,-5309,97,75,6
-15545,-363,-5309,97,75,6
-15545,-363,-5309,97,75,6
-15545,-363,-5309,97,75,6
-15561,-351,-5239,450,6,29
-15561,-351,-5239,450,6,29
-15561,-351,-5239,450,6,29
-15561,-351,-5239,450,6,29
-15561,-351,-5239,450,6,29
-15561,-351,-5239,450,6,29
-15579,-401,-5210,624,-8,40
-15579,-401,-5210,624,-8,40
-15579,-401,-5210,624,-8,40
-15579,-401,-5210,624,-8,40
-15579,-401,-5210,624,-8,40
-15579,-401,-5210,624,-8,40
-15579,-401,-5210,624,-8,40
-15595,-469,-5179,519,58,53
-15595,-469,-5179,519,58,53
-15595,-469,-5179,519,58,53
-15595,-469,-5179,519,58,53
-15595,-469,-5179,519,58,53
-15605,-469,-5165,482,85,54
-15605,-469,-5165,482,85,54
-15605,-469,-5165,482,85,54
-15605,-469,-5165,482,85,54
-15605,-469,-5165,482,85,54
-15605,-469,-5165,482,85,54
-15608,-519,-5230,139,383,10
-15608,-519,-5230,139,383,10
-15608,-519,-5230,139,383,10
-15608,-519,-5230,139,383,10
-15608,-519,-5230,139,383,10
-15658,-464,-5288,75,323,-45
-15658,-464,-5288,75,323,-45
-15658,-464,-5288,75,323,-45
-15658,-464,-5288,75,323,-45
-15658,-464,-5288,75,323,-45
-15658,-464,-5288,75,323,-45
-15658,-464,-5288,75,323,-45
-15640,-516,-5317,21,288,-45
-15640,-516,-5317,21,288,-45
-15640,-516,-5317,21,288,-45
-15640,-516,-5317,21,288,-45
-15640,-516,-5317,21,288,-45
-15640,-516,-5317,21,288,-45
-15612,-544,-5331,-27,258,-55
-15612,-544,-5331,-27,258,-55
-15612,-544,-5331,-27,258,-55
-15612,-544,-5331,-27,258,-55
-15612,-544,-5331,-27,258,-55
-15613,-471,-5358,-440,227,-79
-15613,-471,-5358,-440,227,-79
-15613,-471,-5358,-440,227,-79
-15613,-471,-5358,-440,227,-79
-15613,-471,-5358,-440,227,-79
-15613,-471,-5358,-440,227,-79
-15613,-471,-5358,-440,227,-79
-15632,-490,-5300,-465,201,-34
-15632,-490,-5300,-465,201,-34
-15632,-490,-5300,-465,201,-34
-15632,-490,-5300,-465,201,-34
-15632,-490,-5300,-465,201,-34
-15632,-490,-5300,-465,201,-34
-15624,-490,-5276,-475,183,-4
-15624,-490,-5276,-475,183,-4
-15624,-490,-5276,-475,183,-4
-15624,-490,-5276,-475,183,-4
-15624,-490,-5276,-475,183,-4
-15597,-500,-5260,-426,177,-10
-15597,-500,-5260,-426,177,-10
-15597,-500,-5260,-426,177,-10
-15597,-500,-5260,-426,177,-10
-15597,-500,-5260,-426,177,-10
-15597,-500,-5260,-426,177,-10
-15597,-500,-5260,-426,177,-10
-15597,-500,-5260,-426,177,-10
-15598,-499,-5256,-323,180,-3
-15598,-499,-5256,-323,180,-3
-15598,-499,-5256,-323,180,-3
-15598,-499,-5256,-323,180,-3
-15595,-496,-5255,-317,191,0
-15595,-496,-5255,-317,191,0
-15595,-496,-5255,-317,191,0
-15595,-496,-5255,-317,191,0
-15595,-496,-5255,-317,191,0
-15588,-488,-5251,-334,196,16
-15588,-488,-5251,-334,196,16
-15588,-488,-5251,-334,196,16
-15588,-488,-5251,-334,196,16
-15588,-488,-5251,-334,196,16
-15588,-488,-5251,-334,196,16
-15588,-488,-5251,-334,196,16
-15574,-478,-5248,-306,192,24
-15574,-478,-5248,-306,192,24
-15574,-478,-5248,-306,192,24
-15574,-478,-5248,-306,192,24
-15574,-478,-5248,-306,192,24
-15574,-478,-5248,-306,192,24
-15588,-462,-5243,-287,194,17
-15588,-462,-5243,-287,194,17
