accX,accY,accZ,gyrX,gyrY,gyrZ
-15799,1953,-3984,-236,106,-20
-15783,1955,-3940,-65,-1,-43
-15783,1955,-3940,-65,-1,-43
-15783,1955,-3940,-65,-1,-43
-15783,1955,-3940,-65,-1,-43
-15783,1955,-3940,-65,-1,-43
-15783,1925,-3873,-94,-79,-73
-15783,1925,-3873,-94,-79,-73
-15783,1925,-3873,-94,-79,-73
-15783,1925,-3873,-94,-79,-73
-15783,1925,-3873,-94,-79,-73
-15783,1925,-3873,-94,-79,-73
-15783,1925,-3873,-94,-79,-73
-15817,1915,-3832,-67,19,-69
-15817,1915,-3832,-67,19,-69
-15817,1915,-3832,-67,19,-69
-15817,1915,-3832,-67,19,-69
-15817,1915,-3832,-67,19,-69
-15817,1915,-3832,-67,19,-69
-15817,1915,-3832,-67,19,-69
-15802,1896,-3842,-45,123,-62
-15802,1896,-3842,-45,123,-62
-15802,1896,-3842,-45,123,-62
-15802,1896,-3842,-45,123,-62
-15752,1761,-3900,8,-6,-45
-15752,1761,-3900,8,-6,-45
-15752,1761,-3900,8,-6,-45
-15752,1761,-3900,8,-6,-45
-15752,1761,-3900,8,-6,-45
-15752,1761,-3900,8,-6,-45
-15752,1761,-3900,8,-6,-45
-15752,1761,-3900,8,-6,-45
-15752,1761,-3900,8,-6,-45
-15781,1745,-3886,-32,58,31
-15781,1745,-3886,-32,58,31
-15781,1745,-3886,-32,58,31
-15795,1806,-3891,-168,93,61
-15795,1806,-3891,-168,93,61
-15795,1806,-3891,-168,93,61
-15795,1806,-3891,-168,93,61
-15795,1806,-3891,-168,93,61
-15795,1806,-3891,-168,93,61
-15781,1912,-3888,-336,321,320
-15781,1912,-3888,-336,321,320
-15781,1912,-3888,-336,321,320
-15781,1912,-3888,-336,321,320
-15781,1912,-3888,-336,321,320
-15757,2051,-3914,-393,509,406
-15757,2051,-3914,-393,509,406
-15757,2051,-3914,-393,509,406
-15757,2051,-3914,-393,509,406
-15757,2051,-3914,-393,509,406
-15757,2051,-3914,-393,509,406
-15726,2063,-3978,-307,508,304
-15726,2063,-3978,-307,508,304
-15726,2063,-3978,-307,508,304
-15726,2063,-3978,-307,508,304
-15726,2063,-3978,-307,508,304
-15726,2063,-3978,-307,508,304
-15716,2104,-4056,-200,438,78
-15716,2104,-4056,-200,438,78
-15716,2104,-4056,-200,438,78
-15716,2104,-4056,-200,438,78
-15716,2104,-4056,-200,438,78
-15716,2104,-4056,-200,438,78
-15716,2104,-4056,-200,438,78
-15737,2112,-4128,-90,368,-68
-15737,2112,-4128,-90,368,-68
-15737,2112,-4128,-90,368,-68
-15737,2112,-4128,-90,368,-68
-15737,2112,-4128,-90,368,-68
