accX,accY,accZ,gyrX,gyrY,gyrZ
-14336,6929,-4111,-118,524,-162
-14339,6909,-4175,-14,393,-81
-14339,6909,-4175,-14,393,-81
-14339,6909,-4175,-14,393,-81
-14339,6909,-4175,-14,393,-81
-14339,6909,-4175,-14,393,-81
-14339,6909,-4175,-14,393,-81
-14339,6891,-4163,-20,284,-28
-14339,6891,-4163,-20,284,-28
-14339,6891,-4163,-20,284,-28
-14339,6891,-4163,-20,284,-28
-14339,6891,-4163,-20,284,-28
-14337,6880,-4148,-45,264,-30
-14337,6880,-4148,-45,264,-30
-14337,6880,-4148,-45,264,-30
-14337,6880,-4148,-45,264,-30
-14337,6880,-4148,-45,264,-30
-14337,6880,-4148,-45,264,-30
-14337,6880,-4148,-45,264,-30
-14337,6880,-4148,-45,264,-30
-14350,6854,-4123,-41,186,-8
-14350,6854,-4123,-41,186,-8
-14350,6854,-4123,-41,186,-8
-14350,6854,-4123,-41,186,-8
-14350,6854,-4123,-41,186,-8
-14358,6840,-4128,-5,60,17
-14358,6840,-4128,-5,60,17
-14358,6840,-4128,-5,60,17
-14358,6840,-4128,-5,60,17
-14358,6840,-4128,-5,60,17
-14358,6840,-4128,-5,60,17
-14358,6840,-4128,-5,60,17
-14330,6848,-4105,-10,17,41
-14330,6848,-4105,-10,17,41
-14330,6848,-4105,-10,17,41
-14330,6848,-4105,-10,17,41
-14330,6848,-4105,-10,17,41
-14330,6848,-4105,-10,17,41
-14330,6855,-4080,-13,67,-13
-14330,6855,-4080,-13,67,-13
-14330,6855,-4080,-13,67,-13
-14330,6855,-4080,-13,67,-13
-14330,6855,-4080,-13,67,-13
-14354,6821,-4109,83,35,12
-14354,6821,-4109,83,35,12
-14354,6821,-4109,83,35,12
-14354,6821,-4109,83,35,12
-14354,6821,-4109,83,35,12
-14354,6821,-4109,83,35,12
-14360,6817,-4149,2,84,15
-14360,6817,-4149,2,84,15
-14360,6817,-4149,2,84,15
-14360,6817,-4149,2,84,15
-14360,6817,-4149,2,84,15
-14360,6817,-4149,2,84,15
-14380,6824,-4160,-88,81,48
-14380,6824,-4160,-88,81,48
-14380,6824,-4160,-88,81,48
-14380,6824,-4160,-88,81,48
-14380,6824,-4160,-88,81,48
-14380,6824,-4160,-88,81,48
-14380,6824,-4160,-88,81,48
-14396,6828,-4152,-117,123,40
-14396,6828,-4152,-117,123,40
-14396,6828,-4152,-117,123,40
-14396,6828,-4152,-117,123,40
-14416,6858,-4122,-89,110,39
-14416,6858,-4122,-89,110,39
-14416,6858,-4122,-89,110,39
-14416,6858,-4122,-89,110,39
-14416,6858,-4122,-89,110,39
-14416,6858,-4122,-89,110,39
-14416,6858,-4122,-89,110,39
-14417,6857,-4095,-70,141,35
-14417,6857,-4095,-70,141,35
-14417,6857,-4095,-70,141,35
-14417,6857,-4095,-70,141,35
-14417,6857,-4095,-70,141,35
-14417,6857,-4095,-70,141,35
-14417,6857,-4095,-70,141,35
-14400,6846,-4104,-60,137,63
-14400,6846,-4104,-60,137,63
