accX,accY,accZ,gyrX,gyrY,gyrZ
-15053,5546,-3842,-145,277,-5
-14978,5571,-3856,-116,315,-27
-14978,5571,-3856,-116,315,-27
-14978,5571,-3856,-116,315,-27
-14978,5571,-3856,-116,315,-27
-14978,5571,-3856,-116,315,-27
-14978,5571,-3856,-116,315,-27
-14989,5556,-3856,-127,264,-15
-14989,5556,-3856,-127,264,-15
-14989,5556,-3856,-127,264,-15
-14989,5556,-3856,-127,264,-15
-14989,5556,-3856,-127,264,-15
-14989,5556,-3856,-127,264,-15
-14962,5568,-3890,-100,248,24
-14962,5568,-3890,-100,248,24
-14962,5568,-3890,-100,248,24
-14962,5568,-3890,-100,248,24
-14962,5568,-3890,-100,248,24
-14952,5557,-3884,-87,225,17
-14952,5557,-3884,-87,225,17
-14952,5557,-3884,-87,225,17
-14952,5557,-3884,-87,225,17
-14952,5557,-3884,-87,225,17
-14952,5557,-3884,-87,225,17
-14952,5557,-3884,-87,225,17
-14961,5568,-3922,-173,325,17
-14961,5568,-3922,-173,325,17
-14961,5568,-3922,-173,325,17
-14961,5568,-3922,-173,325,17
-14961,5568,-3922,-173,325,17
-14961,5568,-3922,-173,325,17
-14960,5577,-3935,-142,366,18
-14960,5577,-3935,-142,366,18
-14960,5577,-3935,-142,366,18
-14960,5577,-3935,-142,366,18
-14960,5577,-3935,-142,366,18
-14969,5584,-3928,-149,349,14
-14969,5584,-3928,-149,349,14
-14969,5584,-3928,-149,349,14
-14969,5584,-3928,-149,349,14
-14969,5584,-3928,-149,349,14
-14969,5584,-3928,-149,349,14
-14969,5584,-3928,-149,349,14
-14985,5559,-3889,-65,47,19
-14985,5559,-3889,-65,47,19
-14985,5559,-3889,-65,47,19
-14985,5559,-3889,-65,47,19
-14985,5559,-3889,-65,47,19
-14985,5559,-3889,-65,47,19
-14973,5548,-3891,-49,23,59
-14973,5548,-3891,-49,23,59
-14973,5548,-3891,-49,23,59
-14973,5548,-3891,-49,23,59
-14973,5548,-3891,-49,23,59
-14969,5557,-3868,-68,23,70
-14969,5557,-3868,-68,23,70
-14969,5557,-3868,-68,23,70
-14969,5557,-3868,-68,23,70
-14969,5557,-3868,-68,23,70
-14969,5557,-3868,-68,23,70
-14969,5557,-3868,-68,23,70
-14969,5557,-3868,-68,23,70
-14944,5581,-3843,-79,1,92
-14944,5581,-3843,-79,1,92
-14944,5581,-3843,-79,1,92
-14944,5581,-3843,-79,1,92
-14944,5581,-3843,-79,1,92
-14975,5580,-3821,-117,93,61
-14975,5580,-3821,-117,93,61
-14975,5580,-3821,-117,93,61
-14975,5580,-3821,-117,93,61
-14975,5580,-3821,-117,93,61
-14975,5580,-3821,-117,93,61
-14943,5600,-3778,-96,153,85
-14943,5600,-3778,-96,153,85
-14943,5600,-3778,-96,153,85
-14943,5600,-3778,-96,153,85
-14943,5600,-3778,-96,153,85
-14941,5614,-3789,-123,160,78
-14941,5614,-3789,-123,160,78
-14941,5614,-3789,-123,160,78
-14941,5614,-3789,-123,160,78
-14941,5614,-3789,-123,160,78
-14941,5614,-3789,-123,160,78
-14942,5613,-3761,-134,109,57
-14942,5613,-3761,-134,109,57
-14942,5613,-3761,-134,109,57
-14942,5613,-3761,-134,109,57
-14942,5613,-3761,-134,109,57
-14951,5611,-3730,-114,77,49
-14951,5611,-3730,-114,77,49
-14951,5611,-3730,-114,77,49
-14951,5611,-3730,-114,77,49
-14951,5611,-3730,-114,77,49
-14951,5611,-3730,-114,77,49
-14951,5611,-3730,-114,77,49
-14977,5623,-3692,-75,74,12
-14977,5623,-3692,-75,74,12
-14977,5623,-3692,-75,74,12
-14977,5623,-3692,-75,74,12
