accX,accY,accZ,gyrX,gyrY,gyrZ
-13676,8148,-4576,-131,389,-7
-13691,8151,-4547,-112,400,11
-13691,8151,-4547,-112,400,11
-13677,8166,-4538,-114,425,25
-13677,8166,-4538,-114,425,25
-13677,8166,-4538,-114,425,25
-13677,8166,-4538,-114,425,25
-13677,8166,-4538,-114,425,25
-13672,8161,-4558,-95,426,23
-13672,8161,-4558,-95,426,23
-13672,8161,-4558,-95,426,23
-13672,8161,-4558,-95,426,23
-13672,8161,-4558,-95,426,23
-13672,8161,-4558,-95,426,23
-13672,8161,-4558,-95,426,23
-13671,8172,-4534,-94,420,13
-13671,8172,-4534,-94,420,13
-13671,8172,-4534,-94,420,13
-13671,8172,-4534,-94,420,13
-13671,8172,-4534,-94,420,13
-13671,8172,-4534,-94,420,13
-13671,8172,-4534,-94,420,13
-13671,8172,-4534,-94,420,13
-13668,8188,-4537,-164,424,2
-13668,8188,-4537,-164,424,2
-13668,8188,-4537,-164,424,2
-13672,8176,-4555,-166,440,-5
-13672,8176,-4555,-166,440,-5
-13672,8176,-4555,-166,440,-5
-13672,8176,-4555,-166,440,-5
-13672,8176,-4555,-166,440,-5
-13672,8176,-4555,-166,440,-5
-13672,8176,-4555,-166,440,-5
-13666,8174,-4582,-133,403,2
-13666,8174,-4582,-133,403,2
-13666,8174,-4582,-133,403,2
-13666,8174,-4582,-133,403,2
-13666,8174,-4582,-133,403,2
-13666,8174,-4582,-133,403,2
-13687,8175,-4552,-142,384,-2
-13687,8175,-4552,-142,384,-2
-13687,8175,-4552,-142,384,-2
-13687,8175,-4552,-142,384,-2
-13687,8175,-4552,-142,384,-2
-13662,8149,-4553,-124,390,-9
-13662,8149,-4553,-124,390,-9
-13662,8149,-4553,-124,390,-9
-13662,8149,-4553,-124,390,-9
-13662,8149,-4553,-124,390,-9
-13662,8149,-4553,-124,390,-9
-13662,8149,-4553,-124,390,-9
-13680,8149,-4579,-88,411,-2
-13680,8149,-4579,-88,411,-2
-13680,8149,-4579,-88,411,-2
-13680,8149,-4579,-88,411,-2
-13680,8149,-4579,-88,411,-2
-13680,8149,-4579,-88,411,-2
-13653,8140,-4603,-96,447,-18
-13653,8140,-4603,-96,447,-18
-13653,8140,-4603,-96,447,-18
-13653,8140,-4603,-96,447,-18
-13653,8140,-4603,-96,447,-18
-13652,8129,-4578,-103,400,0
-13652,8129,-4578,-103,400,0
-13652,8129,-4578,-103,400,0
-13652,8129,-4578,-103,400,0
-13652,8129,-4578,-103,400,0
-13652,8129,-4578,-103,400,0
-13652,8129,-4578,-103,400,0
-13656,8108,-4581,-141,392,2
-13656,8108,-4581,-141,392,2
-13656,8108,-4581,-141,392,2
-13656,8108,-4581,-141,392,2
-13656,8108,-4581,-141,392,2
-13656,8108,-4581,-141,392,2
-13659,8109,-4606,-247,380,27
-13659,8109,-4606,-247,380,27
-13659,8109,-4606,-247,380,27
-13659,8109,-4606,-247,380,27
-13659,8109,-4606,-247,380,27
-13643,8100,-4640,-229,373,16
-13643,8100,-4640,-229,373,16
-13643,8100,-4640,-229,373,16
-13643,8100,-4640,-229,373,16
-13643,8100,-4640,-229,373,16
-13643,8100,-4640,-229,373,16
-13643,8100,-4640,-229,373,16
-13664,8111,-4620,-215,370,7
-13664,8111,-4620,-215,370,7
-13664,8111,-4620,-215,370,7
-13664,8111,-4620,-215,370,7
-13664,8111,-4620,-215,370,7
-13664,8111,-4620,-215,370,7
-13652,8103,-4640,-210,378,-2
-13652,8103,-4640,-210,378,-2
-13652,8103,-4640,-210,378,-2
-13652,8103,-4640,-210,378,-2
-13652,8103,-4640,-210,378,-2
-13658,8112,-4619,-185,375,1
-13658,8112,-4619,-185,375,1
-13658,8112,-4619,-185,375,1
-13658,8112,-4619,-185,375,1
-13658,8112,-4619,-185,375,1
-13658,8112,-4619,-185,375,1
-13658,8112,-4619,-185,375,1
-13673,8104,-4633,-139,378,11
-13673,8104,-4633,-139,378,11
-13673,8104,-4633,-139,378,11
-13673,8104,-4633,-139,378,11
-13673,8104,-4633,-139,378,11
-13656,8090,-4658,-142,383,12
-13656,8090,-4658,-142,383,12
-13656,8090,-4658,-142,383,12
-13656,8090,-4658,-142,383,12
-13656,8090,-4658,-142,383,12
-13672,8058,-4659,-138,373,8
-13672,8058,-4659,-138,373,8
-13672,8058,-4659,-138,373,8
-13672,8058,-4659,-138,373,8
-13672,8058,-4659,-138,373,8
-13672,8058,-4659,-138,373,8
-13672,8058,-4659,-138,373,8
-13682,8092,-4641,-145,363,6
-13682,8092,-4641,-145,363,6
-13682,8092,-4641,-145,363,6
-13682,8092,-4641,-145,363,6
-13682,8092,-4641,-145,363,6
-13682,8092,-4641,-145,363,6
-13694,8084,-4610,-230,373,-14
-13694,8084,-4610,-230,373,-14
