accX,accY,accZ,gyrX,gyrY,gyrZ
-15324,3084,-4890,-288,311,26
-15331,3135,-4840,-251,344,33
-15331,3135,-4840,-251,344,33
-15331,3135,-4840,-251,344,33
-15331,3135,-4840,-251,344,33
-15331,3135,-4840,-251,344,33
-15322,3125,-4845,-232,386,7
-15322,3125,-4845,-232,386,7
-15322,3125,-4845,-232,386,7
-15322,3125,-4845,-232,386,7
-15322,3125,-4845,-232,386,7
-15322,3125,-4845,-232,386,7
-15338,3119,-4822,-157,326,81
-15338,3119,-4822,-157,326,81
-15338,3119,-4822,-157,326,81
-15338,3119,-4822,-157,326,81
-15338,3119,-4822,-157,326,81
-15338,3119,-4822,-157,326,81
-15338,3119,-4822,-157,326,81
-15338,3119,-4822,-157,326,81
-15338,3119,-4822,-157,326,81
-15317,3117,-4870,-180,336,74
-15317,3117,-4870,-180,336,74
-15317,3117,-4870,-180,336,74
-15340,3111,-4889,-187,354,88
-15340,3111,-4889,-187,354,88
-15340,3111,-4889,-187,354,88
-15340,3111,-4889,-187,354,88
-15340,3111,-4889,-187,354,88
-15340,3111,-4889,-187,354,88
-15304,3142,-4907,-162,353,70
-15304,3142,-4907,-162,353,70
-15304,3142,-4907,-162,353,70
-15304,3142,-4907,-162,353,70
-15304,3142,-4907,-162,353,70
-15304,3142,-4907,-162,353,70
-15304,3142,-4907,-162,353,70
-15291,3143,-4940,-227,325,74
-15291,3143,-4940,-227,325,74
-15291,3143,-4940,-227,325,74
-15291,3143,-4940,-227,325,74
-15276,3192,-4934,-204,297,69
-15276,3192,-4934,-204,297,69
-15276,3192,-4934,-204,297,69
-15276,3192,-4934,-204,297,69
-15276,3192,-4934,-204,297,69
-15276,3192,-4934,-204,297,69
-15271,3177,-4952,-180,286,59
-15271,3177,-4952,-180,286,59
-15271,3177,-4952,-180,286,59
-15271,3177,-4952,-180,286,59
-15271,3177,-4952,-180,286,59
-15271,3177,-4952,-180,286,59
-15271,3177,-4952,-180,286,59
-15271,3177,-4952,-180,286,59
-15271,3177,-4952,-180,286,59
-15271,3177,-4952,-180,286,59
-15291,3183,-4976,-198,271,62
-15291,3183,-4976,-198,271,62
-15297,3200,-4906,-25,115,70
-15297,3200,-4906,-25,115,70
-15297,3200,-4906,-25,115,70
-15297,3200,-4906,-25,115,70
-15297,3200,-4906,-25,115,70
-15297,3200,-4906,-25,115,70
