accX,accY,accZ,gyrX,gyrY,gyrZ
-15230,3393,-5228,-248,314,58
-15222,3401,-5222,-235,330,38
-15222,3401,-5222,-235,330,38
-15197,3360,-5164,-147,268,67
-15197,3360,-5164,-147,268,67
-15197,3360,-5164,-147,268,67
-15197,3360,-5164,-147,268,67
-15197,3360,-5164,-147,268,67
-15204,3337,-5152,-140,307,49
-15204,3337,-5152,-140,307,49
-15204,3337,-5152,-140,307,49
-15204,3337,-5152,-140,307,49
-15204,3337,-5152,-140,307,49
-15204,3337,-5152,-140,307,49
-15204,3337,-5152,-140,307,49
-15207,3379,-5161,-181,319,50
-15207,3379,-5161,-181,319,50
-15207,3379,-5161,-181,319,50
-15207,3379,-5161,-181,319,50
-15207,3379,-5161,-181,319,50
-15207,3379,-5161,-181,319,50
-15223,3401,-5160,-183,288,44
-15223,3401,-5160,-183,288,44
-15223,3401,-5160,-183,288,44
-15223,3401,-5160,-183,288,44
-15223,3401,-5160,-183,288,44
-15224,3396,-5152,-215,271,20
-15224,3396,-5152,-215,271,20
-15224,3396,-5152,-215,271,20
-15224,3396,-5152,-215,271,20
-15224,3396,-5152,-215,271,20
-15224,3396,-5152,-215,271,20
-15224,3396,-5152,-215,271,20
-15224,3396,-5152,-215,271,20
-15224,3396,-5152,-215,271,20
-15190,3392,-5151,-190,293,30
-15190,3392,-5151,-190,293,30
-15190,3392,-5151,-190,293,30
-15190,3392,-5151,-190,293,30
-15206,3401,-5147,-171,289,19
-15206,3401,-5147,-171,289,19
-15206,3401,-5147,-171,289,19
-15206,3401,-5147,-171,289,19
-15184,3396,-5171,-162,301,24
-15184,3396,-5171,-162,301,24
-15184,3396,-5171,-162,301,24
-15184,3396,-5171,-162,301,24
-15184,3396,-5171,-162,301,24
-15184,3396,-5171,-162,301,24
-15184,3396,-5171,-162,301,24
-15172,3406,-5182,-158,341,32
-15172,3406,-5182,-158,341,32
-15172,3406,-5182,-158,341,32
-15172,3406,-5182,-158,341,32
-15172,3406,-5182,-158,341,32
-15172,3406,-5182,-158,341,32
-15200,3407,-5187,-123,354,26
-15200,3407,-5187,-123,354,26
-15200,3407,-5187,-123,354,26
