accX,accY,accZ,gyrX,gyrY,gyrZ
-15320,3284,-4736,-123,276,39
-15316,3280,-4734,-97,244,16
-15345,3290,-4761,-158,341,26
-15345,3290,-4761,-158,341,26
-15345,3290,-4761,-158,341,26
-15345,3290,-4761,-158,341,26
-15345,3290,-4761,-158,341,26
-15345,3290,-4761,-158,341,26
-15345,3290,-4761,-158,341,26
-15342,3300,-4740,-156,364,1
-15342,3300,-4740,-156,364,1
-15342,3300,-4740,-156,364,1
-15342,3300,-4740,-156,364,1
-15342,3300,-4740,-156,364,1
-15342,3300,-4740,-156,364,1
-15324,3304,-4788,-170,311,26
-15324,3304,-4788,-170,311,26
-15324,3304,-4788,-170,311,26
-15324,3304,-4788,-170,311,26
-15324,3304,-4788,-170,311,26
-15300,3304,-4808,-159,314,18
-15300,3304,-4808,-159,314,18
-15300,3304,-4808,-159,314,18
-15300,3304,-4808,-159,314,18
-15300,3304,-4808,-159,314,18
-15300,3304,-4808,-159,314,18
-15300,3304,-4808,-159,314,18
-15300,3304,-4808,-159,314,18
-15314,3278,-4808,-134,249,21
-15314,3278,-4808,-134,249,21
-15314,3278,-4808,-134,249,21
-15314,3278,-4808,-134,249,21
-15314,3278,-4808,-134,249,21
-15315,3320,-4784,-170,264,18
-15315,3320,-4784,-170,264,18
-15315,3320,-4784,-170,264,18
-15315,3320,-4784,-170,264,18
-15315,3320,-4784,-170,264,18
-15352,3319,-4768,-278,311,25
-15352,3319,-4768,-278,311,25
-15352,3319,-4768,-278,311,25
-15352,3319,-4768,-278,311,25
-15352,3319,-4768,-278,311,25
-15352,3319,-4768,-278,311,25
-15352,3319,-4768,-278,311,25
-15352,3319,-4768,-278,311,25
-15362,3302,-4772,-239,265,-15
-15362,3302,-4772,-239,265,-15
-15362,3302,-4772,-239,265,-15
-15362,3302,-4772,-239,265,-15
-15362,3302,-4772,-239,265,-15
-15378,3282,-4762,-196,270,-4
-15378,3282,-4762,-196,270,-4
-15378,3282,-4762,-196,270,-4
-15378,3282,-4762,-196,270,-4
-15407,3271,-4776,-216,283,15
-15407,3271,-4776,-216,283,15
-15407,3271,-4776,-216,283,15
-15407,3271,-4776,-216,283,15
-15407,3271,-4776,-216,283,15
-15407,3271,-4776,-216,283,15
-15405,3280,-4771,-245,297,21
-15405,3280,-4771,-245,297,21
-15405,3280,-4771,-245,297,21
-15405,3280,-4771,-245,297,21
-15405,3280,-4771,-245,297,21
-15405,3280,-4771,-245,297,21
-15405,3280,-4771,-245,297,21
-15376,3284,-4747,-182,300,9
-15376,3284,-4747,-182,300,9
-15376,3284,-4747,-182,300,9
-15376,3284,-4747,-182,300,9
-15376,3284,-4747,-182,300,9
-15376,3284,-4747,-182,300,9
-15355,3270,-4752,-198,326,10
-15355,3270,-4752,-198,326,10
-15355,3270,-4752,-198,326,10
