accX,accY,accZ,gyrX,gyrY,gyrZ
-14812,2841,-7071,-100,244,0
-14827,2825,-7052,-96,244,0
-14827,2825,-7052,-96,244,0
-14827,2825,-7052,-96,244,0
-14827,2825,-7052,-96,244,0
-14822,2837,-7075,-104,250,9
-14822,2837,-7075,-104,250,9
-14822,2837,-7075,-104,250,9
-14822,2837,-7075,-104,250,9
-14822,2837,-7075,-104,250,9
-14822,2837,-7075,-104,250,9
-14839,2831,-7075,-119,231,-1
-14839,2831,-7075,-119,231,-1
-14839,2831,-7075,-119,231,-1
-14839,2831,-7075,-119,231,-1
-14839,2831,-7075,-119,231,-1
-14839,2831,-7075,-119,231,-1
-14839,2831,-7075,-119,231,-1
-14839,2831,-7075,-119,231,-1
-14839,2831,-7075,-119,231,-1
-14848,2832,-7072,-150,233,11
-14848,2832,-7072,-150,233,11
-14848,2832,-7072,-150,233,11
-14792,2822,-7085,-120,242,25
-14792,2822,-7085,-120,242,25
-14792,2822,-7085,-120,242,25
-14792,2822,-7085,-120,242,25
-14792,2822,-7085,-120,242,25
-14792,2822,-7085,-120,242,25
-14788,2823,-7053,170,186,81
-14788,2823,-7053,170,186,81
-14788,2823,-7053,170,186,81
-14788,2823,-7053,170,186,81
-14788,2823,-7053,170,186,81
-14788,2823,-7053,170,186,81
-14788,2823,-7053,170,186,81
-14838,2869,-7052,187,163,79
-14838,2869,-7052,187,163,79
-14838,2869,-7052,187,163,79
-14838,2869,-7052,187,163,79
-14838,2869,-7052,187,163,79
-14838,2869,-7052,187,163,79
-14856,2848,-7034,113,175,77
-14856,2848,-7034,113,175,77
-14856,2848,-7034,113,175,77
-14856,2848,-7034,113,175,77
-14856,2848,-7034,113,175,77
-14819,2864,-7056,-3,249,29
-14819,2864,-7056,-3,249,29
-14819,2864,-7056,-3,249,29
-14819,2864,-7056,-3,249,29
-14819,2864,-7056,-3,249,29
-14819,2864,-7056,-3,249,29
-14819,2864,-7056,-3,249,29
-14816,2832,-7044,-125,321,-17
-14816,2832,-7044,-125,321,-17
-14816,2832,-7044,-125,321,-17
-14816,2832,-7044,-125,321,-17
-14816,2832,-7044,-125,321,-17
-14816,2832,-7044,-125,321,-17
-14816,2832,-7044,-125,321,-17
-14818,2816,-7035,-112,333,-29
-14818,2816,-7035,-112,333,-29
-14818,2816,-7035,-112,333,-29
-14818,2816,-7035,-112,333,-29
-14804,2813,-7016,-127,323,-28
-14804,2813,-7016,-127,323,-28
-14804,2813,-7016,-127,323,-28
-14804,2813,-7016,-127,323,-28
-14804,2813,-7016,-127,323,-28
-14813,2829,-7028,-169,266,-24
-14813,2829,-7028,-169,266,-24
-14813,2829,-7028,-169,266,-24
-14813,2829,-7028,-169,266,-24
-14813,2829,-7028,-169,266,-24
-14813,2829,-7028,-169,266,-24
-14813,2829,-7028,-169,266,-24
-14813,2829,-7028,-169,266,-24
-14829,2847,-7016,-176,253,1
-14829,2847,-7016,-176,253,1
-14829,2847,-7016,-176,253,1
-14829,2847,-7016,-176,253,1
-14829,2847,-7016,-176,253,1
-14822,2853,-7056,-164,283,26
-14822,2853,-7056,-164,283,26
-14822,2853,-7056,-164,283,26
-14822,2853,-7056,-164,283,26
-14822,2853,-7056,-164,283,26
-14817,2844,-7052,-155,269,36
-14817,2844,-7052,-155,269,36
-14817,2844,-7052,-155,269,36
-14817,2844,-7052,-155,269,36
-14817,2844,-7052,-155,269,36
-14817,2844,-7052,-155,269,36
-14817,2844,-7052,-155,269,36
-14817,2844,-7052,-155,269,36
-14813,2870,-7083,-162,288,18
-14813,2870,-7083,-162,288,18
-14826,2883,-7101,-138,280,25
-14826,2883,-7101,-138,280,25
-14826,2883,-7101,-138,280,25
-14826,2883,-7101,-138,280,25
-14826,2883,-7101,-138,280,25
-14813,2882,-7082,-129,276,19
-14813,2882,-7082,-129,276,19
-14813,2882,-7082,-129,276,19
-14813,2882,-7082,-129,276,19
-14813,2882,-7082,-129,276,19
-14813,2882,-7082,-129,276,19
-14813,2882,-7082,-129,276,19
-14813,2882,-7082,-129,276,19
-14813,2882,-7104,-111,262,20
-14813,2882,-7104,-111,262,20
-14813,2882,-7104,-111,262,20
-14813,2882,-7104,-111,262,20
-14813,2882,-7104,-111,262,20
-14813,2879,-7111,-103,245,5
-14813,2879,-7111,-103,245,5
-14813,2879,-7111,-103,245,5
-14813,2879,-7111,-103,245,5
