accX,accY,accZ,gyrX,gyrY,gyrZ
-14049,5494,-7166,-85,279,-4
-14038,5462,-7180,-57,235,11
-14038,5462,-7180,-57,235,11
-14038,5462,-7180,-57,235,11
-14038,5462,-7180,-57,235,11
-14038,5462,-7180,-57,235,11
-14038,5483,-7184,-58,232,-30
-14038,5483,-7184,-58,232,-30
-14038,5483,-7184,-58,232,-30
-14038,5483,-7184,-58,232,-30
-14038,5483,-7184,-58,232,-30
-14038,5483,-7184,-58,232,-30
-14038,5463,-7187,-107,234,-26
-14038,5463,-7187,-107,234,-26
-14038,5463,-7187,-107,234,-26
-14038,5463,-7187,-107,234,-26
-14038,5463,-7187,-107,234,-26
-14048,5438,-7170,-124,274,-40
-14048,5438,-7170,-124,274,-40
-14048,5438,-7170,-124,274,-40
-14048,5438,-7170,-124,274,-40
-14048,5438,-7170,-124,274,-40
-14048,5438,-7170,-124,274,-40
-14048,5438,-7170,-124,274,-40
-14036,5456,-7168,-345,542,-66
-14036,5456,-7168,-345,542,-66
-14036,5456,-7168,-345,542,-66
-14036,5456,-7168,-345,542,-66
-14036,5456,-7168,-345,542,-66
-14036,5456,-7168,-345,542,-66
-14040,5453,-7156,-360,537,-55
-14040,5453,-7156,-360,537,-55
-14040,5453,-7156,-360,537,-55
-14040,5453,-7156,-360,537,-55
-14040,5453,-7156,-360,537,-55
-14058,5472,-7186,-390,519,-41
-14058,5472,-7186,-390,519,-41
-14058,5472,-7186,-390,519,-41
-14058,5472,-7186,-390,519,-41
-14058,5472,-7186,-390,519,-41
-14058,5472,-7186,-390,519,-41
-14058,5472,-7186,-390,519,-41
-14034,5483,-7173,-159,205,38
-14034,5483,-7173,-159,205,38
-14034,5483,-7173,-159,205,38
-14034,5483,-7173,-159,205,38
-14034,5483,-7173,-159,205,38
-14034,5483,-7173,-159,205,38
-14046,5496,-7162,-79,230,-14
-14046,5496,-7162,-79,230,-14
-14046,5496,-7162,-79,230,-14
-14046,5496,-7162,-79,230,-14
-14046,5496,-7162,-79,230,-14
-14067,5500,-7170,-103,257,-16
-14067,5500,-7170,-103,257,-16
-14067,5500,-7170,-103,257,-16
-14067,5500,-7170,-103,257,-16
-14067,5500,-7170,-103,257,-16
-14067,5500,-7170,-103,257,-16
-14067,5500,-7170,-103,257,-16
-14072,5499,-7196,-59,303,-29
-14072,5499,-7196,-59,303,-29
-14072,5499,-7196,-59,303,-29
-14072,5499,-7196,-59,303,-29
-14072,5499,-7196,-59,303,-29
-14072,5499,-7196,-59,303,-29
-14079,5502,-7188,89,138,-1
-14079,5502,-7188,89,138,-1
-14079,5502,-7188,89,138,-1
-14079,5502,-7188,89,138,-1
-14079,5502,-7188,89,138,-1
-14087,5491,-7201,105,162,7
-14087,5491,-7201,105,162,7
-14087,5491,-7201,105,162,7
-14087,5491,-7201,105,162,7
-14087,5491,-7201,105,162,7
-14087,5491,-7201,105,162,7
-14087,5491,-7201,105,162,7
-14088,5472,-7149,47,183,13
-14088,5472,-7149,47,183,13
-14088,5472,-7149,47,183,13
-14088,5472,-7149,47,183,13
-14088,5472,-7149,47,183,13
-14088,5472,-7149,47,183,13
-14088,5472,-7149,47,183,13
-14088,5472,-7149,47,183,13
-14104,5490,-7136,-10,144,64
-14104,5490,-7136,-10,144,64
-14104,5490,-7136,-10,144,64
-14100,5476,-7136,-113,105,63
-14100,5476,-7136,-113,105,63
-14100,5476,-7136,-113,105,63
-14100,5476,-7136,-113,105,63
-14100,5476,-7136,-113,105,63
-14100,5476,-7136,-113,105,63
-14100,5476,-7136,-113,105,63
-14100,5476,-7136,-113,105,63
-14124,5420,-7086,-94,180,32
-14124,5420,-7086,-94,180,32
-14124,5420,-7086,-94,180,32
-14124,5420,-7086,-94,180,32
-14124,5420,-7086,-94,180,32
-14124,5420,-7086,-94,180,32
-14084,5430,-7088,-100,173,41
-14084,5430,-7088,-100,173,41
-14084,5430,-7088,-100,173,41
-14080,5413,-7088,-134,214,0
-14080,5413,-7088,-134,214,0
-14080,5413,-7088,-134,214,0
-14080,5413,-7088,-134,214,0
-14080,5413,-7088,-134,214,0
-14080,5413,-7088,-134,214,0
-14087,5416,-7062,-112,283,-8
-14087,5416,-7062,-112,283,-8
-14087,5416,-7062,-112,283,-8
-14087,5416,-7062,-112,283,-8
-14087,5416,-7062,-112,283,-8
-14087,5416,-7062,-112,283,-8
-14087,5416,-7062,-112,283,-8
-14111,5424,-7072,-123,290,-30
-14111,5424,-7072,-123,290,-30
