[(1128, 16360, -596), (-183, 54, -22)]
[(1116, 16385, -608), (-177, 64, -7)]
[(1116, 16385, -608), (-177, 64, -7)]
[(1132, 16361, -604), (-171, 72, 6)]
[(1132, 16361, -604), (-171, 72, 6)]
[(1114, 16351, -595), (-163, 76, 19)]
[(1114, 16351, -595), (-163, 76, 19)]
[(1114, 16351, -595), (-163, 76, 19)]
[(1122, 16356, -570), (-141, 173, 22)]
[(1122, 16356, -570), (-141, 173, 22)]
[(1122, 16356, -570), (-141, 173, 22)]
[(1122, 16356, -570), (-141, 173, 22)]
[(1129, 16372, -594), (-150, 218, 26)]
[(1129, 16372, -594), (-150, 218, 26)]
[(1129, 16372, -594), (-150, 218, 26)]
[(1129, 16372, -594), (-150, 218, 26)]
[(1124, 16348, -568), (19, 124, 42)]
[(1124, 16348, -568), (19, 124, 42)]
[(1119, 16340, -566), (60, 72, 66)]
[(1121, 16339, -586), (13, 19, 81)]
[(1121, 16339, -586), (13, 19, 81)]
[(1121, 16339, -586), (13, 19, 81)]
[(1121, 16339, -586), (13, 19, 81)]
[(1121, 16339, -586), (13, 19, 81)]
[(1121, 16339, -586), (13, 19, 81)]
[(1107, 16328, -598), (-18, 29, 53)]
[(1115, 16320, -620), (-28, 45, 41)]
[(1115, 16320, -620), (-28, 45, 41)]
[(1115, 16320, -620), (-28, 45, 41)]
[(1115, 16320, -620), (-28, 45, 41)]
[(1140, 16320, -626), (0, 47, 45)]
[(1140, 16320, -626), (0, 47, 45)]
[(1152, 16342, -626), (-23, 19, 31)]
[(1152, 16342, -626), (-23, 19, 31)]
[(1152, 16342, -626), (-23, 19, 31)]
[(1152, 16342, -626), (-23, 19, 31)]
[(1060, 16295, -944), (-42, -41, 41)]
[(1064, 16322, -960), (60, -230, 74)]
[(1064, 16322, -960), (60, -230, 74)]
[(1064, 16322, -960), (60, -230, 74)]
[(1064, 16322, -960), (60, -230, 74)]
[(1064, 16322, -960), (60, -230, 74)]
[(1064, 16322, -960), (60, -230, 74)]
[(1065, 16312, -871), (-20, -221, 67)]
[(1065, 16312, -871), (-20, -221, 67)]
[(1106, 16320, -853), (-105, -98, 44)]
[(1123, 16348, -846), (-200, 113, -4)]
[(1123, 16348, -846), (-200, 113, -4)]
[(1123, 16348, -846), (-200, 113, -4)]
[(1123, 16348, -846), (-200, 113, -4)]
[(1123, 16348, -846), (-200, 113, -4)]
[(1123, 16348, -846), (-200, 113, -4)]
[(1189, 16354, -764), (10, -104, 142)]
[(1189, 16354, -764), (10, -104, 142)]
[(1189, 16354, -764), (10, -104, 142)]
[(1228, 16341, -736), (-11, -12, 123)]
[(1228, 16341, -736), (-11, -12, 123)]
[(1240, 16336, -709), (-42, 72, 76)]
[(1240, 16336, -709), (-42, 72, 76)]
[(1201, 16362, -714), (-62, 192, 22)]
[(1201, 16362, -714), (-62, 192, 22)]
[(1201, 16362, -714), (-62, 192, 22)]
[(1194, 16344, -690), (-60, 241, 2)]
[(1194, 16344, -690), (-60, 241, 2)]
[(1183, 16319, -691), (-97, 241, 0)]
[(1183, 16319, -691), (-97, 241, 0)]
[(1183, 16319, -691), (-97, 241, 0)]
[(1183, 16319, -691), (-97, 241, 0)]
[(1183, 16319, -691), (-97, 241, 0)]
[(1183, 16319, -691), (-97, 241, 0)]
[(1189, 16336, -667), (-135, 224, 8)]
[(1172, 16352, -651), (-132, 208, 14)]
[(1172, 16352, -651), (-132, 208, 14)]
[(1188, 16350, -640), (-127, 196, 31)]
[(1188, 16350, -640), (-127, 196, 31)]
[(1188, 16350, -640), (-127, 196, 31)]
[(1188, 16350, -640), (-127, 196, 31)]
[(1188, 16350, -640), (-127, 196, 31)]
[(1188, 16350, -640), (-127, 196, 31)]
[(1186, 16361, -637), (-132, 204, 23)]
[(1186, 16361, -637), (-132, 204, 23)]
[(1172, 16357, -668), (78, 159, 16)]
[(1172, 16357, -668), (78, 159, 16)]
[(1172, 16357, -668), (78, 159, 16)]
[(1172, 16357, -668), (78, 159, 16)]
[(1176, 16351, -653), (36, 128, 27)]
[(1176, 16351, -653), (36, 128, 27)]
[(1176, 16351, -653), (36, 128, 27)]
[(1176, 16351, -653), (36, 128, 27)]
[(1165, 16356, -670), (8, 114, 6)]
[(1165, 16356, -670), (8, 114, 6)]
[(1165, 16356, -670), (8, 114, 6)]
[(1151, 16356, -644), (-7, 127, -1)]
[(1151, 16356, -644), (-7, 127, -1)]
[(1164, 16351, -677), (-5, 146, -12)]
[(1164, 16351, -677), (-5, 146, -12)]
[(1164, 16351, -677), (-5, 146, -12)]
[(1167, 16391, -720), (-14, 105, -11)]
[(1167, 16391, -720), (-14, 105, -11)]
[(1167, 16391, -720), (-14, 105, -11)]
[(1167, 16391, -720), (-14, 105, -11)]
[(1152, 16385, -690), (-2, 101, -11)]
[(1152, 16385, -690), (-2, 101, -11)]
[(1152, 16385, -690), (-2, 101, -11)]
[(1152, 16385, -690), (-2, 101, -11)]
