[(160, 16311, 81), (-318, -103, -74)]
[(105, 16342, 104), (-298, -79, -160)]
[(121, 16333, 143), (-247, -5, -101)]
[(121, 16333, 143), (-247, -5, -101)]
[(100, 16324, 189), (-209, 78, -71)]
[(100, 16324, 189), (-209, 78, -71)]
[(100, 16324, 189), (-209, 78, -71)]
[(100, 16324, 189), (-209, 78, -71)]
[(52, 16363, 169), (-315, 267, -61)]
[(52, 16363, 169), (-315, 267, -61)]
[(52, 16363, 169), (-315, 267, -61)]
[(8, 16356, 275), (-363, 530, -214)]
[(8, 16356, 275), (-363, 530, -214)]
[(327, 16454, 206), (325, -1234, 487)]
[(327, 16454, 206), (325, -1234, 487)]
[(327, 16454, 206), (325, -1234, 487)]
[(456, 16428, 139), (315, -1035, 697)]
[(456, 16428, 139), (315, -1035, 697)]
[(456, 16428, 139), (315, -1035, 697)]
[(456, 16428, 139), (315, -1035, 697)]
[(432, 16481, 222), (-35, -110, 488)]
[(432, 16481, 222), (-35, -110, 488)]
[(407, 16323, -36), (202, 19, 447)]
[(407, 16323, -36), (202, 19, 447)]
[(407, 16323, -36), (202, 19, 447)]
[(378, 16352, 41), (179, -141, 423)]
[(378, 16352, 41), (179, -141, 423)]
[(378, 16352, 41), (179, -141, 423)]
[(378, 16352, 41), (179, -141, 423)]
[(378, 16352, 41), (179, -141, 423)]
[(378, 16352, 41), (179, -141, 423)]
[(479, 16367, 4), (67, -37, 278)]
[(479, 16367, 4), (67, -37, 278)]
[(479, 16367, 4), (67, -37, 278)]
[(362, 16412, -23), (125, -118, 154)]
[(362, 16412, -23), (125, -118, 154)]
[(362, 16412, -23), (125, -118, 154)]
[(362, 16412, -23), (125, -118, 154)]
[(380, 16364, -47), (92, -237, 16)]
[(380, 16364, -47), (92, -237, 16)]
[(392, 16317, 62), (-31, -230, -89)]
[(392, 16317, 62), (-31, -230, -89)]
[(392, 16317, 62), (-31, -230, -89)]
[(392, 16317, 62), (-31, -230, -89)]
[(392, 16317, 62), (-31, -230, -89)]
[(392, 16317, 62), (-31, -230, -89)]
[(392, 16317, 62), (-31, -230, -89)]
[(392, 16317, 62), (-31, -230, -89)]
[(392, 16317, 62), (-31, -230, -89)]
[(488, 16428, 12), (-41, -44, 228)]
[(488, 16428, 12), (-41, -44, 228)]
[(488, 16428, 12), (-41, -44, 228)]
[(444, 16431, -121), (105, 38, 174)]
[(444, 16431, -121), (105, 38, 174)]
[(444, 16431, -121), (105, 38, 174)]
[(444, 16431, -121), (105, 38, 174)]
[(444, 16431, -121), (105, 38, 174)]
[(444, 16431, -121), (105, 38, 174)]
[(444, 16431, -121), (105, 38, 174)]
[(444, 16431, -121), (105, 38, 174)]
[(452, 16249, -129), (18, 27, -27)]
[(391, 16256, -17), (-48, 58, -61)]
[(391, 16256, -17), (-48, 58, -61)]
[(391, 16256, -17), (-48, 58, -61)]
[(391, 16256, -17), (-48, 58, -61)]
[(462, 16347, -34), (-142, 40, 37)]
[(462, 16347, -34), (-142, 40, 37)]
[(399, 16369, -12), (-63, 132, 62)]
[(399, 16369, -12), (-63, 132, 62)]
[(399, 16369, -12), (-63, 132, 62)]
[(444, 16426, -25), (45, 190, 59)]
[(444, 16426, -25), (45, 190, 59)]
[(444, 16426, -25), (45, 190, 59)]
[(444, 16426, -25), (45, 190, 59)]
[(448, 16426, -77), (75, 241, 45)]
[(448, 16426, -77), (75, 241, 45)]
[(451, 16413, -127), (111, 199, 42)]
[(451, 16413, -127), (111, 199, 42)]
[(451, 16413, -127), (111, 199, 42)]
[(435, 16376, -169), (43, 171, 50)]
[(435, 16376, -169), (43, 171, 50)]
[(435, 16376, -169), (43, 171, 50)]
[(435, 16376, -169), (43, 171, 50)]
[(427, 16379, -190), (-57, 159, -5)]
[(427, 16379, -190), (-57, 159, -5)]
[(427, 16379, -190), (-57, 159, -5)]
[(427, 16379, -190), (-57, 159, -5)]
[(425, 16396, -158), (-126, 88, -1)]
[(376, 16389, -156), (-131, 71, -64)]
[(376, 16389, -156), (-131, 71, -64)]
[(376, 16389, -156), (-131, 71, -64)]
[(376, 16389, -156), (-131, 71, -64)]
[(382, 16392, -168), (-99, 52, -102)]
[(382, 16392, -168), (-99, 52, -102)]
[(346, 16396, -171), (-102, 102, -141)]
[(346, 16396, -171), (-102, 102, -141)]
[(346, 16396, -171), (-102, 102, -141)]
[(318, 16423, -201), (-58, 160, -131)]
[(318, 16423, -201), (-58, 160, -131)]
[(318, 16423, -201), (-58, 160, -131)]
[(322, 16431, -222), (-35, 187, -109)]
[(322, 16431, -222), (-35, 187, -109)]
[(330, 16423, -216), (-47, 175, -91)]
[(330, 16423, -216), (-47, 175, -91)]
[(330, 16423, -216), (-47, 175, -91)]
[(307, 16388, -224), (-83, 106, -29)]
[(307, 16388, -224), (-83, 106, -29)]
[(307, 16388, -224), (-83, 106, -29)]
[(307, 16388, -224), (-83, 106, -29)]
[(307, 16388, -224), (-83, 106, -29)]
[(307, 16388, -224), (-83, 106, -29)]
[(307, 16388, -224), (-83, 106, -29)]
[(307, 16388, -224), (-83, 106, -29)]
[(395, 16391, -195), (-76, 18, 121)]
[(404, 16384, -235), (-78, 36, 187)]
[(404, 16384, -235), (-78, 36, 187)]
[(404, 16384, -235), (-78, 36, 187)]
[(404, 16384, -235), (-78, 36, 187)]
[(366, 16333, -244), (-66, 39, 139)]
[(366, 16333, -244), (-66, 39, 139)]
[(366, 16333, -244), (-66, 39, 139)]
[(366, 16333, -244), (-66, 39, 139)]
