[(1484, 16352, -483), (-165, -48, 44)]
[(1448, 16370, -529), (-153, -38, 7)]
[(1452, 16380, -515), (-196, -32, 22)]
[(1452, 16380, -515), (-196, -32, 22)]
[(1452, 16380, -515), (-196, -32, 22)]
[(1452, 16380, -515), (-196, -32, 22)]
[(1441, 16369, -505), (-216, -29, 46)]
[(1441, 16369, -505), (-216, -29, 46)]
[(1441, 16369, -505), (-216, -29, 46)]
[(1434, 16367, -501), (-216, -37, 53)]
[(1434, 16367, -501), (-216, -37, 53)]
[(1434, 16367, -501), (-216, -37, 53)]
[(1434, 16367, -501), (-216, -37, 53)]
[(1434, 16367, -501), (-216, -37, 53)]
[(1434, 16367, -501), (-216, -37, 53)]
[(1453, 16348, -442), (-209, 1, 55)]
[(1453, 16348, -442), (-209, 1, 55)]
[(1453, 16348, -442), (-209, 1, 55)]
[(1463, 16335, -432), (-202, 7, 40)]
[(1463, 16335, -432), (-202, 7, 40)]
[(1463, 16335, -432), (-202, 7, 40)]
[(1463, 16335, -432), (-202, 7, 40)]
[(1451, 16338, -413), (-188, -1, 30)]
[(1451, 16338, -413), (-188, -1, 30)]
[(1451, 16338, -413), (-188, -1, 30)]
[(1455, 16308, -406), (-166, -60, 25)]
[(1455, 16308, -406), (-166, -60, 25)]
[(1448, 16300, -367), (-230, -53, -1)]
[(1448, 16300, -367), (-230, -53, -1)]
[(1569, 16344, -338), (-23, -464, 105)]
[(1569, 16344, -338), (-23, -464, 105)]
[(1569, 16344, -338), (-23, -464, 105)]
[(1569, 16344, -338), (-23, -464, 105)]
[(1553, 16345, -287), (-3, -587, 95)]
[(1553, 16345, -287), (-3, -587, 95)]
[(1553, 16345, -287), (-3, -587, 95)]
[(1554, 16332, -282), (-42, -439, 57)]
[(1554, 16332, -282), (-42, -439, 57)]
[(1554, 16332, -282), (-42, -439, 57)]
[(1554, 16332, -282), (-42, -439, 57)]
[(1552, 16362, -347), (-73, -269, 14)]
[(1552, 16362, -347), (-73, -269, 14)]
[(1551, 16364, -332), (88, -482, 143)]
[(1551, 16364, -332), (88, -482, 143)]
[(1551, 16364, -332), (88, -482, 143)]
[(1536, 16367, -392), (41, -322, 151)]
[(1536, 16367, -392), (41, -322, 151)]
[(1536, 16367, -392), (41, -322, 151)]
[(1536, 16367, -392), (41, -322, 151)]
[(1560, 16354, -435), (29, -193, 150)]
[(1560, 16354, -435), (29, -193, 150)]
[(1560, 16354, -435), (29, -193, 150)]
[(1560, 16354, -435), (29, -193, 150)]
[(1560, 16354, -435), (29, -193, 150)]
[(1546, 16367, -478), (12, -76, 109)]
[(1546, 16367, -478), (12, -76, 109)]
