[(1173, 16371, -615), (-44, 65, 25)]
[(1216, 16360, -647), (-121, 63, 39)]
[(1216, 16360, -647), (-121, 63, 39)]
[(1216, 16360, -647), (-121, 63, 39)]
[(1216, 16360, -647), (-121, 63, 39)]
[(1216, 16360, -647), (-121, 63, 39)]
[(1216, 16360, -647), (-121, 63, 39)]
[(1216, 16360, -647), (-121, 63, 39)]
[(1216, 16360, -647), (-121, 63, 39)]
[(1231, 16355, -683), (-101, 99, 6)]
[(1231, 16355, -683), (-101, 99, 6)]
[(1231, 16355, -683), (-101, 99, 6)]
[(1236, 16335, -675), (-116, 111, -13)]
[(1236, 16335, -675), (-116, 111, -13)]
[(1240, 16332, -683), (-132, 107, -33)]
[(1240, 16332, -683), (-132, 107, -33)]
[(1240, 16332, -683), (-132, 107, -33)]
[(1240, 16332, -683), (-132, 107, -33)]
[(1255, 16340, -663), (-164, 88, -33)]
[(1255, 16340, -663), (-164, 88, -33)]
[(1255, 16340, -663), (-164, 88, -33)]
[(1228, 16319, -644), (-190, 82, -29)]
[(1228, 16319, -644), (-190, 82, -29)]
[(1228, 16319, -644), (-190, 82, -29)]
[(1228, 16319, -644), (-190, 82, -29)]
[(1210, 16329, -640), (-193, 63, -29)]
[(1210, 16329, -640), (-193, 63, -29)]
[(1159, 16340, -487), (-474, 263, -195)]
[(1070, 16342, -437), (-440, -17, -84)]
[(1070, 16342, -437), (-440, -17, -84)]
[(1070, 16342, -437), (-440, -17, -84)]
[(1070, 16342, -437), (-440, -17, -84)]
[(1028, 16363, -483), (-350, -34, -53)]
[(1028, 16363, -483), (-350, -34, -53)]
[(1028, 16363, -483), (-350, -34, -53)]
[(1028, 16363, -483), (-350, -34, -53)]
[(1086, 16366, -476), (-286, -23, -13)]
[(1118, 16363, -501), (-252, 112, -17)]
[(1118, 16363, -501), (-252, 112, -17)]
[(1118, 16363, -501), (-252, 112, -17)]
[(1118, 16363, -501), (-252, 112, -17)]
[(1160, 16356, -500), (-116, -86, 72)]
[(1160, 16356, -500), (-116, -86, 72)]
[(1160, 16356, -500), (-116, -86, 72)]
[(1160, 16356, -500), (-116, -86, 72)]
[(1160, 16356, -500), (-116, -86, 72)]
