[(766, 16305, 183), (-48, 97, 32)]
[(773, 16316, 177), (-77, 60, 37)]
[(773, 16316, 177), (-77, 60, 37)]
[(752, 16309, 192), (-89, 67, 19)]
[(740, 16288, 212), (-119, 89, -8)]
[(740, 16288, 212), (-119, 89, -8)]
[(740, 16288, 212), (-119, 89, -8)]
[(740, 16288, 212), (-119, 89, -8)]
[(737, 16293, 236), (-153, 96, -10)]
[(737, 16293, 236), (-153, 96, -10)]
[(737, 16293, 236), (-153, 96, -10)]
[(737, 16293, 236), (-153, 96, -10)]
[(752, 16288, 239), (-185, 85, -14)]
[(752, 16292, 268), (-195, 75, -12)]
[(752, 16292, 268), (-195, 75, -12)]
[(752, 16292, 268), (-195, 75, -12)]
[(752, 16292, 268), (-195, 75, -12)]
[(745, 16303, 268), (-197, 76, 2)]
[(745, 16303, 268), (-197, 76, 2)]
[(745, 16303, 268), (-197, 76, 2)]
[(745, 16303, 268), (-197, 76, 2)]
[(732, 16302, 290), (-206, 85, 9)]
[(732, 16302, 290), (-206, 85, 9)]
[(733, 16303, 300), (-204, 90, 12)]
[(733, 16303, 300), (-204, 90, 12)]
[(733, 16303, 300), (-204, 90, 12)]
[(733, 16303, 300), (-204, 90, 12)]
[(733, 16303, 300), (-204, 90, 12)]
[(716, 16319, 307), (-191, 100, -3)]
[(716, 16319, 307), (-191, 100, -3)]
[(706, 16303, 318), (-183, 95, 0)]
[(682, 16312, 324), (-168, 93, 8)]
[(682, 16312, 324), (-168, 93, 8)]
[(682, 16312, 324), (-168, 93, 8)]
[(682, 16312, 324), (-168, 93, 8)]
[(684, 16304, 357), (-151, 102, 14)]
[(684, 16304, 357), (-151, 102, 14)]
[(684, 16304, 357), (-151, 102, 14)]
[(684, 16304, 357), (-151, 102, 14)]
[(684, 16304, 357), (-151, 102, 14)]
[(687, 16347, 324), (-179, 19, 26)]
[(687, 16347, 324), (-179, 19, 26)]
[(687, 16347, 324), (-179, 19, 26)]
[(687, 16347, 324), (-179, 19, 26)]
[(686, 16350, 313), (-86, 18, 31)]
[(686, 16350, 313), (-86, 18, 31)]
[(686, 16350, 313), (-86, 18, 31)]
[(686, 16350, 313), (-86, 18, 31)]
[(659, 16275, -119), (109, -284, 173)]
[(659, 16275, -119), (109, -284, 173)]
[(659, 16275, -119), (109, -284, 173)]
[(724, 16322, -30), (219, -501, 177)]
[(724, 16322, -30), (219, -501, 177)]
[(730, 16316, 36), (142, -428, 148)]
[(730, 16316, 36), (142, -428, 148)]
[(730, 16316, 36), (142, -428, 148)]
[(730, 16316, 36), (142, -428, 148)]
[(727, 16323, 85), (-57, -205, 67)]
[(727, 16323, 85), (-57, -205, 67)]
[(699, 16332, 208), (-68, 229, -50)]
[(699, 16332, 208), (-68, 229, -50)]
[(699, 16332, 208), (-68, 229, -50)]
[(722, 16318, 250), (43, 1, 84)]
[(722, 16318, 250), (43, 1, 84)]
[(722, 16318, 250), (43, 1, 84)]
[(722, 16318, 250), (43, 1, 84)]
[(726, 16328, 286), (23, 63, 53)]
[(726, 16328, 286), (23, 63, 53)]
[(726, 16328, 286), (23, 63, 53)]
[(732, 16359, 266), (5, 124, 31)]
[(732, 16359, 266), (5, 124, 31)]
[(737, 16335, 274), (-48, 149, 9)]
[(737, 16335, 274), (-48, 149, 9)]
[(737, 16335, 274), (-48, 149, 9)]
[(737, 16335, 274), (-48, 149, 9)]
[(737, 16335, 274), (-48, 149, 9)]
[(737, 16335, 274), (-48, 149, 9)]
[(737, 16335, 274), (-48, 149, 9)]
[(737, 16335, 274), (-48, 149, 9)]
[(737, 16335, 274), (-48, 149, 9)]
[(748, 16312, 274), (-80, 106, 1)]
[(748, 16312, 274), (-80, 106, 1)]
[(748, 16312, 274), (-80, 106, 1)]
[(748, 16312, 274), (-80, 106, 1)]
[(748, 16312, 274), (-80, 106, 1)]
[(724, 16340, 260), (-93, 120, -22)]
[(724, 16340, 260), (-93, 120, -22)]
[(724, 16340, 260), (-93, 120, -22)]
[(724, 16340, 260), (-93, 120, -22)]
[(706, 16324, 253), (-87, 128, -39)]
[(706, 16324, 253), (-87, 128, -39)]
[(706, 16324, 253), (-87, 128, -39)]
[(706, 16324, 253), (-87, 128, -39)]
[(706, 16324, 253), (-87, 128, -39)]
[(706, 16324, 253), (-87, 128, -39)]
[(668, 16314, 227), (-106, 100, -57)]
[(668, 16314, 227), (-106, 100, -57)]
[(676, 16332, 228), (-123, 101, -68)]
[(676, 16332, 228), (-123, 101, -68)]
[(676, 16332, 228), (-123, 101, -68)]
[(676, 16332, 228), (-123, 101, -68)]
[(676, 16332, 228), (-123, 101, -68)]
[(662, 16325, 240), (-144, 107, -54)]
[(656, 16304, 254), (-156, 103, -42)]
[(656, 16304, 254), (-156, 103, -42)]
[(656, 16304, 254), (-156, 103, -42)]
[(656, 16304, 254), (-156, 103, -42)]
[(656, 16304, 254), (-156, 103, -42)]
[(656, 16304, 254), (-156, 103, -42)]
[(656, 16304, 254), (-156, 103, -42)]
[(656, 16304, 254), (-156, 103, -42)]
[(661, 16314, 269), (-163, 78, -47)]
[(661, 16314, 269), (-163, 78, -47)]
[(661, 16314, 269), (-163, 78, -47)]
[(661, 16314, 269), (-163, 78, -47)]
