[(963, 16346, -7), (-114, -18, 91)]
[(936, 16336, -47), (-129, -5, 45)]
[(936, 16336, -47), (-129, -5, 45)]
[(936, 16336, -47), (-129, -5, 45)]
[(951, 16332, -64), (-156, 39, 21)]
[(951, 16332, -64), (-156, 39, 21)]
[(951, 16332, -64), (-156, 39, 21)]
[(932, 16320, -88), (-170, 64, 11)]
[(932, 16320, -88), (-170, 64, 11)]
[(932, 16320, -88), (-170, 64, 11)]
[(932, 16320, -88), (-170, 64, 11)]
[(875, 16330, -82), (-238, 51, 20)]
[(875, 16330, -82), (-238, 51, 20)]
[(886, 16344, -88), (-223, 88, 12)]
[(886, 16344, -88), (-223, 88, 12)]
[(886, 16344, -88), (-223, 88, 12)]
[(928, 16359, -67), (-205, 69, 33)]
[(928, 16359, -67), (-205, 69, 33)]
[(928, 16359, -67), (-205, 69, 33)]
[(928, 16359, -67), (-205, 69, 33)]
[(930, 16322, -56), (-207, -5, 61)]
[(930, 16322, -56), (-207, -5, 61)]
[(930, 16322, -56), (-207, -5, 61)]
[(930, 16322, -56), (-207, -5, 61)]
[(930, 16322, -56), (-207, -5, 61)]
[(938, 16323, -26), (-220, 1, 71)]
[(938, 16323, -26), (-220, 1, 71)]
[(1133, 16357, 140), (-136, 6, 125)]
[(1133, 16357, 140), (-136, 6, 125)]
[(1133, 16357, 140), (-136, 6, 125)]
[(1133, 16357, 140), (-136, 6, 125)]
[(1107, 16308, 196), (-176, -297, 120)]
[(1107, 16308, 196), (-176, -297, 120)]
[(1107, 16308, 196), (-176, -297, 120)]
[(1072, 16308, 212), (-207, -211, 45)]
[(1072, 16308, 212), (-207, -211, 45)]
[(1056, 16327, 203), (-168, -286, 91)]
[(1056, 16327, 203), (-168, -286, 91)]
[(1056, 16327, 203), (-168, -286, 91)]
[(1056, 16327, 203), (-168, -286, 91)]
[(1056, 16327, 203), (-168, -286, 91)]
[(1056, 16327, 203), (-168, -286, 91)]
[(1056, 16327, 203), (-168, -286, 91)]
[(980, 16326, -2), (242, -589, 309)]
[(980, 16326, -2), (242, -589, 309)]
[(1004, 16322, -22), (157, -441, 245)]
[(1004, 16322, -22), (157, -441, 245)]
[(1004, 16322, -22), (157, -441, 245)]
[(1004, 16322, -22), (157, -441, 245)]
[(1008, 16316, -31), (106, -288, 181)]
[(1008, 16316, -31), (106, -288, 181)]
[(1008, 16316, -31), (106, -288, 181)]
[(1030, 16326, -60), (35, -135, 134)]
[(1030, 16326, -60), (35, -135, 134)]
[(1013, 16339, -62), (27, -95, 86)]
[(1013, 16339, -62), (27, -95, 86)]
[(1013, 16339, -62), (27, -95, 86)]
[(1013, 16339, -62), (27, -95, 86)]
[(1005, 16354, -72), (24, -69, 24)]
[(989, 16356, -76), (-16, -25, -9)]
[(989, 16356, -76), (-16, -25, -9)]
[(989, 16356, -76), (-16, -25, -9)]
[(989, 16356, -76), (-16, -25, -9)]
[(987, 16346, -87), (-55, -13, -13)]
[(987, 16346, -87), (-55, -13, -13)]
[(987, 16346, -87), (-55, -13, -13)]
[(987, 16346, -87), (-55, -13, -13)]
[(972, 16348, -60), (-88, -4, -12)]
[(972, 16348, -60), (-88, -4, -12)]
[(972, 16348, -60), (-88, -4, -12)]
[(972, 16348, -60), (-88, -4, -12)]
[(972, 16348, -60), (-88, -4, -12)]
[(954, 16359, -73), (-97, 63, -7)]
[(954, 16359, -73), (-97, 63, -7)]
[(954, 16359, -73), (-97, 63, -7)]
[(954, 16359, -73), (-97, 63, -7)]
[(954, 16359, -73), (-97, 63, -7)]
[(968, 16352, -40), (-116, 105, 3)]
[(968, 16352, -40), (-116, 105, 3)]
[(968, 16352, -40), (-116, 105, 3)]
[(972, 16354, -34), (-138, 120, -3)]
[(972, 16354, -34), (-138, 120, -3)]
[(972, 16354, -34), (-138, 120, -3)]
[(972, 16354, -34), (-138, 120, -3)]
[(972, 16354, -34), (-138, 120, -3)]
[(932, 16344, -56), (-153, 131, -6)]
[(932, 16344, -56), (-153, 131, -6)]
[(932, 16344, -56), (-153, 131, -6)]
[(932, 16344, -56), (-153, 131, -6)]
[(945, 16348, -64), (-142, 132, -3)]
[(945, 16348, -64), (-142, 132, -3)]
[(945, 16348, -64), (-142, 132, -3)]
[(945, 16348, -64), (-142, 132, -3)]
[(945, 16348, -64), (-142, 132, -3)]
[(945, 16348, -64), (-142, 132, -3)]
[(945, 16348, -64), (-142, 132, -3)]
[(949, 16344, -92), (18, 60, -13)]
[(949, 16344, -92), (18, 60, -13)]
[(949, 16344, -92), (18, 60, -13)]
[(949, 16344, -92), (18, 60, -13)]
[(972, 16336, -84), (27, 47, 17)]
[(972, 16336, -84), (27, 47, 17)]
[(1016, 16336, -79), (-10, 40, 23)]
