[(1189, 16326, -42), (-123, 65, 0)]
[(1175, 16329, -36), (-135, 106, -10)]
[(1178, 16332, -24), (-166, 131, 7)]
[(1178, 16332, -24), (-166, 131, 7)]
[(1178, 16332, -24), (-166, 131, 7)]
[(1178, 16332, -24), (-166, 131, 7)]
[(1178, 16332, -24), (-166, 131, 7)]
[(1178, 16332, -24), (-166, 131, 7)]
[(1188, 16340, -16), (-189, 121, 19)]
[(1192, 16336, 16), (-180, 89, 39)]
[(1192, 16336, 16), (-180, 89, 39)]
[(1192, 16336, 16), (-180, 89, 39)]
[(1192, 16336, 16), (-180, 89, 39)]
[(1219, 16332, 37), (-172, 77, 46)]
[(1219, 16332, 37), (-172, 77, 46)]
[(1208, 16329, 7), (-178, 68, 53)]
[(1208, 16329, 7), (-178, 68, 53)]
[(1208, 16329, 7), (-178, 68, 53)]
[(1213, 16338, -16), (-171, 69, 44)]
[(1213, 16338, -16), (-171, 69, 44)]
[(1229, 16360, 24), (-174, 79, 29)]
[(1229, 16360, 24), (-174, 79, 29)]
[(1229, 16360, 24), (-174, 79, 29)]
[(1229, 16360, 24), (-174, 79, 29)]
[(1244, 16356, 16), (-165, 75, 29)]
[(1244, 16356, 16), (-165, 75, 29)]
[(1244, 16356, 16), (-165, 75, 29)]
[(1244, 16356, 16), (-165, 75, 29)]
[(1244, 16356, 16), (-165, 75, 29)]
[(1244, 16338, 20), (-165, 61, 24)]
[(1244, 16338, 20), (-165, 61, 24)]
[(1236, 16339, -4), (-155, 10, 27)]
[(1236, 16339, -4), (-155, 10, 27)]
[(1244, 16331, -15), (-104, -106, 48)]
[(1244, 16331, -15), (-104, -106, 48)]
[(1244, 16331, -15), (-104, -106, 48)]
[(1244, 16331, -15), (-104, -106, 48)]
[(1244, 16331, -15), (-104, -106, 48)]
[(1244, 16331, -15), (-104, -106, 48)]
[(1244, 16331, -15), (-104, -106, 48)]
[(1244, 16331, -15), (-104, -106, 48)]
[(1244, 16331, -15), (-104, -106, 48)]
[(1244, 16331, -15), (-104, -106, 48)]
[(1244, 16331, -15), (-104, -106, 48)]
[(1254, 16351, 76), (-334, -28, -87)]
[(1254, 16351, 76), (-334, -28, -87)]
[(1254, 16351, 76), (-334, -28, -87)]
[(1242, 16322, 97), (-231, 114, -4)]
[(1242, 16322, 97), (-231, 114, -4)]
[(1253, 16318, 64), (-234, 116, -1)]
[(1253, 16318, 64), (-234, 116, -1)]
[(1212, 16320, 47), (-234, 76, 0)]
[(1212, 16320, 47), (-234, 76, 0)]
[(1212, 16320, 47), (-234, 76, 0)]
[(1220, 16292, 30), (-262, -34, 1)]
[(1220, 16292, 30), (-262, -34, 1)]
[(1265, 16316, -25), (124, -296, 159)]
[(1265, 16316, -25), (124, -296, 159)]
[(1265, 16316, -25), (124, -296, 159)]
[(1265, 16316, -25), (124, -296, 159)]
[(1256, 16329, -64), (190, -258, 143)]
[(1256, 16329, -64), (190, -258, 143)]
[(1256, 16329, -64), (190, -258, 143)]
[(1267, 16333, -68), (139, -172, 70)]
[(1267, 16333, -68), (139, -172, 70)]
[(1267, 16333, -68), (139, -172, 70)]
[(1267, 16333, -68), (139, -172, 70)]
[(1275, 16321, -64), (62, -79, 29)]
[(1275, 16321, -64), (62, -79, 29)]
[(1246, 16286, -85), (-7, 18, 7)]
[(1246, 16286, -85), (-7, 18, 7)]
[(1246, 16286, -85), (-7, 18, 7)]
[(1212, 16291, -85), (-70, 77, -5)]
[(1212, 16291, -85), (-70, 77, -5)]
[(1214, 16317, -58), (-95, 96, -4)]
[(1214, 16317, -58), (-95, 96, -4)]
[(1214, 16317, -58), (-95, 96, -4)]
[(1214, 16317, -58), (-95, 96, -4)]
[(1200, 16304, -68), (-131, 120, -17)]
[(1200, 16304, -68), (-131, 120, -17)]
[(1200, 16304, -68), (-131, 120, -17)]
[(1194, 16304, -74), (-137, 134, -29)]
[(1194, 16304, -74), (-137, 134, -29)]
[(1212, 16317, -62), (-143, 134, -17)]
[(1212, 16317, -62), (-143, 134, -17)]
[(1212, 16317, -62), (-143, 134, -17)]
[(1212, 16317, -62), (-143, 134, -17)]
[(1215, 16328, -26), (-160, 144, -15)]
[(1215, 16328, -26), (-160, 144, -15)]
[(1215, 16328, -26), (-160, 144, -15)]
[(1217, 16332, -6), (-157, 143, -7)]
[(1211, 16324, 21), (-161, 144, -12)]
[(1211, 16324, 21), (-161, 144, -12)]
[(1211, 16324, 21), (-161, 144, -12)]
[(1211, 16324, 21), (-161, 144, -12)]
[(1192, 16324, 19), (-154, 145, -22)]
[(1192, 16324, 19), (-154, 145, -22)]
[(1192, 16324, 19), (-154, 145, -22)]
[(1173, 16320, 12), (-150, 166, -43)]
[(1173, 16320, 12), (-150, 166, -43)]
[(1160, 16305, -28), (-129, 202, -64)]
[(1160, 16305, -28), (-129, 202, -64)]
[(1160, 16305, -28), (-129, 202, -64)]
[(1160, 16305, -28), (-129, 202, -64)]
[(1141, 16308, -11), (6, 162, -73)]
[(1141, 16308, -11), (6, 162, -73)]
[(1141, 16308, -11), (6, 162, -73)]
[(1141, 16308, -11), (6, 162, -73)]
[(1141, 16308, -11), (6, 162, -73)]
[(1146, 16317, -4), (-21, 148, -12)]
[(1146, 16317, -4), (-21, 148, -12)]
[(1146, 16317, -4), (-21, 148, -12)]
[(1146, 16317, -4), (-21, 148, -12)]
[(1144, 16332, -21), (-36, 156, -9)]
[(1144, 16332, -21), (-36, 156, -9)]
