[(1064, 16309, 96), (-52, 8, 36)]
[(1068, 16354, 40), (-78, -32, 8)]
[(1068, 16354, 40), (-78, -32, 8)]
[(1068, 16354, 40), (-78, -32, 8)]
[(1068, 16354, 40), (-78, -32, 8)]
[(1086, 16336, 16), (-65, -19, 0)]
[(1086, 16336, 16), (-65, -19, 0)]
[(1068, 16322, 38), (-85, 0, 7)]
[(1068, 16322, 38), (-85, 0, 7)]
[(1068, 16322, 38), (-85, 0, 7)]
[(1082, 16320, 12), (-107, 22, 3)]
[(1082, 16320, 12), (-107, 22, 3)]
[(1082, 16320, 12), (-107, 22, 3)]
[(1082, 16320, 12), (-107, 22, 3)]
[(1094, 16334, 55), (-121, -8, 18)]
[(1094, 16334, 55), (-121, -8, 18)]
[(1096, 16320, 50), (-127, -44, 33)]
[(1096, 16320, 50), (-127, -44, 33)]
[(1096, 16320, 50), (-127, -44, 33)]
[(1115, 16312, 52), (-121, -91, 52)]
[(1115, 16312, 52), (-121, -91, 52)]
[(1115, 16312, 52), (-121, -91, 52)]
[(1115, 16312, 52), (-121, -91, 52)]
[(1121, 16329, 51), (-112, -208, 74)]
[(1121, 16329, 51), (-112, -208, 74)]
[(1148, 16328, 46), (-89, -318, 86)]
[(1148, 16328, 46), (-89, -318, 86)]
[(1148, 16328, 46), (-89, -318, 86)]
[(1178, 16332, 61), (-63, -504, 100)]
[(1178, 16332, 61), (-63, -504, 100)]
[(1178, 16332, 61), (-63, -504, 100)]
[(1178, 16332, 61), (-63, -504, 100)]
[(1204, 16334, 39), (-34, -647, 130)]
[(1204, 16334, 39), (-34, -647, 130)]
[(1168, 16347, 77), (-146, -585, 79)]
[(1168, 16347, 77), (-146, -585, 79)]
[(1168, 16347, 77), (-146, -585, 79)]
[(1272, 16405, 104), (-21, -412, -8)]
[(1272, 16405, 104), (-21, -412, -8)]
[(1272, 16405, 104), (-21, -412, -8)]
[(1272, 16405, 104), (-21, -412, -8)]
[(1292, 16374, 102), (-16, -174, -36)]
[(1292, 16374, 102), (-16, -174, -36)]
[(1257, 16382, 85), (-80, -116, -38)]
[(1257, 16382, 85), (-80, -116, -38)]
[(1257, 16382, 85), (-80, -116, -38)]
[(1203, 16350, 61), (-77, -19, -31)]
[(1203, 16350, 61), (-77, -19, -31)]
[(1203, 16350, 61), (-77, -19, -31)]
[(1203, 16350, 61), (-77, -19, -31)]
[(1236, 16313, 129), (-40, -68, 22)]
[(1236, 16313, 129), (-40, -68, 22)]
[(1260, 16321, 147), (-5, -186, 87)]
[(1260, 16321, 147), (-5, -186, 87)]
[(1260, 16321, 147), (-5, -186, 87)]
[(1260, 16318, -24), (129, -384, 201)]
[(1260, 16318, -24), (129, -384, 201)]
[(1260, 16318, -24), (129, -384, 201)]
[(1260, 16318, -24), (129, -384, 201)]
[(1202, 16313, -24), (101, -353, 192)]
[(1202, 16313, -24), (101, -353, 192)]
[(1212, 16319, -63), (-30, -152, 151)]
[(1212, 16319, -63), (-30, -152, 151)]
[(1212, 16319, -63), (-30, -152, 151)]
[(1277, 16310, -40), (-112, -15, 125)]
[(1277, 16310, -40), (-112, -15, 125)]
[(1277, 16310, -40), (-112, -15, 125)]
[(1277, 16310, -40), (-112, -15, 125)]
[(1273, 16319, -1), (-111, 68, 70)]
[(1273, 16319, -1), (-111, 68, 70)]
[(1236, 16321, -23), (-124, 132, 21)]
[(1236, 16321, -23), (-124, 132, 21)]
[(1236, 16321, -23), (-124, 132, 21)]
[(1231, 16312, 24), (-158, 222, -9)]
[(1231, 16312, 24), (-158, 222, -9)]
[(1231, 16312, 24), (-158, 222, -9)]
[(1231, 16312, 24), (-158, 222, -9)]
[(1236, 16308, 24), (-181, 252, -10)]
[(1236, 16308, 24), (-181, 252, -10)]
[(1216, 16320, 17), (-178, 255, -12)]
[(1216, 16320, 17), (-178, 255, -12)]
[(1216, 16320, 17), (-178, 255, -12)]
[(1204, 16321, 34), (-168, 238, -4)]
[(1204, 16321, 34), (-168, 238, -4)]
[(1204, 16321, 34), (-168, 238, -4)]
[(1204, 16321, 34), (-168, 238, -4)]
[(1208, 16319, 29), (-154, 248, -3)]
[(1208, 16319, 29), (-154, 248, -3)]
[(1208, 16319, 29), (-154, 248, -3)]
[(1208, 16319, 29), (-154, 248, -3)]
[(1188, 16314, 32), (-128, 271, -8)]
[(1188, 16314, 32), (-128, 271, -8)]
[(1197, 16324, 48), (-128, 260, -16)]
[(1197, 16324, 48), (-128, 260, -16)]
[(1197, 16324, 48), (-128, 260, -16)]
[(1197, 16324, 48), (-128, 260, -16)]
[(1185, 16309, 56), (-145, 213, -10)]
[(1185, 16309, 56), (-145, 213, -10)]
[(1185, 16309, 56), (-145, 213, -10)]
[(1200, 16336, 57), (-145, 217, -20)]
[(1200, 16336, 57), (-145, 217, -20)]
[(1200, 16336, 57), (-145, 217, -20)]
[(1200, 16336, 57), (-145, 217, -20)]
[(1165, 16324, 44), (-142, 210, -16)]
[(1165, 16324, 44), (-142, 210, -16)]
[(1164, 16356, 32), (-159, 183, -20)]
[(1164, 16356, 32), (-159, 183, -20)]
[(1164, 16356, 32), (-159, 183, -20)]
[(1144, 16353, 44), (-117, 178, 4)]
[(1144, 16353, 44), (-117, 178, 4)]
[(1144, 16353, 44), (-117, 178, 4)]
[(1144, 16353, 44), (-117, 178, 4)]
