[(1453, 16310, -139), (22, 148, -53)]
[(1448, 16320, -135), (17, 107, -35)]
[(1448, 16320, -135), (17, 107, -35)]
[(1448, 16320, -135), (17, 107, -35)]
[(1448, 16318, -143), (-15, 102, -2)]
[(1449, 16327, -152), (-20, 78, 3)]
[(1449, 16327, -152), (-20, 78, 3)]
[(1449, 16327, -152), (-20, 78, 3)]
[(1449, 16327, -152), (-20, 78, 3)]
[(1440, 16323, -185), (-28, 92, 3)]
[(1440, 16323, -185), (-28, 92, 3)]
[(1440, 16323, -185), (-28, 92, 3)]
[(1440, 16323, -185), (-28, 92, 3)]
[(1440, 16323, -185), (-28, 92, 3)]
[(1440, 16323, -185), (-28, 92, 3)]
[(1440, 16353, -197), (-62, 47, 5)]
[(1440, 16353, -197), (-62, 47, 5)]
[(1440, 16353, -197), (-62, 47, 5)]
[(1449, 16343, -197), (-37, 7, 5)]
[(1449, 16343, -197), (-37, 7, 5)]
[(1449, 16343, -197), (-37, 7, 5)]
[(1449, 16343, -197), (-37, 7, 5)]
[(1463, 16340, -196), (-57, -43, 6)]
[(1463, 16340, -196), (-57, -43, 6)]
[(1482, 16353, -196), (-81, -160, 30)]
[(1482, 16353, -196), (-81, -160, 30)]
[(1482, 16353, -196), (-81, -160, 30)]
[(1529, 16342, -171), (-73, -492, 66)]
[(1529, 16342, -171), (-73, -492, 66)]
[(1529, 16342, -171), (-73, -492, 66)]
[(1529, 16342, -171), (-73, -492, 66)]
[(1529, 16342, -171), (-73, -492, 66)]
[(1529, 16342, -171), (-73, -492, 66)]
[(1569, 16349, -216), (28, -1087, 151)]
[(1570, 16332, -226), (9, -1235, 162)]
[(1570, 16332, -226), (9, -1235, 162)]
[(1591, 16359, -197), (74, -1254, 195)]
[(1591, 16359, -197), (74, -1254, 195)]
[(1591, 16359, -197), (74, -1254, 195)]
[(1591, 16359, -197), (74, -1254, 195)]
[(1583, 16351, -201), (-258, -745, 35)]
[(1583, 16351, -201), (-258, -745, 35)]
[(1583, 16351, -201), (-258, -745, 35)]
[(1583, 16351, -201), (-258, -745, 35)]
[(1583, 16351, -201), (-258, -745, 35)]
[(1680, 16321, -97), (-205, -191, -24)]
[(1680, 16321, -97), (-205, -191, -24)]
[(1680, 16321, -97), (-205, -191, -24)]
[(1680, 16321, -97), (-205, -191, -24)]
[(1680, 16321, -97), (-205, -191, -24)]
[(1680, 16321, -97), (-205, -191, -24)]
[(1632, 16312, -125), (-175, -112, -30)]
[(1632, 16312, -125), (-175, -112, -30)]
[(1632, 16312, -125), (-175, -112, -30)]
[(1612, 16296, -120), (-141, -147, 1)]
[(1612, 16296, -120), (-141, -147, 1)]
[(1612, 16296, -120), (-141, -147, 1)]
[(1612, 16296, -120), (-141, -147, 1)]
[(1662, 16312, -164), (260, -326, 148)]
[(1644, 16338, -209), (296, -236, 78)]
[(1644, 16338, -209), (296, -236, 78)]
[(1644, 16338, -209), (296, -236, 78)]
[(1644, 16338, -209), (296, -236, 78)]
[(1644, 16338, -209), (296, -236, 78)]
[(1644, 16338, -209), (296, -236, 78)]
[(1573, 16276, -288), (133, 133, 59)]
[(1573, 16276, -288), (133, 133, 59)]
[(1573, 16276, -288), (133, 133, 59)]
[(1573, 16276, -288), (133, 133, 59)]
[(1573, 16276, -288), (133, 133, 59)]
[(1587, 16280, -306), (31, 190, 72)]
[(1587, 16280, -306), (31, 190, 72)]
[(1600, 16320, -346), (49, 152, 85)]
[(1600, 16320, -346), (49, 152, 85)]
[(1600, 16320, -346), (49, 152, 85)]
[(1600, 16320, -346), (49, 152, 85)]
[(1616, 16330, -392), (63, 166, 125)]
[(1664, 16336, -414), (43, 134, 151)]
[(1664, 16336, -414), (43, 134, 151)]
[(1664, 16336, -414), (43, 134, 151)]
[(1664, 16336, -414), (43, 134, 151)]
[(1674, 16334, -400), (11, 169, 118)]
[(1674, 16334, -400), (11, 169, 118)]
[(1688, 16339, -447), (-9, 175, 71)]
[(1688, 16339, -447), (-9, 175, 71)]
[(1688, 16339, -447), (-9, 175, 71)]
[(1666, 16369, -407), (-25, 177, 54)]
[(1666, 16369, -407), (-25, 177, 54)]
[(1666, 16369, -407), (-25, 177, 54)]
[(1666, 16369, -407), (-25, 177, 54)]
[(1648, 16378, -419), (-24, 151, 54)]
[(1648, 16378, -419), (-24, 151, 54)]
[(1648, 16378, -419), (-24, 151, 54)]
[(1648, 16378, -419), (-24, 151, 54)]
[(1636, 16380, -444), (-40, 176, 24)]
[(1636, 16380, -444), (-40, 176, 24)]
[(1625, 16349, -428), (-60, 262, -18)]
[(1625, 16349, -428), (-60, 262, -18)]
[(1625, 16349, -428), (-60, 262, -18)]
[(1608, 16336, -395), (-118, 361, -26)]
[(1608, 16336, -395), (-118, 361, -26)]
[(1584, 16328, -367), (-169, 490, -51)]
[(1584, 16328, -367), (-169, 490, -51)]
[(1584, 16328, -367), (-169, 490, -51)]
[(1584, 16328, -367), (-169, 490, -51)]
[(1584, 16328, -367), (-169, 490, -51)]
[(1532, 16332, -384), (-194, 531, -38)]
