accX,accY,accZ,gyrX,gyrY,gyrZ
2449,16207,142,101,-115,85
2428,16284,127,-72,-250,9
2428,16284,127,-72,-250,9
2470,16279,132,-76,-201,60
2470,16279,132,-76,-201,60
2470,16279,132,-76,-201,60
2470,16279,132,-76,-201,60
2470,16279,132,-76,-201,60
2496,16245,139,-48,-176,118
2496,16245,139,-48,-176,118
2496,16245,139,-48,-176,118
2496,16245,139,-48,-176,118
2496,16245,139,-48,-176,118
2496,16245,139,-48,-176,118
2496,16245,139,-48,-176,118
2554,16268,158,-56,-106,121
2554,16268,158,-56,-106,121
2554,16268,158,-56,-106,121
2554,16268,158,-56,-106,121
2598,16262,122,-31,-61,147
2598,16262,122,-31,-61,147
2598,16262,122,-31,-61,147
2644,16263,164,-48,20,135
2644,16263,164,-48,20,135
2644,16263,164,-48,20,135
2644,16263,164,-48,20,135
2644,16263,164,-48,20,135
2644,16263,164,-48,20,135
2644,16263,164,-48,20,135
2644,16263,164,-48,20,135
2657,16203,125,-63,356,114
2657,16203,125,-63,356,114
2657,16203,125,-63,356,114
2657,16203,125,-63,356,114
2657,16203,125,-63,356,114
2648,16173,154,-142,402,67
2648,16173,154,-142,402,67
2648,16173,154,-142,402,67
2648,16173,154,-142,402,67
2594,16146,126,-154,384,54
2594,16146,126,-154,384,54
2594,16146,126,-154,384,54
2625,16160,116,-144,381,35
2625,16160,116,-144,381,35
2625,16160,116,-144,381,35
2625,16160,116,-144,381,35
2625,16160,116,-144,381,35
2625,16160,116,-144,381,35
2607,16181,128,-135,601,-76
2607,16181,128,-135,601,-76
2607,16181,128,-135,601,-76
2607,16181,128,-135,601,-76
2607,16181,128,-135,601,-76
2607,16181,128,-135,601,-76
2607,16181,128,-135,601,-76
2526,16194,164,-218,572,-170
2526,16194,164,-218,572,-170
2526,16194,164,-218,572,-170
2506,16188,197,-853,829,-414
2506,16188,197,-853,829,-414
2333,16248,599,-692,13,-308
2333,16248,599,-692,13,-308
2333,16248,599,-692,13,-308
2333,16248,599,-692,13,-308
2333,16248,599,-692,13,-308
2333,16248,599,-692,13,-308
2362,16222,589,-610,-27,-291
2362,16222,589,-610,-27,-291
2362,16222,589,-610,-27,-291
2403,16267,648,-539,142,-250
2403,16267,648,-539,142,-250
2465,16260,509,44,71,-3
2465,16260,509,44,71,-3
2465,16260,509,44,71,-3
2465,16260,509,44,71,-3
2411,16213,519,248,140,-11
2411,16213,519,248,140,-11
2411,16213,519,248,140,-11
2445,16219,408,185,178,-44
2445,16219,408,185,178,-44
2445,16219,408,185,178,-44
2445,16219,408,185,178,-44
2445,16219,408,185,178,-44
2445,16219,408,185,178,-44
2478,16206,288,71,67,15
2478,16206,288,71,67,15
2478,16206,288,71,67,15
2452,16197,237,62,106,-26
2452,16197,237,62,106,-26
2476,16198,204,97,135,-25
2476,16198,204,97,135,-25
2476,16198,204,97,135,-25
2476,16198,204,97,135,-25
2447,16163,140,46,144,-12
2447,16163,140,46,144,-12
2447,16163,140,46,144,-12
2482,16164,117,-8,99,-18
2482,16164,117,-8,99,-18
2484,16192,92,-23,67,-38
2484,16192,92,-23,67,-38
2484,16192,92,-23,67,-38
2484,16192,92,-23,67,-38
2480,16210,83,-32,61,-62
2439,16209,76,-62,97,-65
2439,16209,76,-62,97,-65
2439,16209,76,-62,97,-65
2439,16209,76,-62,97,-65
2418,16179,27,-124,70,-62
2418,16179,27,-124,70,-62
2418,16179,27,-124,70,-62
2418,16179,27,-124,70,-62
2437,16196,4,-142,70,-30
2437,16196,4,-142,70,-30
2437,16196,4,-142,70,-30
2386,16228,-9,-151,101,-25
2386,16228,-9,-151,101,-25
2386,16228,-9,-151,101,-25
2386,16228,-9,-151,101,-25
2379,16240,-24,-139,141,-3
2379,16240,-24,-139,141,-3
2376,16253,-31,-144,129,14
2395,16260,-26,-175,88,5
2395,16260,-26,-175,88,5
2395,16260,-26,-175,88,5
2395,16260,-26,-175,88,5
2374,16257,-44,-208,16,-4
2374,16257,-44,-208,16,-4
2374,16257,-44,-208,16,-4
2374,16257,-44,-208,16,-4
2361,16239,53,-158,-85,-25
2361,16239,53,-158,-85,-25
2361,16239,53,-158,-85,-25
2361,16239,53,-158,-85,-25
2361,16239,53,-158,-85,-25
2361,16239,53,-158,-85,-25
2361,16239,53,-158,-85,-25
2364,16225,-1,-130,-50,12
2364,16225,-1,-130,-50,12
2376,16244,16,-145,-55,15
2393,16245,-24,-170,-11,13
2393,16245,-24,-170,-11,13
2393,16245,-24,-170,-11,13
2393,16245,-24,-170,-11,13
2419,16241,41,-175,-14,16
2419,16241,41,-175,-14,16
2419,16241,41,-175,-14,16
2419,16241,41,-175,-14,16
2419,16241,41,-175,-14,16
