accX,accY,accZ,gyrX,gyrY,gyrZ
1105,16286,584,-76,80,26
1100,16275,629,-92,60,17
1100,16275,629,-92,60,17
1092,16281,634,-99,81,10
1092,16281,634,-99,81,10
1094,16309,592,-102,115,-1
1094,16309,592,-102,115,-1
1094,16309,592,-102,115,-1
1094,16309,592,-102,115,-1
1072,16325,603,-118,86,-30
1072,16325,603,-118,86,-30
1072,16325,603,-118,86,-30
1055,16317,621,-106,80,-49
1055,16317,621,-106,80,-49
1051,16314,631,-131,115,-62
1051,16314,631,-131,115,-62
1051,16314,631,-131,115,-62
1051,16314,631,-131,115,-62
1056,16309,642,-162,133,-55
1056,16309,642,-162,133,-55
1056,16309,642,-162,133,-55
1059,16275,644,-183,117,-43
1059,16275,644,-183,117,-43
1059,16275,644,-183,117,-43
1059,16275,644,-183,117,-43
1061,16279,666,-190,113,-29
1061,16279,666,-190,113,-29
1035,16278,708,-235,170,-40
1035,16278,708,-235,170,-40
1035,16278,708,-235,170,-40
1032,16299,796,-498,633,-197
1032,16299,796,-498,633,-197
830,16254,838,-355,53,-76
830,16254,838,-355,53,-76
830,16254,838,-355,53,-76
830,16254,838,-355,53,-76
860,16260,837,-330,4,-67
860,16260,837,-330,4,-67
860,16260,837,-330,4,-67
908,16249,803,-401,128,-95
908,16249,803,-401,128,-95
928,16235,788,-516,231,-128
928,16235,788,-516,231,-128
928,16235,788,-516,231,-128
928,16235,788,-516,231,-128
982,16237,809,-235,32,39
982,16237,809,-235,32,39
982,16237,809,-235,32,39
982,16237,809,-235,32,39
982,16237,809,-235,32,39
1037,16249,774,-185,47,66
1037,16249,774,-185,47,66
1037,16249,774,-185,47,66
1037,16249,774,-185,47,66
1019,16251,720,-196,89,50
1019,16251,720,-196,89,50
1019,16251,720,-196,89,50
1024,16248,704,-150,119,27
1024,16248,704,-150,119,27
1036,16232,711,53,-16,43
1036,16232,711,53,-16,43
1036,16232,711,53,-16,43
1036,16232,711,53,-16,43
1064,16250,721,70,-45,65
1064,16250,721,70,-45,65
1064,16250,721,70,-45,65
1080,16257,710,33,11,88
1080,16257,710,33,11,88
1078,16240,691,39,46,66
1078,16240,691,39,46,66
1078,16240,691,39,46,66
1078,16240,691,39,46,66
1105,16232,662,14,61,37
1105,16232,662,14,61,37
1140,16244,651,18,15,54
1140,16244,651,18,15,54
1140,16244,651,18,15,54
1174,16245,632,14,-5,46
1174,16245,632,14,-5,46
1174,16245,632,14,-5,46
1174,16245,632,14,-5,46
1157,16224,636,-15,28,28
1157,16224,636,-15,28,28
1152,16233,624,-44,42,14
1152,16233,624,-44,42,14
1152,16233,624,-44,42,14
1139,16249,609,-76,25,13
1139,16249,609,-76,25,13
1139,16249,609,-76,25,13
1135,16265,627,-100,26,17
1135,16265,627,-100,26,17
1112,16276,630,-101,44,16
1112,16276,630,-101,44,16
1112,16276,630,-101,44,16
1098,16279,642,-86,76,2
1098,16279,642,-86,76,2
1098,16279,642,-86,76,2
1098,16279,642,-86,76,2
1109,16292,633,-71,86,-8
1109,16292,633,-71,86,-8
1111,16272,604,-60,102,-22
1111,16272,604,-60,102,-22
1111,16272,604,-60,102,-22
1088,16268,603,-67,129,-28
1088,16268,603,-67,129,-28
1088,16268,603,-67,129,-28
1088,16268,603,-67,129,-28
1104,16293,595,-88,145,-24
1104,16293,595,-88,145,-24
1107,16290,600,-96,118,-14
1107,16290,600,-96,118,-14
1107,16290,600,-96,118,-14
1090,16288,566,-105,121,-11
1090,16288,566,-105,121,-11
