accX,accY,accZ,gyrX,gyrY,gyrZ
1333,16328,-368,-128,-76,23
1335,16320,-330,-167,-2,45
1335,16320,-330,-167,-2,45
1336,16345,-327,-172,39,48
1336,16345,-327,-172,39,48
1336,16345,-327,-172,39,48
1336,16345,-327,-172,39,48
1333,16356,-341,-182,72,48
1333,16356,-341,-182,72,48
1333,16356,-341,-182,72,48
1333,16356,-341,-182,72,48
1333,16356,-341,-182,72,48
1320,16353,-336,-192,86,34
1320,16353,-336,-192,86,34
1320,16353,-336,-192,86,34
1320,16353,-336,-192,86,34
1316,16301,-337,-187,82,22
1316,16301,-337,-187,82,22
1327,16302,-320,-168,81,35
1327,16302,-320,-168,81,35
1327,16302,-320,-168,81,35
1350,16317,-292,-175,59,43
1350,16317,-292,-175,59,43
1350,16317,-292,-175,59,43
1350,16317,-292,-175,59,43
1372,16309,-276,-152,35,39
1374,16316,-257,-155,-36,39
1374,16316,-257,-155,-36,39
1374,16316,-257,-155,-36,39
1374,16316,-257,-155,-36,39
1374,16316,-257,-155,-36,39
1374,16316,-257,-155,-36,39
1362,16323,-247,-135,-65,24
1362,16323,-247,-135,-65,24
1362,16323,-247,-135,-65,24
1349,16322,-265,-126,-117,29
1340,16332,-298,-50,-239,38
1340,16332,-298,-50,-239,38
1340,16332,-298,-50,-239,38
1330,16341,-330,153,-492,20
1330,16341,-330,153,-492,20
1330,16341,-330,153,-492,20
1330,16341,-330,153,-492,20
1332,16350,-320,199,-717,46
1332,16350,-320,199,-717,46
1311,16348,-290,-272,-168,-189
1311,16348,-290,-272,-168,-189
1311,16348,-290,-272,-168,-189
1267,16349,-288,-300,-61,-128
1267,16349,-288,-300,-61,-128
1267,16349,-288,-300,-61,-128
1267,16349,-288,-300,-61,-128
1275,16362,-322,-244,50,-123
1296,16386,-333,-169,84,-90
1296,16386,-333,-169,84,-90
1296,16386,-333,-169,84,-90
1296,16386,-333,-169,84,-90
1271,16384,-360,-170,90,-88
1271,16384,-360,-170,90,-88
1271,16384,-360,-170,90,-88
1271,16384,-360,-170,90,-88
1282,16381,-318,-157,39,-62
1282,16381,-318,-157,39,-62
1307,16379,-388,212,-147,95
1307,16379,-388,212,-147,95
1307,16379,-388,212,-147,95
1306,16358,-396,229,-80,86
1306,16358,-396,229,-80,86
1306,16358,-396,229,-80,86
1306,16358,-396,229,-80,86
1306,16358,-396,229,-80,86
1306,16358,-396,229,-80,86
1306,16358,-396,229,-80,86
1306,16358,-396,229,-80,86
1306,16358,-396,229,-80,86
1333,16328,-408,140,11,56
1333,16328,-408,140,11,56
1333,16328,-408,140,11,56
1333,16328,-408,140,11,56
1393,16363,-424,4,266,-3
1393,16363,-424,4,266,-3
1393,16363,-424,4,266,-3
1392,16360,-404,-51,282,-11
1392,16360,-404,-51,282,-11
1387,16336,-379,-75,302,-7
1387,16336,-379,-75,302,-7
1398,16345,-354,-82,327,5
1398,16345,-354,-82,327,5
1398,16345,-354,-82,327,5
1411,16348,-362,-89,347,11
1411,16348,-362,-89,347,11
1411,16348,-362,-89,347,11
1411,16348,-362,-89,347,11
1411,16348,-362,-89,347,11
1426,16347,-364,-81,320,-2
1426,16347,-364,-81,320,-2
1426,16347,-364,-81,320,-2
1418,16340,-363,-77,321,-14
1418,16340,-363,-77,321,-14
1385,16320,-340,-75,311,-12
1385,16320,-340,-75,311,-12
1385,16320,-340,-75,311,-12
1378,16341,-343,-72,311,-13
1378,16341,-343,-72,311,-13
1383,16335,-347,-46,296,7
1383,16335,-347,-46,296,7
1383,16335,-347,-46,296,7
1383,16335,-347,-46,296,7
1383,16335,-347,-46,296,7
1381,16317,-328,-40,227,37
1381,16317,-328,-40,227,37
1381,16317,-328,-40,227,37
1381,16317,-328,-40,227,37
1394,16312,-370,-38,200,50
1394,16312,-370,-38,200,50
1402,16325,-373,-64,144,79
1402,16325,-373,-64,144,79
1402,16325,-373,-64,144,79
