[(-15562, -2914, -4052), (-235, 139, -25)]
[(-15553, -2952, -4084), (-253, 136, 22)]
[(-15553, -2952, -4084), (-253, 136, 22)]
[(-15541, -2957, -4091), (-200, 155, 29)]
[(-15541, -2957, -4091), (-200, 155, 29)]
[(-15541, -2957, -4091), (-200, 155, 29)]
[(-15541, -2957, -4091), (-200, 155, 29)]
[(-15541, -2957, -4091), (-200, 155, 29)]
[(-15541, -2957, -4091), (-200, 155, 29)]
[(-15533, -2955, -4073), (-168, 168, 33)]
[(-15533, -2955, -4073), (-168, 168, 33)]
[(-15533, -2955, -4073), (-168, 168, 33)]
[(-15533, -2955, -4073), (-168, 168, 33)]
[(-15533, -2955, -4073), (-168, 168, 33)]
[(-15533, -2955, -4073), (-168, 168, 33)]
[(-15533, -2955, -4073), (-168, 168, 33)]
[(-15519, -2930, -4096), (-151, 159, 5)]
[(-15519, -2930, -4096), (-151, 159, 5)]
[(-15519, -2930, -4096), (-151, 159, 5)]
[(-15519, -2930, -4096), (-151, 159, 5)]
[(-15519, -2930, -4096), (-151, 159, 5)]
[(-15519, -2930, -4096), (-151, 159, 5)]
[(-15507, -2969, -4099), (-123, 155, -14)]
[(-15507, -2969, -4099), (-123, 155, -14)]
[(-15507, -2969, -4099), (-123, 155, -14)]
[(-15507, -2969, -4099), (-123, 155, -14)]
[(-15507, -2969, -4099), (-123, 155, -14)]
[(-15514, -2996, -4094), (-101, 161, -17)]
[(-15514, -2996, -4094), (-101, 161, -17)]
[(-15514, -2996, -4094), (-101, 161, -17)]
[(-15514, -2996, -4094), (-101, 161, -17)]
[(-15514, -2996, -4094), (-101, 161, -17)]
[(-15514, -2996, -4094), (-101, 161, -17)]
[(-15514, -2996, -4094), (-101, 161, -17)]
[(-15501, -2994, -4101), (-83, 124, -41)]
[(-15501, -2994, -4101), (-83, 124, -41)]
[(-15501, -2994, -4101), (-83, 124, -41)]
[(-15501, -2994, -4101), (-83, 124, -41)]
[(-15501, -2994, -4101), (-83, 124, -41)]
[(-15501, -2994, -4101), (-83, 124, -41)]
[(-15514, -3034, -4100), (-157, 121, -12)]
[(-15514, -3034, -4100), (-157, 121, -12)]
[(-15514, -3034, -4100), (-157, 121, -12)]
[(-15514, -3034, -4100), (-157, 121, -12)]
[(-15514, -3034, -4100), (-157, 121, -12)]
[(-15524, -3002, -4100), (-202, 117, 48)]
[(-15524, -3002, -4100), (-202, 117, 48)]
[(-15524, -3002, -4100), (-202, 117, 48)]
[(-15524, -3002, -4100), (-202, 117, 48)]
[(-15524, -3002, -4100), (-202, 117, 48)]
[(-15524, -3002, -4100), (-202, 117, 48)]
[(-15524, -3002, -4100), (-202, 117, 48)]
[(-15556, -2995, -4072), (-335, 233, 79)]
[(-15556, -2995, -4072), (-335, 233, 79)]
[(-15556, -2995, -4072), (-335, 233, 79)]
[(-15556, -2995, -4072), (-335, 233, 79)]
[(-15556, -2995, -4072), (-335, 233, 79)]
[(-15556, -2995, -4072), (-335, 233, 79)]
[(-15255, -2402, -3892), (-3321, 814, -266)]
[(-15255, -2402, -3892), (-3321, 814, -266)]
[(-15255, -2402, -3892), (-3321, 814, -266)]
[(-15255, -2402, -3892), (-3321, 814, -266)]
[(-15255, -2402, -3892), (-3321, 814, -266)]
[(-15272, -2456, -4008), (-2668, 789, -164)]
[(-15272, -2456, -4008), (-2668, 789, -164)]
[(-15272, -2456, -4008), (-2668, 789, -164)]
[(-15272, -2456, -4008), (-2668, 789, -164)]
[(-15272, -2456, -4008), (-2668, 789, -164)]
[(-15272, -2456, -4008), (-2668, 789, -164)]
[(-15272, -2456, -4008), (-2668, 789, -164)]
[(-15317, -2504, -4086), (-2176, 622, -116)]
[(-15317, -2504, -4086), (-2176, 622, -116)]
[(-15317, -2504, -4086), (-2176, 622, -116)]
[(-15317, -2504, -4086), (-2176, 622, -116)]
[(-15317, -2504, -4086), (-2176, 622, -116)]
[(-15317, -2504, -4086), (-2176, 622, -116)]
[(-15365, -2587, -4144), (-1714, 474, -129)]
[(-15365, -2587, -4144), (-1714, 474, -129)]
[(-15365, -2587, -4144), (-1714, 474, -129)]
[(-15365, -2587, -4144), (-1714, 474, -129)]
[(-15365, -2587, -4144), (-1714, 474, -129)]
[(-15389, -2660, -4194), (-1367, 397, -109)]
[(-15389, -2660, -4194), (-1367, 397, -109)]
[(-15389, -2660, -4194), (-1367, 397, -109)]
[(-15389, -2660, -4194), (-1367, 397, -109)]
