[(-15555, -3060, -3976), (-162, 161, 19)]
[(-15550, -3072, -3991), (-196, 175, 27)]
[(-15518, -3068, -3987), (-135, 194, 16)]
[(-15518, -3068, -3987), (-135, 194, 16)]
[(-15518, -3068, -3987), (-135, 194, 16)]
[(-15518, -3068, -3987), (-135, 194, 16)]
[(-15518, -3068, -3987), (-135, 194, 16)]
[(-15530, -3087, -3996), (-96, 196, -22)]
[(-15530, -3087, -3996), (-96, 196, -22)]
[(-15530, -3087, -3996), (-96, 196, -22)]
[(-15530, -3087, -3996), (-96, 196, -22)]
[(-15530, -3087, -3996), (-96, 196, -22)]
[(-15530, -3087, -3996), (-96, 196, -22)]
[(-15537, -3056, -3984), (-129, 166, -14)]
[(-15537, -3056, -3984), (-129, 166, -14)]
[(-15537, -3056, -3984), (-129, 166, -14)]
[(-15537, -3056, -3984), (-129, 166, -14)]
[(-15537, -3056, -3984), (-129, 166, -14)]
[(-15537, -3056, -3984), (-129, 166, -14)]
[(-15537, -3056, -3984), (-129, 166, -14)]
[(-15536, -3046, -3960), (-251, 141, 17)]
[(-15536, -3046, -3960), (-251, 141, 17)]
[(-15536, -3046, -3960), (-251, 141, 17)]
[(-15536, -3046, -3960), (-251, 141, 17)]
[(-15536, -3046, -3960), (-251, 141, 17)]
[(-15536, -3046, -3960), (-251, 141, 17)]
[(-15528, -3034, -3945), (-267, 138, 37)]
[(-15528, -3034, -3945), (-267, 138, 37)]
[(-15528, -3034, -3945), (-267, 138, 37)]
[(-15528, -3034, -3945), (-267, 138, 37)]
[(-15528, -3034, -3945), (-267, 138, 37)]
[(-15532, -3020, -3981), (-331, 220, 47)]
[(-15532, -3020, -3981), (-331, 220, 47)]
[(-15532, -3020, -3981), (-331, 220, 47)]
[(-15532, -3020, -3981), (-331, 220, 47)]
[(-15532, -3020, -3981), (-331, 220, 47)]
[(-15532, -3020, -3981), (-331, 220, 47)]
[(-15532, -3020, -3981), (-331, 220, 47)]
[(-15571, -2980, -3998), (-438, 255, 50)]
[(-15571, -2980, -3998), (-438, 255, 50)]
[(-15571, -2980, -3998), (-438, 255, 50)]
[(-15571, -2980, -3998), (-438, 255, 50)]
[(-15571, -2980, -3998), (-438, 255, 50)]
[(-15551, -2980, -4053), (-299, 431, 34)]
[(-15551, -2980, -4053), (-299, 431, 34)]
[(-15551, -2980, -4053), (-299, 431, 34)]
[(-15551, -2980, -4053), (-299, 431, 34)]
[(-15551, -2980, -4053), (-299, 431, 34)]
[(-15551, -2980, -4053), (-299, 431, 34)]
[(-15494, -3001, -4137), (-203, 388, 7)]
[(-15494, -3001, -4137), (-203, 388, 7)]
[(-15494, -3001, -4137), (-203, 388, 7)]
[(-15494, -3001, -4137), (-203, 388, 7)]
[(-15494, -3001, -4137), (-203, 388, 7)]
[(-15514, -2996, -4185), (-207, 350, -4)]
[(-15514, -2996, -4185), (-207, 350, -4)]
[(-15514, -2996, -4185), (-207, 350, -4)]
[(-15514, -2996, -4185), (-207, 350, -4)]
[(-15514, -2996, -4185), (-207, 350, -4)]
[(-15514, -2996, -4185), (-207, 350, -4)]
[(-15514, -2996, -4185), (-207, 350, -4)]
[(-15501, -2988, -4234), (-231, 278, 5)]
[(-15501, -2988, -4234), (-231, 278, 5)]
[(-15501, -2988, -4234), (-231, 278, 5)]
[(-15501, -2988, -4234), (-231, 278, 5)]
[(-15501, -2988, -4234), (-231, 278, 5)]
[(-15501, -2988, -4234), (-231, 278, 5)]
[(-15514, -2979, -4296), (-212, 237, 13)]
[(-15514, -2979, -4296), (-212, 237, 13)]
[(-15514, -2979, -4296), (-212, 237, 13)]
[(-15514, -2979, -4296), (-212, 237, 13)]
[(-15514, -2979, -4296), (-212, 237, 13)]
[(-15514, -2952, -4324), (-119, 127, -5)]
[(-15514, -2952, -4324), (-119, 127, -5)]
[(-15514, -2952, -4324), (-119, 127, -5)]
[(-15514, -2952, -4324), (-119, 127, -5)]
[(-15514, -2952, -4324), (-119, 127, -5)]
[(-15514, -2952, -4324), (-119, 127, -5)]
[(-15514, -2952, -4324), (-119, 127, -5)]
[(-15528, -2968, -4268), (-180, 68, -15)]
[(-15528, -2968, -4268), (-180, 68, -15)]
[(-15528, -2968, -4268), (-180, 68, -15)]
[(-15528, -2968, -4268), (-180, 68, -15)]
[(-15528, -2968, -4268), (-180, 68, -15)]
[(-15528, -2968, -4268), (-180, 68, -15)]
[(-15543, -2951, -4200), (-128, 83, 0)]
[(-15543, -2951, -4200), (-128, 83, 0)]
[(-15543, -2951, -4200), (-128, 83, 0)]
[(-15543, -2951, -4200), (-128, 83, 0)]
[(-15543, -2951, -4200), (-128, 83, 0)]
[(-15532, -2938, -4234), (-60, 122, 19)]
[(-15532, -2938, -4234), (-60, 122, 19)]
[(-15532, -2938, -4234), (-60, 122, 19)]
[(-15532, -2938, -4234), (-60, 122, 19)]
[(-15532, -2938, -4234), (-60, 122, 19)]
[(-15516, -2970, -4189), (-198, 79, -32)]
[(-15516, -2970, -4189), (-198, 79, -32)]
[(-15516, -2970, -4189), (-198, 79, -32)]
[(-15516, -2970, -4189), (-198, 79, -32)]
[(-15516, -2970, -4189), (-198, 79, -32)]
[(-15516, -2970, -4189), (-198, 79, -32)]
[(-15515, -2972, -4216), (-127, 118, -12)]
[(-15515, -2972, -4216), (-127, 118, -12)]
[(-15515, -2972, -4216), (-127, 118, -12)]
[(-15515, -2972, -4216), (-127, 118, -12)]
[(-15515, -2972, -4216), (-127, 118, -12)]
[(-15519, -2999, -4159), (-193, 104, -35)]
[(-15519, -2999, -4159), (-193, 104, -35)]
[(-15519, -2999, -4159), (-193, 104, -35)]
[(-15519, -2999, -4159), (-193, 104, -35)]
[(-15519, -2999, -4159), (-193, 104, -35)]
[(-15519, -2999, -4159), (-193, 104, -35)]
[(-15519, -2999, -4159), (-193, 104, -35)]
[(-15511, -2998, -4135), (-138, 116, -5)]
