[(-15576, -2695, -3952), (-157, 163, 0)]
[(-15580, -2746, -3933), (-172, 183, -15)]
[(-15580, -2746, -3933), (-172, 183, -15)]
[(-15580, -2746, -3933), (-172, 183, -15)]
[(-15580, -2746, -3933), (-172, 183, -15)]
[(-15580, -2746, -3933), (-172, 183, -15)]
[(-15584, -2768, -3933), (-176, 167, -12)]
[(-15584, -2768, -3933), (-176, 167, -12)]
[(-15584, -2768, -3933), (-176, 167, -12)]
[(-15584, -2768, -3933), (-176, 167, -12)]
[(-15584, -2768, -3933), (-176, 167, -12)]
[(-15593, -2798, -3940), (57, 104, -20)]
[(-15593, -2798, -3940), (57, 104, -20)]
[(-15593, -2798, -3940), (57, 104, -20)]
[(-15593, -2798, -3940), (57, 104, -20)]
[(-15593, -2798, -3940), (57, 104, -20)]
[(-15584, -2802, -3936), (10, 114, -50)]
[(-15584, -2802, -3936), (10, 114, -50)]
[(-15584, -2802, -3936), (10, 114, -50)]
[(-15584, -2802, -3936), (10, 114, -50)]
[(-15584, -2802, -3936), (10, 114, -50)]
[(-15584, -2802, -3936), (10, 114, -50)]
[(-15584, -2802, -3936), (10, 114, -50)]
[(-15584, -2802, -3936), (10, 114, -50)]
[(-15595, -2805, -3865), (-69, 132, -59)]
[(-15595, -2805, -3865), (-69, 132, -59)]
[(-15595, -2805, -3865), (-69, 132, -59)]
[(-15595, -2805, -3865), (-69, 132, -59)]
[(-15595, -2805, -3865), (-69, 132, -59)]
[(-15604, -2827, -3857), (-165, 169, -68)]
[(-15604, -2827, -3857), (-165, 169, -68)]
[(-15604, -2827, -3857), (-165, 169, -68)]
[(-15604, -2827, -3857), (-165, 169, -68)]
[(-15604, -2827, -3857), (-165, 169, -68)]
[(-15604, -2827, -3857), (-165, 169, -68)]
[(-15613, -2803, -3894), (-157, 160, -44)]
[(-15613, -2803, -3894), (-157, 160, -44)]
[(-15613, -2803, -3894), (-157, 160, -44)]
[(-15613, -2803, -3894), (-157, 160, -44)]
[(-15613, -2803, -3894), (-157, 160, -44)]
[(-15613, -2803, -3894), (-157, 160, -44)]
[(-15613, -2803, -3894), (-157, 160, -44)]
[(-15626, -2819, -3905), (-178, 137, -3)]
[(-15626, -2819, -3905), (-178, 137, -3)]
[(-15626, -2819, -3905), (-178, 137, -3)]
[(-15626, -2819, -3905), (-178, 137, -3)]
[(-15626, -2819, -3905), (-178, 137, -3)]
[(-15621, -2814, -3927), (-306, 174, -8)]
[(-15621, -2814, -3927), (-306, 174, -8)]
[(-15621, -2814, -3927), (-306, 174, -8)]
[(-15621, -2814, -3927), (-306, 174, -8)]
[(-15621, -2814, -3927), (-306, 174, -8)]
[(-15626, -2784, -3986), (-324, 338, 9)]
[(-15626, -2784, -3986), (-324, 338, 9)]
[(-15626, -2784, -3986), (-324, 338, 9)]
[(-15626, -2784, -3986), (-324, 338, 9)]
[(-15626, -2784, -3986), (-324, 338, 9)]
[(-15626, -2784, -3986), (-324, 338, 9)]
[(-15626, -2784, -3986), (-324, 338, 9)]
[(-15626, -2784, -3986), (-324, 338, 9)]
[(-14624, -1913, -4527), (-3208, 876, -404)]
[(-14624, -1913, -4527), (-3208, 876, -404)]
[(-14624, -1913, -4527), (-3208, 876, -404)]
[(-14624, -1913, -4527), (-3208, 876, -404)]
[(-14624, -1913, -4527), (-3208, 876, -404)]
[(-14783, -2052, -4520), (-2554, 852, -315)]
[(-14783, -2052, -4520), (-2554, 852, -315)]
[(-14783, -2052, -4520), (-2554, 852, -315)]
[(-14783, -2052, -4520), (-2554, 852, -315)]
[(-14783, -2052, -4520), (-2554, 852, -315)]
[(-14937, -2203, -4471), (-1925, 660, -206)]
[(-14937, -2203, -4471), (-1925, 660, -206)]
[(-14937, -2203, -4471), (-1925, 660, -206)]
[(-14937, -2203, -4471), (-1925, 660, -206)]
[(-14937, -2203, -4471), (-1925, 660, -206)]
[(-14937, -2203, -4471), (-1925, 660, -206)]
[(-14937, -2203, -4471), (-1925, 660, -206)]
[(-14937, -2203, -4471), (-1925, 660, -206)]
[(-15044, -2310, -4430), (-1625, 613, -168)]
[(-15044, -2310, -4430), (-1625, 613, -168)]
[(-15044, -2310, -4430), (-1625, 613, -168)]
[(-15044, -2310, -4430), (-1625, 613, -168)]
[(-15044, -2310, -4430), (-1625, 613, -168)]
[(-15140, -2381, -4455), (-1376, 541, -129)]
[(-15140, -2381, -4455), (-1376, 541, -129)]
[(-15140, -2381, -4455), (-1376, 541, -129)]
[(-15140, -2381, -4455), (-1376, 541, -129)]
[(-15140, -2381, -4455), (-1376, 541, -129)]
[(-15265, -2451, -4416), (-1172, 419, -134)]
[(-15265, -2451, -4416), (-1172, 419, -134)]
[(-15265, -2451, -4416), (-1172, 419, -134)]
[(-15265, -2451, -4416), (-1172, 419, -134)]
[(-15265, -2451, -4416), (-1172, 419, -134)]
[(-15265, -2451, -4416), (-1172, 419, -134)]
[(-15265, -2451, -4416), (-1172, 419, -134)]
[(-15265, -2451, -4416), (-1172, 419, -134)]
[(-15294, -2540, -4379), (-902, 328, -92)]
[(-15294, -2540, -4379), (-902, 328, -92)]
[(-15294, -2540, -4379), (-902, 328, -92)]
[(-15294, -2540, -4379), (-902, 328, -92)]
[(-15294, -2540, -4379), (-902, 328, -92)]
[(-15343, -2513, -4425), (-817, 358, -68)]
[(-15343, -2513, -4425), (-817, 358, -68)]
[(-15343, -2513, -4425), (-817, 358, -68)]
[(-15343, -2513, -4425), (-817, 358, -68)]
[(-15374, -2644, -4327), (-630, 209, -79)]
