[(-15552, -1541, -5167), (-4, 157, 50)]
[(-15553, -1526, -5180), (-5, 182, 41)]
[(-15553, -1526, -5180), (-5, 182, 41)]
[(-15557, -1532, -5182), (-26, 176, 27)]
[(-15557, -1532, -5182), (-26, 176, 27)]
[(-15557, -1532, -5182), (-26, 176, 27)]
[(-15557, -1532, -5182), (-26, 176, 27)]
[(-15557, -1532, -5182), (-26, 176, 27)]
[(-15528, -1535, -5200), (-73, 160, 15)]
[(-15528, -1535, -5200), (-73, 160, 15)]
[(-15528, -1535, -5200), (-73, 160, 15)]
[(-15528, -1535, -5200), (-73, 160, 15)]
[(-15528, -1535, -5200), (-73, 160, 15)]
[(-15528, -1527, -5192), (-59, 145, 24)]
[(-15528, -1527, -5192), (-59, 145, 24)]
[(-15528, -1527, -5192), (-59, 145, 24)]
[(-15528, -1527, -5192), (-59, 145, 24)]
[(-15528, -1527, -5192), (-59, 145, 24)]
[(-15528, -1527, -5192), (-59, 145, 24)]
[(-15528, -1527, -5192), (-59, 145, 24)]
[(-15528, -1527, -5192), (-59, 145, 24)]
[(-15536, -1563, -5184), (72, 72, 90)]
[(-15536, -1563, -5184), (72, 72, 90)]
[(-15536, -1563, -5184), (72, 72, 90)]
[(-15536, -1563, -5184), (72, 72, 90)]
[(-15536, -1563, -5184), (72, 72, 90)]
[(-15553, -1533, -5112), (295, -5, 131)]
[(-15553, -1533, -5112), (295, -5, 131)]
[(-15553, -1533, -5112), (295, -5, 131)]
[(-15553, -1533, -5112), (295, -5, 131)]
[(-15553, -1533, -5112), (295, -5, 131)]
[(-15553, -1533, -5112), (295, -5, 131)]
[(-15524, -1478, -5152), (227, 53, 26)]
[(-15524, -1478, -5152), (227, 53, 26)]
[(-15524, -1478, -5152), (227, 53, 26)]
[(-15524, -1478, -5152), (227, 53, 26)]
[(-15524, -1478, -5152), (227, 53, 26)]
[(-15524, -1478, -5152), (227, 53, 26)]
[(-15524, -1478, -5152), (227, 53, 26)]
[(-15525, -1517, -5145), (155, 60, -60)]
[(-15525, -1517, -5145), (155, 60, -60)]
[(-15525, -1517, -5145), (155, 60, -60)]
[(-15525, -1517, -5145), (155, 60, -60)]
[(-15525, -1517, -5145), (155, 60, -60)]
[(-15536, -1568, -5050), (-21, 46, -40)]
[(-15536, -1568, -5050), (-21, 46, -40)]
[(-15536, -1568, -5050), (-21, 46, -40)]
[(-15536, -1568, -5050), (-21, 46, -40)]
[(-15536, -1568, -5050), (-21, 46, -40)]
[(-15548, -1610, -5055), (-129, 64, -17)]
[(-15548, -1610, -5055), (-129, 64, -17)]
[(-15548, -1610, -5055), (-129, 64, -17)]
[(-15548, -1610, -5055), (-129, 64, -17)]
[(-15548, -1610, -5055), (-129, 64, -17)]
[(-15548, -1610, -5055), (-129, 64, -17)]
[(-15548, -1610, -5055), (-129, 64, -17)]
[(-15548, -1610, -5055), (-129, 64, -17)]
[(-15511, -1612, -5048), (-585, 280, 18)]
[(-15511, -1612, -5048), (-585, 280, 18)]
[(-15511, -1612, -5048), (-585, 280, 18)]
[(-15511, -1612, -5048), (-585, 280, 18)]
[(-15511, -1612, -5048), (-585, 280, 18)]
[(-15828, -1938, -7027), (-704, -185, 69)]
