[(-15464, -1877, -5400), (41, 82, 6)]
[(-15477, -1892, -5306), (20, 108, 52)]
[(-15477, -1892, -5306), (20, 108, 52)]
[(-15477, -1892, -5306), (20, 108, 52)]
[(-15477, -1892, -5306), (20, 108, 52)]
[(-15477, -1892, -5306), (20, 108, 52)]
[(-15460, -1863, -5276), (20, 119, 51)]
[(-15460, -1863, -5276), (20, 119, 51)]
[(-15460, -1863, -5276), (20, 119, 51)]
[(-15460, -1863, -5276), (20, 119, 51)]
[(-15460, -1863, -5276), (20, 119, 51)]
[(-15459, -1837, -5270), (43, 98, 16)]
[(-15459, -1837, -5270), (43, 98, 16)]
[(-15459, -1837, -5270), (43, 98, 16)]
[(-15459, -1837, -5270), (43, 98, 16)]
[(-15459, -1837, -5270), (43, 98, 16)]
[(-15459, -1837, -5270), (43, 98, 16)]
[(-15459, -1837, -5270), (43, 98, 16)]
[(-15459, -1837, -5270), (43, 98, 16)]
[(-15452, -1881, -5208), (647, -192, 5)]
[(-15452, -1881, -5208), (647, -192, 5)]
[(-15452, -1881, -5208), (647, -192, 5)]
[(-15452, -1881, -5208), (647, -192, 5)]
[(-15452, -1881, -5208), (647, -192, 5)]
[(-15445, -1899, -5161), (620, 132, -38)]
[(-15445, -1899, -5161), (620, 132, -38)]
[(-15445, -1899, -5161), (620, 132, -38)]
[(-15445, -1899, -5161), (620, 132, -38)]
[(-15445, -1899, -5161), (620, 132, -38)]
[(-15445, -1899, -5161), (620, 132, -38)]
[(-15452, -1928, -5189), (440, 109, -54)]
[(-15452, -1928, -5189), (440, 109, -54)]
[(-15452, -1928, -5189), (440, 109, -54)]
[(-15452, -1928, -5189), (440, 109, -54)]
[(-15452, -1928, -5189), (440, 109, -54)]
[(-15452, -1928, -5189), (440, 109, -54)]
[(-15452, -1928, -5189), (440, 109, -54)]
[(-15452, -1928, -5189), (440, 109, -54)]
[(-15452, -1969, -5209), (159, 39, 7)]
[(-15452, -1969, -5209), (159, 39, 7)]
[(-15452, -1969, -5209), (159, 39, 7)]
[(-15452, -1969, -5209), (159, 39, 7)]
[(-15443, -1990, -5203), (-154, 14, 76)]
[(-15443, -1990, -5203), (-154, 14, 76)]
[(-15443, -1990, -5203), (-154, 14, 76)]
[(-15443, -1990, -5203), (-154, 14, 76)]
[(-15443, -1990, -5203), (-154, 14, 76)]
[(-15443, -1990, -5203), (-154, 14, 76)]
[(-15476, -1941, -5214), (-372, 65, 82)]
[(-15476, -1941, -5214), (-372, 65, 82)]
[(-15476, -1941, -5214), (-372, 65, 82)]
[(-15476, -1941, -5214), (-372, 65, 82)]
[(-15476, -1941, -5214), (-372, 65, 82)]
[(-15476, -1941, -5214), (-372, 65, 82)]
[(-15476, -1941, -5214), (-372, 65, 82)]
[(-15461, -2002, -5228), (-96, -124, 98)]
[(-15461, -2002, -5228), (-96, -124, 98)]
[(-15461, -2002, -5228), (-96, -124, 98)]
[(-15461, -2002, -5228), (-96, -124, 98)]
[(-15461, -2002, -5228), (-96, -124, 98)]
[(-15463, -1976, -5203), (-136, -47, 77)]
[(-15463, -1976, -5203), (-136, -47, 77)]
[(-15463, -1976, -5203), (-136, -47, 77)]
[(-15463, -1976, -5203), (-136, -47, 77)]
[(-15463, -1976, -5203), (-136, -47, 77)]
[(-15463, -1976, -5203), (-136, -47, 77)]
[(-15470, -1967, -5237), (-68, -16, 63)]
[(-15470, -1967, -5237), (-68, -16, 63)]
[(-15470, -1967, -5237), (-68, -16, 63)]
[(-15470, -1967, -5237), (-68, -16, 63)]
[(-15470, -1967, -5237), (-68, -16, 63)]
[(-15470, -1967, -5237), (-68, -16, 63)]
[(-15470, -1967, -5237), (-68, -16, 63)]
[(-15453, -1933, -5250), (4, 62, 56)]
[(-15453, -1933, -5250), (4, 62, 56)]
[(-15453, -1933, -5250), (4, 62, 56)]
[(-15453, -1933, -5250), (4, 62, 56)]
