[(-15514, -1816, -5203), (-40, 165, -2)]
[(-15525, -1820, -5213), (-39, 162, 23)]
[(-15525, -1820, -5213), (-39, 162, 23)]
[(-15525, -1820, -5213), (-39, 162, 23)]
[(-15525, -1820, -5213), (-39, 162, 23)]
[(-15525, -1820, -5213), (-39, 162, 23)]
[(-15525, -1823, -5218), (-38, 126, 39)]
[(-15525, -1823, -5218), (-38, 126, 39)]
[(-15525, -1823, -5218), (-38, 126, 39)]
[(-15525, -1823, -5218), (-38, 126, 39)]
[(-15525, -1823, -5218), (-38, 126, 39)]
[(-15525, -1823, -5218), (-38, 126, 39)]
[(-15532, -1812, -5216), (2, 92, 56)]
[(-15532, -1812, -5216), (2, 92, 56)]
[(-15532, -1812, -5216), (2, 92, 56)]
[(-15532, -1812, -5216), (2, 92, 56)]
[(-15532, -1812, -5216), (2, 92, 56)]
[(-15534, -1796, -5167), (235, -33, 88)]
[(-15534, -1796, -5167), (235, -33, 88)]
[(-15534, -1796, -5167), (235, -33, 88)]
[(-15534, -1796, -5167), (235, -33, 88)]
[(-15534, -1796, -5167), (235, -33, 88)]
[(-15534, -1796, -5167), (235, -33, 88)]
[(-15534, -1796, -5167), (235, -33, 88)]
[(-15636, -1661, -5146), (101, 87, -75)]
[(-15636, -1661, -5146), (101, 87, -75)]
[(-15636, -1661, -5146), (101, 87, -75)]
[(-15636, -1661, -5146), (101, 87, -75)]
[(-15636, -1661, -5146), (101, 87, -75)]
[(-15636, -1661, -5146), (101, 87, -75)]
[(-15603, -1732, -5108), (-61, 100, -124)]
[(-15603, -1732, -5108), (-61, 100, -124)]
[(-15603, -1732, -5108), (-61, 100, -124)]
[(-15603, -1732, -5108), (-61, 100, -124)]
[(-15603, -1732, -5108), (-61, 100, -124)]
[(-15574, -1791, -5070), (-216, 138, -143)]
[(-15574, -1791, -5070), (-216, 138, -143)]
[(-15574, -1791, -5070), (-216, 138, -143)]
[(-15574, -1791, -5070), (-216, 138, -143)]
[(-15574, -1791, -5070), (-216, 138, -143)]
[(-15574, -1791, -5070), (-216, 138, -143)]
[(-15574, -1791, -5070), (-216, 138, -143)]
[(-15559, -1806, -5032), (-264, 131, -102)]
[(-15559, -1806, -5032), (-264, 131, -102)]
[(-15559, -1806, -5032), (-264, 131, -102)]
[(-15559, -1806, -5032), (-264, 131, -102)]
[(-15559, -1806, -5032), (-264, 131, -102)]
[(-15559, -1806, -5032), (-264, 131, -102)]
[(-15576, -1828, -5041), (-341, 143, -67)]
[(-15576, -1828, -5041), (-341, 143, -67)]
[(-15576, -1828, -5041), (-341, 143, -67)]
[(-15576, -1828, -5041), (-341, 143, -67)]
[(-15576, -1828, -5041), (-341, 143, -67)]
[(-15576, -1828, -5041), (-341, 143, -67)]
[(-15557, -1827, -4979), (-357, 340, -9)]
[(-15557, -1827, -4979), (-357, 340, -9)]
[(-15557, -1827, -4979), (-357, 340, -9)]
[(-15557, -1827, -4979), (-357, 340, -9)]
[(-15557, -1827, -4979), (-357, 340, -9)]
[(-15539, -1800, -5104), (-299, 264, 33)]
[(-15539, -1800, -5104), (-299, 264, 33)]
[(-15539, -1800, -5104), (-299, 264, 33)]
[(-15539, -1800, -5104), (-299, 264, 33)]
[(-15539, -1800, -5104), (-299, 264, 33)]
[(-15539, -1800, -5104), (-299, 264, 33)]
[(-15543, -1784, -5113), (-210, 253, 27)]
[(-15543, -1784, -5113), (-210, 253, 27)]
[(-15543, -1784, -5113), (-210, 253, 27)]
[(-15543, -1784, -5113), (-210, 253, 27)]
[(-15543, -1784, -5113), (-210, 253, 27)]
[(-15545, -1768, -5084), (-217, 237, 28)]
[(-15545, -1768, -5084), (-217, 237, 28)]
[(-15545, -1768, -5084), (-217, 237, 28)]
[(-15545, -1768, -5084), (-217, 237, 28)]
[(-15545, -1768, -5084), (-217, 237, 28)]
[(-15545, -1768, -5084), (-217, 237, 28)]
[(-15532, -1787, -5112), (-195, 269, 20)]
[(-15532, -1787, -5112), (-195, 269, 20)]
