[(-15564, -1876, -4929), (-57, 200, 41)]
[(-15556, -1862, -4955), (-61, 196, 45)]
[(-15556, -1862, -4955), (-61, 196, 45)]
[(-15556, -1862, -4955), (-61, 196, 45)]
[(-15570, -1905, -4975), (-88, 170, 39)]
[(-15570, -1905, -4975), (-88, 170, 39)]
[(-15570, -1905, -4975), (-88, 170, 39)]
[(-15570, -1905, -4975), (-88, 170, 39)]
[(-15570, -1905, -4975), (-88, 170, 39)]
[(-15533, -1898, -4980), (-62, 134, 17)]
[(-15533, -1898, -4980), (-62, 134, 17)]
[(-15533, -1898, -4980), (-62, 134, 17)]
[(-15533, -1898, -4980), (-62, 134, 17)]
[(-15533, -1898, -4980), (-62, 134, 17)]
[(-15533, -1898, -4980), (-62, 134, 17)]
[(-15533, -1898, -4980), (-62, 134, 17)]
[(-15540, -1897, -4987), (-27, 115, -5)]
[(-15540, -1897, -4987), (-27, 115, -5)]
[(-15540, -1897, -4987), (-27, 115, -5)]
[(-15540, -1897, -4987), (-27, 115, -5)]
[(-15540, -1897, -4987), (-27, 115, -5)]
[(-15540, -1897, -4987), (-27, 115, -5)]
[(-15546, -1918, -4996), (148, 17, -48)]
[(-15546, -1918, -4996), (148, 17, -48)]
[(-15546, -1918, -4996), (148, 17, -48)]
[(-15546, -1918, -4996), (148, 17, -48)]
[(-15546, -1918, -4996), (148, 17, -48)]
[(-15543, -1899, -4961), (139, 84, -139)]
[(-15543, -1899, -4961), (139, 84, -139)]
[(-15543, -1899, -4961), (139, 84, -139)]
[(-15543, -1899, -4961), (139, 84, -139)]
[(-15543, -1899, -4961), (139, 84, -139)]
[(-15543, -1899, -4961), (139, 84, -139)]
[(-15557, -1921, -4911), (111, 92, -133)]
[(-15557, -1921, -4911), (111, 92, -133)]
[(-15557, -1921, -4911), (111, 92, -133)]
[(-15557, -1921, -4911), (111, 92, -133)]
[(-15557, -1921, -4911), (111, 92, -133)]
[(-15560, -2070, -4940), (107, 367, -172)]
[(-15560, -2070, -4940), (107, 367, -172)]
[(-15560, -2070, -4940), (107, 367, -172)]
[(-15560, -2070, -4940), (107, 367, -172)]
[(-15560, -2070, -4940), (107, 367, -172)]
[(-15560, -2070, -4940), (107, 367, -172)]
[(-15560, -2070, -4940), (107, 367, -172)]
[(-15581, -2030, -4971), (-1, 280, -292)]
[(-15581, -2030, -4971), (-1, 280, -292)]
[(-15581, -2030, -4971), (-1, 280, -292)]
[(-15581, -2030, -4971), (-1, 280, -292)]
