[(-15656, -1643, -4759), (-124, 145, 20)]
[(-15650, -1649, -4785), (-87, 151, 18)]
[(-15626, -1636, -4794), (-86, 171, 8)]
[(-15626, -1636, -4794), (-86, 171, 8)]
[(-15626, -1636, -4794), (-86, 171, 8)]
[(-15626, -1636, -4794), (-86, 171, 8)]
[(-15626, -1636, -4794), (-86, 171, 8)]
[(-15626, -1636, -4794), (-86, 171, 8)]
[(-15632, -1644, -4800), (-100, 178, 9)]
[(-15632, -1644, -4800), (-100, 178, 9)]
[(-15632, -1644, -4800), (-100, 178, 9)]
[(-15632, -1644, -4800), (-100, 178, 9)]
[(-15632, -1644, -4800), (-100, 178, 9)]
[(-15644, -1642, -4812), (-95, 191, 13)]
[(-15644, -1642, -4812), (-95, 191, 13)]
[(-15644, -1642, -4812), (-95, 191, 13)]
[(-15644, -1642, -4812), (-95, 191, 13)]
[(-15644, -1642, -4812), (-95, 191, 13)]
[(-15644, -1642, -4812), (-95, 191, 13)]
[(-15644, -1642, -4812), (-95, 191, 13)]
[(-15644, -1642, -4812), (-95, 191, 13)]
[(-15629, -1635, -4819), (-83, 214, 7)]
[(-15629, -1635, -4819), (-83, 214, 7)]
[(-15629, -1635, -4819), (-83, 214, 7)]
[(-15629, -1635, -4819), (-83, 214, 7)]
[(-15629, -1635, -4819), (-83, 214, 7)]
[(-15628, -1650, -4872), (31, 159, 38)]
[(-15628, -1650, -4872), (31, 159, 38)]
[(-15628, -1650, -4872), (31, 159, 38)]
[(-15628, -1650, -4872), (31, 159, 38)]
[(-15628, -1650, -4872), (31, 159, 38)]
[(-15642, -1643, -4860), (4, 157, 41)]
[(-15642, -1643, -4860), (4, 157, 41)]
[(-15642, -1643, -4860), (4, 157, 41)]
[(-15642, -1643, -4860), (4, 157, 41)]
[(-15642, -1643, -4860), (4, 157, 41)]
[(-15642, -1643, -4860), (4, 157, 41)]
[(-15640, -1656, -4853), (-46, 166, 24)]
[(-15640, -1656, -4853), (-46, 166, 24)]
[(-15640, -1656, -4853), (-46, 166, 24)]
[(-15640, -1656, -4853), (-46, 166, 24)]
[(-15640, -1656, -4853), (-46, 166, 24)]
[(-15640, -1656, -4853), (-46, 166, 24)]
[(-15640, -1656, -4853), (-46, 166, 24)]
[(-15630, -1641, -4871), (-11, 190, 32)]
[(-15630, -1641, -4871), (-11, 190, 32)]
[(-15630, -1641, -4871), (-11, 190, 32)]
[(-15630, -1641, -4871), (-11, 190, 32)]
[(-15630, -1641, -4871), (-11, 190, 32)]
[(-15632, -1626, -4855), (-25, 201, 10)]
[(-15632, -1626, -4855), (-25, 201, 10)]
[(-15632, -1626, -4855), (-25, 201, 10)]
[(-15632, -1626, -4855), (-25, 201, 10)]
[(-15632, -1626, -4855), (-25, 201, 10)]
[(-15621, -1626, -4828), (-48, 203, 2)]
[(-15621, -1626, -4828), (-48, 203, 2)]
[(-15621, -1626, -4828), (-48, 203, 2)]
[(-15621, -1626, -4828), (-48, 203, 2)]
[(-15621, -1626, -4828), (-48, 203, 2)]
[(-15621, -1626, -4828), (-48, 203, 2)]
[(-15621, -1626, -4828), (-48, 203, 2)]
[(-15612, -1631, -4808), (-68, 192, 0)]
[(-15612, -1631, -4808), (-68, 192, 0)]
[(-15612, -1631, -4808), (-68, 192, 0)]
[(-15612, -1631, -4808), (-68, 192, 0)]
[(-15612, -1631, -4808), (-68, 192, 0)]
[(-15596, -1632, -4820), (-72, 198, -2)]
[(-15596, -1632, -4820), (-72, 198, -2)]
[(-15596, -1632, -4820), (-72, 198, -2)]
[(-15596, -1632, -4820), (-72, 198, -2)]
[(-15596, -1632, -4820), (-72, 198, -2)]
[(-15596, -1632, -4820), (-72, 198, -2)]
[(-15580, -1628, -4798), (-97, 182, 7)]
[(-15580, -1628, -4798), (-97, 182, 7)]
[(-15580, -1628, -4798), (-97, 182, 7)]
[(-15580, -1628, -4798), (-97, 182, 7)]
