[(-15716, -1571, -4383), (-142, 164, -11)]
[(-15714, -1572, -4356), (-110, 199, -10)]
[(-15704, -1568, -4384), (-88, 215, -22)]
[(-15704, -1568, -4384), (-88, 215, -22)]
[(-15704, -1568, -4384), (-88, 215, -22)]
[(-15704, -1568, -4384), (-88, 215, -22)]
[(-15704, -1568, -4384), (-88, 215, -22)]
[(-15704, -1568, -4384), (-88, 215, -22)]
[(-15704, -1548, -4394), (-102, 210, -17)]
[(-15704, -1548, -4394), (-102, 210, -17)]
[(-15704, -1548, -4394), (-102, 210, -17)]
[(-15704, -1548, -4394), (-102, 210, -17)]
[(-15704, -1548, -4394), (-102, 210, -17)]
[(-15704, -1548, -4394), (-102, 210, -17)]
[(-15704, -1548, -4394), (-102, 210, -17)]
[(-15731, -1543, -4433), (-108, 205, -12)]
[(-15731, -1543, -4433), (-108, 205, -12)]
[(-15731, -1543, -4433), (-108, 205, -12)]
[(-15731, -1543, -4433), (-108, 205, -12)]
[(-15731, -1543, -4433), (-108, 205, -12)]
[(-15728, -1532, -4422), (-107, 201, -3)]
[(-15728, -1532, -4422), (-107, 201, -3)]
[(-15728, -1532, -4422), (-107, 201, -3)]
[(-15728, -1532, -4422), (-107, 201, -3)]
[(-15728, -1532, -4422), (-107, 201, -3)]
[(-15728, -1532, -4422), (-107, 201, -3)]
[(-15736, -1526, -4425), (-29, 204, 13)]
[(-15736, -1526, -4425), (-29, 204, 13)]
[(-15736, -1526, -4425), (-29, 204, 13)]
[(-15736, -1526, -4425), (-29, 204, 13)]
[(-15736, -1526, -4425), (-29, 204, 13)]
[(-15736, -1526, -4425), (-29, 204, 13)]
[(-15736, -1526, -4425), (-29, 204, 13)]
[(-15733, -1508, -4398), (-84, 188, 14)]
[(-15733, -1508, -4398), (-84, 188, 14)]
[(-15733, -1508, -4398), (-84, 188, 14)]
[(-15733, -1508, -4398), (-84, 188, 14)]
[(-15733, -1508, -4398), (-84, 188, 14)]
[(-15714, -1528, -4420), (-73, 159, 27)]
[(-15714, -1528, -4420), (-73, 159, 27)]
[(-15714, -1528, -4420), (-73, 159, 27)]
[(-15714, -1528, -4420), (-73, 159, 27)]
[(-15714, -1528, -4420), (-73, 159, 27)]
[(-15714, -1528, -4420), (-73, 159, 27)]
[(-15700, -1547, -4408), (-47, 168, 20)]
[(-15700, -1547, -4408), (-47, 168, 20)]
[(-15700, -1547, -4408), (-47, 168, 20)]
[(-15700, -1547, -4408), (-47, 168, 20)]
[(-15700, -1547, -4408), (-47, 168, 20)]
[(-15700, -1547, -4408), (-47, 168, 20)]
[(-15700, -1547, -4408), (-47, 168, 20)]
[(-15696, -1550, -4429), (-55, 176, 3)]
[(-15696, -1550, -4429), (-55, 176, 3)]
[(-15696, -1550, -4429), (-55, 176, 3)]
[(-15696, -1550, -4429), (-55, 176, 3)]
[(-15696, -1550, -4429), (-55, 176, 3)]
[(-15683, -1538, -4426), (-104, 172, 21)]
[(-15683, -1538, -4426), (-104, 172, 21)]
[(-15683, -1538, -4426), (-104, 172, 21)]
[(-15683, -1538, -4426), (-104, 172, 21)]
[(-15683, -1538, -4426), (-104, 172, 21)]
[(-15683, -1538, -4426), (-104, 172, 21)]
[(-15691, -1520, -4448), (-138, 167, 19)]
[(-15691, -1520, -4448), (-138, 167, 19)]
[(-15691, -1520, -4448), (-138, 167, 19)]
[(-15691, -1520, -4448), (-138, 167, 19)]
[(-15691, -1520, -4448), (-138, 167, 19)]
[(-15691, -1520, -4448), (-138, 167, 19)]
[(-15691, -1520, -4448), (-138, 167, 19)]
[(-15692, -1535, -4449), (-128, 177, 17)]
[(-15692, -1535, -4449), (-128, 177, 17)]
[(-15692, -1535, -4449), (-128, 177, 17)]
[(-15692, -1535, -4449), (-128, 177, 17)]
[(-15692, -1535, -4449), (-128, 177, 17)]
