[(-15621, -2831, -3711), (-164, 128, 6)]
[(-15835, -2928, -3460), (91, 211, 124)]
[(-15835, -2928, -3460), (91, 211, 124)]
[(-15835, -2928, -3460), (91, 211, 124)]
[(-15835, -2928, -3460), (91, 211, 124)]
[(-15835, -2928, -3460), (91, 211, 124)]
[(-15784, -2896, -3554), (14, 286, 92)]
[(-15784, -2896, -3554), (14, 286, 92)]
[(-15784, -2896, -3554), (14, 286, 92)]
[(-15784, -2896, -3554), (14, 286, 92)]
[(-15784, -2896, -3554), (14, 286, 92)]
[(-15784, -2896, -3554), (14, 286, 92)]
[(-15784, -2896, -3554), (14, 286, 92)]
[(-15720, -2895, -3627), (-42, 327, 77)]
[(-15720, -2895, -3627), (-42, 327, 77)]
[(-15720, -2895, -3627), (-42, 327, 77)]
[(-15720, -2895, -3627), (-42, 327, 77)]
[(-15709, -2857, -3684), (-103, 286, 89)]
[(-15709, -2857, -3684), (-103, 286, 89)]
[(-15709, -2857, -3684), (-103, 286, 89)]
[(-15709, -2857, -3684), (-103, 286, 89)]
[(-15709, -2857, -3684), (-103, 286, 89)]
[(-15709, -2857, -3684), (-103, 286, 89)]
[(-15709, -2857, -3684), (-103, 286, 89)]
[(-15673, -2841, -3765), (-172, 275, 76)]
[(-15673, -2841, -3765), (-172, 275, 76)]
[(-15673, -2841, -3765), (-172, 275, 76)]
[(-15673, -2841, -3765), (-172, 275, 76)]
[(-15673, -2841, -3765), (-172, 275, 76)]
[(-15673, -2841, -3765), (-172, 275, 76)]
[(-15692, -2841, -3826), (-132, 263, 37)]
[(-15692, -2841, -3826), (-132, 263, 37)]
[(-15692, -2841, -3826), (-132, 263, 37)]
[(-15692, -2841, -3826), (-132, 263, 37)]
[(-15692, -2841, -3826), (-132, 263, 37)]
[(-15680, -2832, -3862), (-83, 268, 46)]
[(-15680, -2832, -3862), (-83, 268, 46)]
[(-15680, -2832, -3862), (-83, 268, 46)]
[(-15680, -2832, -3862), (-83, 268, 46)]
[(-15680, -2832, -3862), (-83, 268, 46)]
[(-15651, -2839, -3894), (-45, 236, 25)]
[(-15651, -2839, -3894), (-45, 236, 25)]
[(-15651, -2839, -3894), (-45, 236, 25)]
[(-15651, -2839, -3894), (-45, 236, 25)]
[(-15651, -2839, -3894), (-45, 236, 25)]
[(-15651, -2839, -3894), (-45, 236, 25)]
[(-15651, -2839, -3894), (-45, 236, 25)]
[(-15651, -2839, -3894), (-45, 236, 25)]
[(-15624, -2844, -3886), (68, 166, 17)]
[(-15624, -2844, -3886), (68, 166, 17)]
[(-15624, -2844, -3886), (68, 166, 17)]
[(-15624, -2844, -3886), (68, 166, 17)]
[(-15624, -2844, -3886), (68, 166, 17)]
[(-15613, -2835, -3872), (160, 79, 13)]
[(-15613, -2835, -3872), (160, 79, 13)]
[(-15613, -2835, -3872), (160, 79, 13)]
[(-15613, -2835, -3872), (160, 79, 13)]
[(-15613, -2835, -3872), (160, 79, 13)]
[(-15613, -2835, -3872), (160, 79, 13)]
[(-15613, -2835, -3872), (160, 79, 13)]
[(-15583, -2833, -3848), (168, 79, 25)]
[(-15583, -2833, -3848), (168, 79, 25)]
[(-15583, -2833, -3848), (168, 79, 25)]
[(-15583, -2833, -3848), (168, 79, 25)]
[(-15583, -2833, -3848), (168, 79, 25)]
[(-15583, -2833, -3848), (168, 79, 25)]
[(-15597, -2807, -3862), (155, 24, 39)]
[(-15597, -2807, -3862), (155, 24, 39)]
[(-15597, -2807, -3862), (155, 24, 39)]
[(-15597, -2807, -3862), (155, 24, 39)]
[(-15597, -2807, -3862), (155, 24, 39)]
[(-15575, -2807, -3822), (113, 8, 59)]
[(-15575, -2807, -3822), (113, 8, 59)]
[(-15575, -2807, -3822), (113, 8, 59)]
[(-15575, -2807, -3822), (113, 8, 59)]
[(-15575, -2807, -3822), (113, 8, 59)]
[(-15575, -2807, -3822), (113, 8, 59)]
[(-15575, -2807, -3822), (113, 8, 59)]
[(-15575, -2807, -3822), (113, 8, 59)]
[(-15575, -2807, -3822), (113, 8, 59)]
[(-15598, -2821, -3792), (91, -17, 38)]
[(-15598, -2821, -3792), (91, -17, 38)]
[(-15598, -2821, -3792), (91, -17, 38)]
[(-15598, -2821, -3792), (91, -17, 38)]
[(-15613, -2804, -3752), (91, -11, 65)]
[(-15613, -2804, -3752), (91, -11, 65)]
[(-15613, -2804, -3752), (91, -11, 65)]
[(-15613, -2804, -3752), (91, -11, 65)]
[(-15613, -2804, -3752), (91, -11, 65)]
[(-15613, -2804, -3752), (91, -11, 65)]
[(-15613, -2804, -3752), (91, -11, 65)]
[(-15613, -2804, -3752), (91, -11, 65)]
[(-15613, -2804, -3752), (91, -11, 65)]
[(-15663, -2820, -3637), (138, 22, 106)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15646, -2816, -3623), (86, 61, 76)]
[(-15644, -2811, -3612), (-38, 125, 14)]
[(-15644, -2811, -3612), (-38, 125, 14)]
[(-15644, -2811, -3612), (-38, 125, 14)]
[(-15644, -2811, -3612), (-38, 125, 14)]
[(-15644, -2811, -3612), (-38, 125, 14)]
[(-15644, -2811, -3612), (-38, 125, 14)]
[(-15644, -2811, -3612), (-38, 125, 14)]
[(-15640, -2774, -3600), (-175, 138, 3)]
[(-15640, -2774, -3600), (-175, 138, 3)]
[(-15640, -2774, -3600), (-175, 138, 3)]
[(-15640, -2774, -3600), (-175, 138, 3)]
[(-15640, -2774, -3600), (-175, 138, 3)]
[(-15640, -2774, -3600), (-175, 138, 3)]
[(-15640, -2774, -3600), (-175, 138, 3)]
[(-15653, -2797, -3590), (-84, 153, -9)]
[(-15653, -2797, -3590), (-84, 153, -9)]
[(-15653, -2797, -3590), (-84, 153, -9)]
[(-15649, -2761, -3600), (-175, 181, -14)]
[(-15649, -2761, -3600), (-175, 181, -14)]
