[(-15566, -2762, -3851), (68, 139, -23)]
[(-15553, -2776, -3880), (-14, 244, 7)]
[(-15546, -2783, -3948), (-157, 286, -18)]
[(-15546, -2783, -3948), (-157, 286, -18)]
[(-15546, -2783, -3948), (-157, 286, -18)]
[(-15546, -2783, -3948), (-157, 286, -18)]
[(-15546, -2783, -3948), (-157, 286, -18)]
[(-15544, -2761, -4020), (-260, 308, -22)]
[(-15544, -2761, -4020), (-260, 308, -22)]
[(-15544, -2761, -4020), (-260, 308, -22)]
[(-15544, -2761, -4020), (-260, 308, -22)]
[(-15544, -2761, -4020), (-260, 308, -22)]
[(-15527, -2742, -4064), (-214, 263, -57)]
[(-15527, -2742, -4064), (-214, 263, -57)]
[(-15527, -2742, -4064), (-214, 263, -57)]
[(-15527, -2742, -4064), (-214, 263, -57)]
[(-15527, -2742, -4064), (-214, 263, -57)]
[(-15527, -2742, -4064), (-214, 263, -57)]
[(-15527, -2742, -4064), (-214, 263, -57)]
[(-15527, -2742, -4064), (-214, 263, -57)]
[(-15538, -2737, -4068), (-216, 201, -80)]
[(-15538, -2737, -4068), (-216, 201, -80)]
[(-15538, -2737, -4068), (-216, 201, -80)]
[(-15538, -2737, -4068), (-216, 201, -80)]
[(-15538, -2737, -4068), (-216, 201, -80)]
[(-15538, -2737, -4068), (-216, 201, -80)]
[(-15552, -2741, -4084), (-183, 165, -60)]
[(-15552, -2741, -4084), (-183, 165, -60)]
[(-15552, -2741, -4084), (-183, 165, -60)]
[(-15552, -2741, -4084), (-183, 165, -60)]
[(-15552, -2741, -4084), (-183, 165, -60)]
[(-15580, -2756, -4084), (-159, 130, -37)]
[(-15580, -2756, -4084), (-159, 130, -37)]
[(-15580, -2756, -4084), (-159, 130, -37)]
[(-15580, -2756, -4084), (-159, 130, -37)]
[(-15580, -2756, -4084), (-159, 130, -37)]
[(-15580, -2756, -4084), (-159, 130, -37)]
[(-15580, -2756, -4084), (-159, 130, -37)]
[(-15593, -2757, -4068), (-42, 64, 12)]
[(-15593, -2757, -4068), (-42, 64, 12)]
[(-15593, -2757, -4068), (-42, 64, 12)]
[(-15593, -2757, -4068), (-42, 64, 12)]
[(-15593, -2757, -4068), (-42, 64, 12)]
[(-15579, -2752, -4080), (3, 47, 36)]
[(-15579, -2752, -4080), (3, 47, 36)]
[(-15579, -2752, -4080), (3, 47, 36)]
[(-15579, -2752, -4080), (3, 47, 36)]
[(-15579, -2752, -4080), (3, 47, 36)]
[(-15579, -2752, -4080), (3, 47, 36)]
[(-15576, -2740, -4062), (47, 26, 65)]
[(-15576, -2740, -4062), (47, 26, 65)]
[(-15576, -2740, -4062), (47, 26, 65)]
[(-15576, -2740, -4062), (47, 26, 65)]
[(-15576, -2740, -4062), (47, 26, 65)]
[(-15576, -2740, -4062), (47, 26, 65)]
[(-15576, -2740, -4062), (47, 26, 65)]
[(-15580, -2748, -4020), (-29, 30, 93)]
[(-15580, -2748, -4020), (-29, 30, 93)]
[(-15580, -2748, -4020), (-29, 30, 93)]
[(-15580, -2748, -4020), (-29, 30, 93)]
[(-15580, -2748, -4020), (-29, 30, 93)]
[(-15592, -2738, -3956), (-6, -20, 125)]
[(-15592, -2738, -3956), (-6, -20, 125)]
[(-15592, -2738, -3956), (-6, -20, 125)]
[(-15592, -2738, -3956), (-6, -20, 125)]
[(-15592, -2738, -3956), (-6, -20, 125)]
[(-15592, -2738, -3956), (-6, -20, 125)]
[(-15592, -2738, -3956), (-6, -20, 125)]
[(-15598, -2743, -3917), (3, -38, 114)]
[(-15598, -2743, -3917), (3, -38, 114)]
[(-15598, -2743, -3917), (3, -38, 114)]
[(-15598, -2743, -3917), (3, -38, 114)]
[(-15598, -2743, -3917), (3, -38, 114)]
[(-15598, -2743, -3917), (3, -38, 114)]
[(-15626, -2739, -3852), (57, -26, 83)]
[(-15626, -2739, -3852), (57, -26, 83)]
[(-15626, -2739, -3852), (57, -26, 83)]
