[(-15596, -2746, -3978), (18, 181, 35)]
[(-15599, -2735, -3973), (12, 186, 23)]
[(-15599, -2735, -3973), (12, 186, 23)]
[(-15599, -2735, -3973), (12, 186, 23)]
[(-15599, -2735, -3973), (12, 186, 23)]
[(-15608, -2771, -4003), (-60, 223, -13)]
[(-15608, -2771, -4003), (-60, 223, -13)]
[(-15608, -2771, -4003), (-60, 223, -13)]
[(-15608, -2771, -4003), (-60, 223, -13)]
[(-15608, -2771, -4003), (-60, 223, -13)]
[(-15608, -2771, -4003), (-60, 223, -13)]
[(-15592, -2743, -3999), (24, 304, 17)]
[(-15592, -2743, -3999), (24, 304, 17)]
[(-15592, -2743, -3999), (24, 304, 17)]
[(-15592, -2743, -3999), (24, 304, 17)]
[(-15592, -2743, -3999), (24, 304, 17)]
[(-15639, -2728, -3956), (37, 257, -24)]
[(-15639, -2728, -3956), (37, 257, -24)]
[(-15639, -2728, -3956), (37, 257, -24)]
[(-15639, -2728, -3956), (37, 257, -24)]
[(-15639, -2728, -3956), (37, 257, -24)]
[(-15639, -2728, -3956), (37, 257, -24)]
[(-15639, -2728, -3956), (37, 257, -24)]
[(-15643, -2721, -3968), (-29, 299, 17)]
[(-15643, -2721, -3968), (-29, 299, 17)]
[(-15643, -2721, -3968), (-29, 299, 17)]
[(-15643, -2721, -3968), (-29, 299, 17)]
[(-15643, -2721, -3968), (-29, 299, 17)]
[(-15643, -2721, -3968), (-29, 299, 17)]
[(-15621, -2721, -4023), (-228, 341, 0)]
[(-15621, -2721, -4023), (-228, 341, 0)]
[(-15621, -2721, -4023), (-228, 341, 0)]
[(-15621, -2721, -4023), (-228, 341, 0)]
[(-15621, -2721, -4023), (-228, 341, 0)]
[(-15610, -2704, -4052), (-325, 369, 4)]
[(-15610, -2704, -4052), (-325, 369, 4)]
[(-15610, -2704, -4052), (-325, 369, 4)]
[(-15610, -2704, -4052), (-325, 369, 4)]
[(-15610, -2704, -4052), (-325, 369, 4)]
[(-15610, -2704, -4052), (-325, 369, 4)]
[(-15604, -2740, -4089), (-209, 247, 15)]
[(-15604, -2740, -4089), (-209, 247, 15)]
[(-15604, -2740, -4089), (-209, 247, 15)]
[(-15604, -2740, -4089), (-209, 247, 15)]
[(-15604, -2740, -4089), (-209, 247, 15)]
[(-15604, -2740, -4089), (-209, 247, 15)]
[(-15604, -2740, -4089), (-209, 247, 15)]
[(-15598, -2748, -4117), (-202, 217, -12)]
[(-15598, -2748, -4117), (-202, 217, -12)]
[(-15598, -2748, -4117), (-202, 217, -12)]
[(-15598, -2748, -4117), (-202, 217, -12)]
[(-15598, -2748, -4117), (-202, 217, -12)]
[(-15580, -2761, -4136), (-216, 220, -28)]
[(-15580, -2761, -4136), (-216, 220, -28)]
[(-15580, -2761, -4136), (-216, 220, -28)]
[(-15580, -2761, -4136), (-216, 220, -28)]
[(-15580, -2761, -4136), (-216, 220, -28)]
[(-15580, -2761, -4136), (-216, 220, -28)]
[(-15580, -2761, -4136), (-216, 220, -28)]
[(-15584, -2756, -4167), (-169, 185, 3)]
[(-15584, -2756, -4167), (-169, 185, 3)]
[(-15584, -2756, -4167), (-169, 185, 3)]
[(-15584, -2756, -4167), (-169, 185, 3)]
[(-15584, -2756, -4167), (-169, 185, 3)]
[(-15584, -2756, -4167), (-169, 185, 3)]
[(-15584, -2766, -4156), (-92, 101, 14)]
[(-15584, -2766, -4156), (-92, 101, 14)]
[(-15584, -2766, -4156), (-92, 101, 14)]
[(-15584, -2766, -4156), (-92, 101, 14)]
[(-15584, -2766, -4156), (-92, 101, 14)]
[(-15582, -2768, -4147), (-73, 56, 24)]
[(-15582, -2768, -4147), (-73, 56, 24)]
[(-15582, -2768, -4147), (-73, 56, 24)]
[(-15582, -2768, -4147), (-73, 56, 24)]
[(-15582, -2768, -4147), (-73, 56, 24)]
[(-15582, -2768, -4147), (-73, 56, 24)]
[(-15588, -2764, -4108), (-56, 16, 60)]
[(-15588, -2764, -4108), (-56, 16, 60)]
[(-15588, -2764, -4108), (-56, 16, 60)]
[(-15588, -2764, -4108), (-56, 16, 60)]
[(-15588, -2764, -4108), (-56, 16, 60)]
[(-15588, -2764, -4108), (-56, 16, 60)]
[(-15588, -2764, -4108), (-56, 16, 60)]
[(-15600, -2771, -4061), (29, 2, 80)]
[(-15600, -2771, -4061), (29, 2, 80)]
[(-15600, -2771, -4061), (29, 2, 80)]
[(-15600, -2771, -4061), (29, 2, 80)]
[(-15600, -2771, -4061), (29, 2, 80)]
[(-15612, -2769, -4024), (145, -38, 135)]
[(-15612, -2769, -4024), (145, -38, 135)]
[(-15612, -2769, -4024), (145, -38, 135)]
[(-15612, -2769, -4024), (145, -38, 135)]
[(-15612, -2769, -4024), (145, -38, 135)]
[(-15612, -2769, -4024), (145, -38, 135)]
[(-15594, -2747, -4059), (136, -62, 130)]
[(-15594, -2747, -4059), (136, -62, 130)]
[(-15594, -2747, -4059), (136, -62, 130)]
[(-15594, -2747, -4059), (136, -62, 130)]
[(-15594, -2747, -4059), (136, -62, 130)]
[(-15594, -2747, -4059), (136, -62, 130)]
[(-15594, -2747, -4059), (136, -62, 130)]
[(-15581, -2715, -4024), (105, -41, 106)]
[(-15581, -2715, -4024), (105, -41, 106)]
[(-15581, -2715, -4024), (105, -41, 106)]
[(-15581, -2715, -4024), (105, -41, 106)]
[(-15581, -2715, -4024), (105, -41, 106)]
[(-15608, -2700, -3968), (60, -12, 110)]
[(-15608, -2700, -3968), (60, -12, 110)]
[(-15608, -2700, -3968), (60, -12, 110)]
[(-15608, -2700, -3968), (60, -12, 110)]
[(-15608, -2700, -3968), (60, -12, 110)]
[(-15608, -2700, -3968), (60, -12, 110)]
[(-15629, -2696, -3910), (-8, 37, 68)]
[(-15629, -2696, -3910), (-8, 37, 68)]
[(-15629, -2696, -3910), (-8, 37, 68)]
[(-15629, -2696, -3910), (-8, 37, 68)]
[(-15629, -2696, -3910), (-8, 37, 68)]
[(-15629, -2696, -3910), (-8, 37, 68)]
[(-15629, -2696, -3910), (-8, 37, 68)]
[(-15635, -2658, -3920), (-112, 53, 21)]
[(-15635, -2658, -3920), (-112, 53, 21)]
[(-15635, -2658, -3920), (-112, 53, 21)]
[(-15635, -2658, -3920), (-112, 53, 21)]
[(-15635, -2658, -3920), (-112, 53, 21)]
[(-15622, -2686, -3890), (-194, 70, -20)]
[(-15622, -2686, -3890), (-194, 70, -20)]
[(-15622, -2686, -3890), (-194, 70, -20)]
[(-15622, -2686, -3890), (-194, 70, -20)]
[(-15622, -2686, -3890), (-194, 70, -20)]
[(-15622, -2686, -3890), (-194, 70, -20)]
[(-15626, -2716, -3825), (-132, 123, -38)]
[(-15626, -2716, -3825), (-132, 123, -38)]
[(-15626, -2716, -3825), (-132, 123, -38)]
[(-15626, -2716, -3825), (-132, 123, -38)]
[(-15626, -2716, -3825), (-132, 123, -38)]
[(-15626, -2716, -3825), (-132, 123, -38)]
[(-15626, -2716, -3825), (-132, 123, -38)]
[(-15620, -2709, -3762), (-206, 102, -12)]
[(-15620, -2709, -3762), (-206, 102, -12)]
[(-15620, -2709, -3762), (-206, 102, -12)]
[(-15620, -2709, -3762), (-206, 102, -12)]
[(-15629, -2739, -3745), (-193, 104, 7)]
[(-15629, -2739, -3745), (-193, 104, 7)]
[(-15629, -2739, -3745), (-193, 104, 7)]
[(-15629, -2739, -3745), (-193, 104, 7)]
[(-15629, -2739, -3745), (-193, 104, 7)]
[(-15629, -2739, -3745), (-193, 104, 7)]
[(-15635, -2754, -3773), (-211, 132, 0)]
[(-15635, -2754, -3773), (-211, 132, 0)]
[(-15635, -2754, -3773), (-211, 132, 0)]
[(-15635, -2754, -3773), (-211, 132, 0)]
[(-15635, -2754, -3773), (-211, 132, 0)]
[(-15635, -2754, -3773), (-211, 132, 0)]
[(-15635, -2754, -3773), (-211, 132, 0)]
[(-15603, -2774, -3793), (-133, 133, 12)]
[(-15603, -2774, -3793), (-133, 133, 12)]
[(-15603, -2774, -3793), (-133, 133, 12)]
[(-15603, -2774, -3793), (-133, 133, 12)]
[(-15603, -2774, -3793), (-133, 133, 12)]
[(-15605, -2763, -3794), (-109, 142, 6)]
[(-15605, -2763, -3794), (-109, 142, 6)]
